algo,type,n,m,trial,time
dp-new,chain,3,2,0,0.000000410
dp-new,chain,3,2,1,0.000000383
dp-new,chain,3,2,2,0.000000377
dp-new,chain,4,3,0,0.000000510
dp-new,chain,4,3,1,0.000000513
dp-new,chain,4,3,2,0.000000511
dp-new,chain,5,4,0,0.000000621
dp-new,chain,5,4,1,0.000000625
dp-new,chain,5,4,2,0.000000616
dp-new,chain,6,5,0,0.000000778
dp-new,chain,6,5,1,0.000000775
dp-new,chain,6,5,2,0.000000780
dp-new,chain,7,6,0,0.000000935
dp-new,chain,7,6,1,0.000000924
dp-new,chain,7,6,2,0.000000917
dp-new,chain,8,7,0,0.000001096
dp-new,chain,8,7,1,0.000001085
dp-new,chain,8,7,2,0.000001067
dp-new,chain,9,8,0,0.000001282
dp-new,chain,9,8,1,0.000001314
dp-new,chain,9,8,2,0.000001312
dp-new,chain,10,9,0,0.000001540
dp-new,chain,10,9,1,0.000001546
dp-new,chain,10,9,2,0.000001541
dp-new,chain,11,10,0,0.000001754
dp-new,chain,11,10,1,0.000001757
dp-new,chain,11,10,2,0.000001756
dp-new,chain,12,11,0,0.000002032
dp-new,chain,12,11,1,0.000002059
dp-new,chain,12,11,2,0.000001938
dp-new,chain,13,12,0,0.000002109
dp-new,chain,13,12,1,0.000002130
dp-new,chain,13,12,2,0.000002102
dp-new,chain,14,13,0,0.000002277
dp-new,chain,14,13,1,0.000002236
dp-new,chain,14,13,2,0.000002252
dp-new,chain,15,14,0,0.000002495
dp-new,chain,15,14,1,0.000002480
dp-new,chain,15,14,2,0.000002471
dp-new,chain,16,15,0,0.000002673
dp-new,chain,16,15,1,0.000002675
dp-new,chain,16,15,2,0.000002721
dp-new,chain,17,16,0,0.000003092
dp-new,chain,17,16,1,0.000003010
dp-new,chain,17,16,2,0.000003008
dp-new,chain,19,18,0,0.000003473
dp-new,chain,19,18,1,0.000003519
dp-new,chain,19,18,2,0.000003468
dp-new,chain,21,20,0,0.000004092
dp-new,chain,21,20,1,0.000004005
dp-new,chain,21,20,2,0.000003953
dp-new,chain,23,22,0,0.000004463
dp-new,chain,23,22,1,0.000004484
dp-new,chain,23,22,2,0.000004484
dp-new,chain,25,24,0,0.000005047
dp-new,chain,25,24,1,0.000005016
dp-new,chain,25,24,2,0.000005055
dp-new,chain,27,26,0,0.000005561
dp-new,chain,27,26,1,0.000005717
dp-new,chain,27,26,2,0.000005562
dp-new,chain,29,28,0,0.000006143
dp-new,chain,29,28,1,0.000006217
dp-new,chain,29,28,2,0.000006903
dp-new,chain,31,30,0,0.000007119
dp-new,chain,31,30,1,0.000007177
dp-new,chain,31,30,2,0.000007144
dp-new,chain,33,32,0,0.000007223
dp-new,chain,33,32,1,0.000007226
dp-new,chain,33,32,2,0.000007188
dp-new,chain,36,35,0,0.000008133
dp-new,chain,36,35,1,0.000008158
dp-new,chain,36,35,2,0.000008191
dp-new,chain,39,38,0,0.000009049
dp-new,chain,39,38,1,0.000008924
dp-new,chain,39,38,2,0.000009039
dp-new,chain,42,41,0,0.000010061
dp-new,chain,42,41,1,0.000009955
dp-new,chain,42,41,2,0.000010008
dp-new,chain,45,44,0,0.000010914
dp-new,chain,45,44,1,0.000010935
dp-new,chain,45,44,2,0.000010991
dp-new,chain,48,47,0,0.000012016
dp-new,chain,48,47,1,0.000011893
dp-new,chain,48,47,2,0.000012018
dp-new,chain,51,50,0,0.000013084
dp-new,chain,51,50,1,0.000013184
dp-new,chain,51,50,2,0.000013259
dp-new,chain,55,54,0,0.000014441
dp-new,chain,55,54,1,0.000014422
dp-new,chain,55,54,2,0.000014487
dp-new,chain,59,58,0,0.000016332
dp-new,chain,59,58,1,0.000016672
dp-new,chain,59,58,2,0.000015517
dp-new,chain,63,62,0,0.000018978
dp-new,chain,63,62,1,0.000017669
dp-new,chain,63,62,2,0.000018773
dp-new,chain,67,66,0,0.000022035
dp-new,chain,67,66,1,0.000019597
dp-new,chain,67,66,2,0.000019664
dp-new,chain,72,71,0,0.000021890
dp-new,chain,72,71,1,0.000022795
dp-new,chain,72,71,2,0.000021690
dp-new,chain,77,76,0,0.000023836
dp-new,chain,77,76,1,0.000023688
dp-new,chain,77,76,2,0.000023955
dp-new,chain,82,81,0,0.000026571
dp-new,chain,82,81,1,0.000026652
dp-new,chain,82,81,2,0.000026430
dp-new,chain,88,87,0,0.000029437
dp-new,chain,88,87,1,0.000029235
dp-new,chain,88,87,2,0.000029338
dp-new,chain,94,93,0,0.000032318
dp-new,chain,94,93,1,0.000032295
dp-new,chain,94,93,2,0.000032212
dp-new,chain,100,99,0,0.000035960
dp-new,chain,100,99,1,0.000036054
dp-new,chain,100,99,2,0.000035575
dp-new,chain,107,106,0,0.000038812
dp-new,chain,107,106,1,0.000039069
dp-new,chain,107,106,2,0.000039128
dp-new,chain,114,113,0,0.000043667
dp-new,chain,114,113,1,0.000043763
dp-new,chain,114,113,2,0.000043677
dp-new,chain,122,121,0,0.000048781
dp-new,chain,122,121,1,0.000049506
dp-new,chain,122,121,2,0.000048514
dp-new,chain,130,129,0,0.000054198
dp-new,chain,130,129,1,0.000054277
dp-new,chain,130,129,2,0.000053817
dp-new,chain,139,138,0,0.000059659
dp-new,chain,139,138,1,0.000060054
dp-new,chain,139,138,2,0.000059814
dp-new,chain,148,147,0,0.000066856
dp-new,chain,148,147,1,0.000067047
dp-new,chain,148,147,2,0.000066592
dp-new,chain,158,157,0,0.000073336
dp-new,chain,158,157,1,0.000080154
dp-new,chain,158,157,2,0.000080707
dp-new,chain,168,167,0,0.000082999
dp-new,chain,168,167,1,0.000082311
dp-new,chain,168,167,2,0.000082239
dp-new,chain,179,178,0,0.000091827
dp-new,chain,179,178,1,0.000093106
dp-new,chain,179,178,2,0.000090755
