algo,type,n,m,trial,time
dp-new,clique,3,3,0,0.000000475
dp-new,clique,3,3,1,0.000000459
dp-new,clique,3,3,2,0.000000461
dp-new,clique,4,6,0,0.000000617
dp-new,clique,4,6,1,0.000000621
dp-new,clique,4,6,2,0.000000612
dp-new,clique,5,10,0,0.000000847
dp-new,clique,5,10,1,0.000000884
dp-new,clique,5,10,2,0.000000848
dp-new,clique,6,15,0,0.000001070
dp-new,clique,6,15,1,0.000001071
dp-new,clique,6,15,2,0.000001048
dp-new,clique,7,21,0,0.000001374
dp-new,clique,7,21,1,0.000001341
dp-new,clique,7,21,2,0.000001351
dp-new,clique,8,28,0,0.000001677
dp-new,clique,8,28,1,0.000001546
dp-new,clique,8,28,2,0.000001548
dp-new,clique,9,36,0,0.000002088
dp-new,clique,9,36,1,0.000002181
dp-new,clique,9,36,2,0.000002002
dp-new,clique,10,45,0,0.000002260
dp-new,clique,10,45,1,0.000002344
dp-new,clique,10,45,2,0.000002336
dp-new,clique,11,55,0,0.000002708
dp-new,clique,11,55,1,0.000002694
dp-new,clique,11,55,2,0.000002649
dp-new,clique,12,66,0,0.000003214
dp-new,clique,12,66,1,0.000002944
dp-new,clique,12,66,2,0.000002889
dp-new,clique,13,78,0,0.000003277
dp-new,clique,13,78,1,0.000003322
dp-new,clique,13,78,2,0.000003248
dp-new,clique,14,91,0,0.000003684
dp-new,clique,14,91,1,0.000003471
dp-new,clique,14,91,2,0.000003626
dp-new,clique,15,105,0,0.000003832
dp-new,clique,15,105,1,0.000004026
dp-new,clique,15,105,2,0.000003848
dp-new,clique,16,120,0,0.000004286
dp-new,clique,16,120,1,0.000004292
dp-new,clique,16,120,2,0.000004373
dp-new,clique,17,136,0,0.000004945
dp-new,clique,17,136,1,0.000004888
dp-new,clique,17,136,2,0.000005018
dp-new,clique,19,171,0,0.000005667
dp-new,clique,19,171,1,0.000005623
dp-new,clique,19,171,2,0.000005491
dp-new,clique,21,210,0,0.000006351
dp-new,clique,21,210,1,0.000006586
dp-new,clique,21,210,2,0.000006655
dp-new,clique,23,253,0,0.000007357
dp-new,clique,23,253,1,0.000007105
dp-new,clique,23,253,2,0.000007096
dp-new,clique,25,300,0,0.000008182
dp-new,clique,25,300,1,0.000008488
dp-new,clique,25,300,2,0.000008569
dp-new,clique,27,351,0,0.000009582
dp-new,clique,27,351,1,0.000009517
dp-new,clique,27,351,2,0.000009410
dp-new,clique,29,406,0,0.000009985
dp-new,clique,29,406,1,0.000009792
dp-new,clique,29,406,2,0.000009944
dp-new,clique,31,465,0,0.000011094
dp-new,clique,31,465,1,0.000011831
dp-new,clique,31,465,2,0.000011663
dp-new,clique,33,528,0,0.000012897
dp-new,clique,33,528,1,0.000013999
dp-new,clique,33,528,2,0.000013441
dp-new,clique,36,630,0,0.000014123
dp-new,clique,36,630,1,0.000014182
dp-new,clique,36,630,2,0.000014134
dp-new,clique,39,741,0,0.000015878
dp-new,clique,39,741,1,0.000015858
dp-new,clique,39,741,2,0.000016215
dp-new,clique,42,861,0,0.000018344
dp-new,clique,42,861,1,0.000018187
dp-new,clique,42,861,2,0.000018196
dp-new,clique,45,990,0,0.000019555
dp-new,clique,45,990,1,0.000019872
dp-new,clique,45,990,2,0.000019647
dp-new,clique,48,1128,0,0.000021696
dp-new,clique,48,1128,1,0.000021644
dp-new,clique,48,1128,2,0.000021627
dp-new,clique,51,1275,0,0.000023876
dp-new,clique,51,1275,1,0.000023896
dp-new,clique,51,1275,2,0.000024060
dp-new,clique,55,1485,0,0.000026778
dp-new,clique,55,1485,1,0.000027403
dp-new,clique,55,1485,2,0.000027861
dp-new,clique,59,1711,0,0.000029162
dp-new,clique,59,1711,1,0.000029183
dp-new,clique,59,1711,2,0.000029221
dp-new,clique,63,1953,0,0.000032508
dp-new,clique,63,1953,1,0.000032188
dp-new,clique,63,1953,2,0.000032187
dp-new,clique,67,2211,0,0.000036306
dp-new,clique,67,2211,1,0.000036361
dp-new,clique,67,2211,2,0.000036209
dp-new,clique,72,2556,0,0.000040905
dp-new,clique,72,2556,1,0.000040785
dp-new,clique,72,2556,2,0.000040882
dp-new,clique,77,2926,0,0.000045529
dp-new,clique,77,2926,1,0.000045568
dp-new,clique,77,2926,2,0.000045420
dp-new,clique,82,3321,0,0.000051164
dp-new,clique,82,3321,1,0.000051059
dp-new,clique,82,3321,2,0.000051139
dp-new,clique,88,3828,0,0.000060384
dp-new,clique,88,3828,1,0.000059223
dp-new,clique,88,3828,2,0.000091551
dp-new,clique,94,4371,0,0.000145738
dp-new,clique,94,4371,1,0.000103999
dp-new,clique,94,4371,2,0.000082143
dp-new,clique,100,4950,0,0.000080658
dp-new,clique,100,4950,1,0.000080762
dp-new,clique,100,4950,2,0.000083572
dp-new,clique,107,5671,0,0.000101174
dp-new,clique,107,5671,1,0.000087845
dp-new,clique,107,5671,2,0.000085951
dp-new,clique,114,6441,0,0.000096369
dp-new,clique,114,6441,1,0.000099749
dp-new,clique,114,6441,2,0.000091827
dp-new,clique,122,7381,0,0.000100615
dp-new,clique,122,7381,1,0.000103915
dp-new,clique,122,7381,2,0.000098272
dp-new,clique,130,8385,0,0.000116674
dp-new,clique,130,8385,1,0.000116621
dp-new,clique,130,8385,2,0.000110001
dp-new,clique,139,9591,0,0.000129055
dp-new,clique,139,9591,1,0.000124480
dp-new,clique,139,9591,2,0.000127132
dp-new,clique,148,10878,0,0.000146959
dp-new,clique,148,10878,1,0.000137668
