algo,type,n,m,trial,time
dp-new,star,3,2,0,0.000000396
dp-new,star,3,2,1,0.000000389
dp-new,star,3,2,2,0.000000386
dp-new,star,4,3,0,0.000000468
dp-new,star,4,3,1,0.000000465
dp-new,star,4,3,2,0.000000451
dp-new,star,5,4,0,0.000000566
dp-new,star,5,4,1,0.000000569
dp-new,star,5,4,2,0.000000564
dp-new,star,6,5,0,0.000000624
dp-new,star,6,5,1,0.000000626
dp-new,star,6,5,2,0.000000640
dp-new,star,7,6,0,0.000000725
dp-new,star,7,6,1,0.000000728
dp-new,star,7,6,2,0.000000713
dp-new,star,8,7,0,0.000000744
dp-new,star,8,7,1,0.000000719
dp-new,star,8,7,2,0.000000752
dp-new,star,9,8,0,0.000000832
dp-new,star,9,8,1,0.000000855
dp-new,star,9,8,2,0.000000839
dp-new,star,10,9,0,0.000000938
dp-new,star,10,9,1,0.000000925
dp-new,star,10,9,2,0.000000925
dp-new,star,11,10,0,0.000001046
dp-new,star,11,10,1,0.000001025
dp-new,star,11,10,2,0.000001050
dp-new,star,12,11,0,0.000001108
dp-new,star,12,11,1,0.000001078
dp-new,star,12,11,2,0.000001102
dp-new,star,13,12,0,0.000001174
dp-new,star,13,12,1,0.000001166
dp-new,star,13,12,2,0.000001179
dp-new,star,14,13,0,0.000001235
dp-new,star,14,13,1,0.000001224
dp-new,star,14,13,2,0.000001232
dp-new,star,15,14,0,0.000001322
dp-new,star,15,14,1,0.000001291
dp-new,star,15,14,2,0.000001264
dp-new,star,16,15,0,0.000001368
dp-new,star,16,15,1,0.000001343
dp-new,star,16,15,2,0.000001344
dp-new,star,17,16,0,0.000001491
dp-new,star,17,16,1,0.000001459
dp-new,star,17,16,2,0.000001444
dp-new,star,19,18,0,0.000001578
dp-new,star,19,18,1,0.000001595
dp-new,star,19,18,2,0.000001603
dp-new,star,21,20,0,0.000001702
dp-new,star,21,20,1,0.000001774
dp-new,star,21,20,2,0.000001837
dp-new,star,23,22,0,0.000001910
dp-new,star,23,22,1,0.000001966
dp-new,star,23,22,2,0.000001896
dp-new,star,25,24,0,0.000001980
dp-new,star,25,24,1,0.000002014
dp-new,star,25,24,2,0.000002029
dp-new,star,27,26,0,0.000002072
dp-new,star,27,26,1,0.000002120
dp-new,star,27,26,2,0.000002184
dp-new,star,29,28,0,0.000002284
dp-new,star,29,28,1,0.000002297
dp-new,star,29,28,2,0.000002302
dp-new,star,31,30,0,0.000002258
dp-new,star,31,30,1,0.000002295
dp-new,star,31,30,2,0.000002348
dp-new,star,33,32,0,0.000002650
dp-new,star,33,32,1,0.000002633
dp-new,star,33,32,2,0.000002515
dp-new,star,36,35,0,0.000002806
dp-new,star,36,35,1,0.000002862
dp-new,star,36,35,2,0.000002804
dp-new,star,39,38,0,0.000002953
dp-new,star,39,38,1,0.000003039
dp-new,star,39,38,2,0.000002935
dp-new,star,42,41,0,0.000003030
dp-new,star,42,41,1,0.000003056
dp-new,star,42,41,2,0.000003174
dp-new,star,45,44,0,0.000003381
dp-new,star,45,44,1,0.000003292
dp-new,star,45,44,2,0.000003337
dp-new,star,48,47,0,0.000003642
dp-new,star,48,47,1,0.000003571
dp-new,star,48,47,2,0.000003736
dp-new,star,51,50,0,0.000003614
dp-new,star,51,50,1,0.000003820
dp-new,star,51,50,2,0.000003763
dp-new,star,55,54,0,0.000003962
dp-new,star,55,54,1,0.000003956
dp-new,star,55,54,2,0.000004049
dp-new,star,59,58,0,0.000004307
dp-new,star,59,58,1,0.000004376
dp-new,star,59,58,2,0.000004103
dp-new,star,63,62,0,0.000004491
dp-new,star,63,62,1,0.000004608
dp-new,star,63,62,2,0.000004567
dp-new,star,67,66,0,0.000005085
dp-new,star,67,66,1,0.000004796
dp-new,star,67,66,2,0.000005131
dp-new,star,72,71,0,0.000005384
dp-new,star,72,71,1,0.000005159
dp-new,star,72,71,2,0.000005501
dp-new,star,77,76,0,0.000005441
dp-new,star,77,76,1,0.000005461
