algo,type,n,m,trial,time
dp-new,tree,3,2,0,0.000000407
dp-new,tree,3,2,1,0.000000379
dp-new,tree,3,2,2,0.000000392
dp-new,tree,4,3,0,0.000000500
dp-new,tree,4,3,1,0.000000502
dp-new,tree,4,3,2,0.000000502
dp-new,tree,5,4,0,0.000000594
dp-new,tree,5,4,1,0.000000582
dp-new,tree,5,4,2,0.000000579
dp-new,tree,6,5,0,0.000000667
dp-new,tree,6,5,1,0.000000643
dp-new,tree,6,5,2,0.000000654
dp-new,tree,7,6,0,0.000000777
dp-new,tree,7,6,1,0.000000729
dp-new,tree,7,6,2,0.000000733
dp-new,tree,8,7,0,0.000000845
dp-new,tree,8,7,1,0.000000850
dp-new,tree,8,7,2,0.000000844
dp-new,tree,9,8,0,0.000000797
dp-new,tree,9,8,1,0.000000807
dp-new,tree,9,8,2,0.000000798
dp-new,tree,10,9,0,0.000000908
dp-new,tree,10,9,1,0.000000910
dp-new,tree,10,9,2,0.000000950
dp-new,tree,11,10,0,0.000000984
dp-new,tree,11,10,1,0.000000989
dp-new,tree,11,10,2,0.000000990
dp-new,tree,12,11,0,0.000001026
dp-new,tree,12,11,1,0.000001013
dp-new,tree,12,11,2,0.000001021
dp-new,tree,13,12,0,0.000001047
dp-new,tree,13,12,1,0.000001052
dp-new,tree,13,12,2,0.000001050
dp-new,tree,14,13,0,0.000001187
dp-new,tree,14,13,1,0.000001172
dp-new,tree,14,13,2,0.000001183
dp-new,tree,15,14,0,0.000001240
dp-new,tree,15,14,1,0.000001233
dp-new,tree,15,14,2,0.000001227
dp-new,tree,16,15,0,0.000001288
dp-new,tree,16,15,1,0.000001303
dp-new,tree,16,15,2,0.000001358
dp-new,tree,17,16,0,0.000001377
dp-new,tree,17,16,1,0.000001359
dp-new,tree,17,16,2,0.000001378
dp-new,tree,19,18,0,0.000001584
dp-new,tree,19,18,1,0.000001540
dp-new,tree,19,18,2,0.000001437
dp-new,tree,21,20,0,0.000001547
dp-new,tree,21,20,1,0.000001545
dp-new,tree,21,20,2,0.000001540
dp-new,tree,23,22,0,0.000001771
dp-new,tree,23,22,1,0.000001778
dp-new,tree,23,22,2,0.000001765
dp-new,tree,25,24,0,0.000001833
dp-new,tree,25,24,1,0.000001948
dp-new,tree,25,24,2,0.000001876
dp-new,tree,27,26,0,0.000001954
dp-new,tree,27,26,1,0.000001944
dp-new,tree,27,26,2,0.000001936
dp-new,tree,29,28,0,0.000002129
dp-new,tree,29,28,1,0.000002305
dp-new,tree,29,28,2,0.000002126
dp-new,tree,31,30,0,0.000002289
dp-new,tree,31,30,1,0.000002289
dp-new,tree,31,30,2,0.000002294
dp-new,tree,33,32,0,0.000002508
dp-new,tree,33,32,1,0.000002512
dp-new,tree,33,32,2,0.000002497
dp-new,tree,36,35,0,0.000002716
dp-new,tree,36,35,1,0.000002720
dp-new,tree,36,35,2,0.000002725
dp-new,tree,39,38,0,0.000002893
dp-new,tree,39,38,1,0.000002897
dp-new,tree,39,38,2,0.000002910
dp-new,tree,42,41,0,0.000003088
dp-new,tree,42,41,1,0.000003083
dp-new,tree,42,41,2,0.000003036
dp-new,tree,45,44,0,0.000003308
dp-new,tree,45,44,1,0.000003321
dp-new,tree,45,44,2,0.000003326
dp-new,tree,48,47,0,0.000003461
dp-new,tree,48,47,1,0.000003459
dp-new,tree,48,47,2,0.000003472
dp-new,tree,51,50,0,0.000003721
dp-new,tree,51,50,1,0.000003671
dp-new,tree,51,50,2,0.000003672
dp-new,tree,55,54,0,0.000003876
dp-new,tree,55,54,1,0.000003884
dp-new,tree,55,54,2,0.000003868
dp-new,tree,59,58,0,0.000004455
dp-new,tree,59,58,1,0.000004120
dp-new,tree,59,58,2,0.000004077
dp-new,tree,63,62,0,0.000004397
dp-new,tree,63,62,1,0.000004404
dp-new,tree,63,62,2,0.000004378
dp-new,tree,67,66,0,0.000005179
dp-new,tree,67,66,1,0.000004972
dp-new,tree,67,66,2,0.000004853
dp-new,tree,72,71,0,0.000005150
dp-new,tree,72,71,1,0.000005450
dp-new,tree,72,71,2,0.000005143
dp-new,tree,77,76,0,0.000005514
dp-new,tree,77,76,1,0.000005488
dp-new,tree,77,76,2,0.000005451
dp-new,tree,82,81,0,0.000005886
dp-new,tree,82,81,1,0.000005875
dp-new,tree,82,81,2,0.000005858
dp-new,tree,88,87,0,0.000006416
dp-new,tree,88,87,1,0.000006408
dp-new,tree,88,87,2,0.000006668
dp-new,tree,94,93,0,0.000006706
dp-new,tree,94,93,1,0.000006713
dp-new,tree,94,93,2,0.000006703
dp-new,tree,100,99,0,0.000007191
dp-new,tree,100,99,1,0.000007434
dp-new,tree,100,99,2,0.000007097
dp-new,tree,107,106,0,0.000007756
dp-new,tree,107,106,1,0.000007647
dp-new,tree,107,106,2,0.000007685
dp-new,tree,114,113,0,0.000008182
dp-new,tree,114,113,1,0.000008171
dp-new,tree,114,113,2,0.000008151
dp-new,tree,122,121,0,0.000008646
dp-new,tree,122,121,1,0.000008621
dp-new,tree,122,121,2,0.000008650
dp-new,tree,130,129,0,0.000009560
dp-new,tree,130,129,1,0.000009559
dp-new,tree,130,129,2,0.000009563
dp-new,tree,139,138,0,0.000010288
