algo,type,n,m,trial,time
dp-old,chain,3,2,0,0.000000227
dp-old,chain,3,2,1,0.000000255
dp-old,chain,3,2,2,0.000000265
dp-old,chain,4,3,0,0.000000285
dp-old,chain,4,3,1,0.000000287
dp-old,chain,4,3,2,0.000000260
dp-old,chain,5,4,0,0.000000302
dp-old,chain,5,4,1,0.000000302
dp-old,chain,5,4,2,0.000000306
dp-old,chain,6,5,0,0.000000359
dp-old,chain,6,5,1,0.000000343
dp-old,chain,6,5,2,0.000000366
dp-old,chain,7,6,0,0.000000412
dp-old,chain,7,6,1,0.000000413
dp-old,chain,7,6,2,0.000000409
dp-old,chain,8,7,0,0.000000449
dp-old,chain,8,7,1,0.000000444
dp-old,chain,8,7,2,0.000000510
dp-old,chain,9,8,0,0.000000540
dp-old,chain,9,8,1,0.000000501
dp-old,chain,9,8,2,0.000000498
dp-old,chain,10,9,0,0.000000568
dp-old,chain,10,9,1,0.000000556
dp-old,chain,10,9,2,0.000000550
dp-old,chain,11,10,0,0.000000661
dp-old,chain,11,10,1,0.000000662
dp-old,chain,11,10,2,0.000000699
dp-old,chain,12,11,0,0.000000766
dp-old,chain,12,11,1,0.000000732
dp-old,chain,12,11,2,0.000000728
dp-old,chain,13,12,0,0.000000798
dp-old,chain,13,12,1,0.000000772
dp-old,chain,13,12,2,0.000000796
dp-old,chain,14,13,0,0.000000860
dp-old,chain,14,13,1,0.000000832
dp-old,chain,14,13,2,0.000000835
dp-old,chain,15,14,0,0.000000997
dp-old,chain,15,14,1,0.000001045
dp-old,chain,15,14,2,0.000000923
dp-old,chain,16,15,0,0.000001010
dp-old,chain,16,15,1,0.000001010
dp-old,chain,16,15,2,0.000001030
dp-old,chain,17,16,0,0.000001183
dp-old,chain,17,16,1,0.000001160
dp-old,chain,17,16,2,0.000001148
dp-old,chain,19,18,0,0.000001336
dp-old,chain,19,18,1,0.000001408
dp-old,chain,19,18,2,0.000001415
dp-old,chain,21,20,0,0.000001648
dp-old,chain,21,20,1,0.000001625
dp-old,chain,21,20,2,0.000001653
dp-old,chain,23,22,0,0.000001893
dp-old,chain,23,22,1,0.000001881
dp-old,chain,23,22,2,0.000001946
