algo,type,n,m,trial,time
dp-old,clique,3,3,0,0.000000232
dp-old,clique,3,3,1,0.000000240
dp-old,clique,3,3,2,0.000000239
dp-old,clique,4,6,0,0.000000324
dp-old,clique,4,6,1,0.000000321
dp-old,clique,4,6,2,0.000000317
dp-old,clique,5,10,0,0.000000434
dp-old,clique,5,10,1,0.000000440
dp-old,clique,5,10,2,0.000000438
dp-old,clique,6,15,0,0.000000575
dp-old,clique,6,15,1,0.000000576
dp-old,clique,6,15,2,0.000000572
dp-old,clique,7,21,0,0.000000726
dp-old,clique,7,21,1,0.000000719
dp-old,clique,7,21,2,0.000000761
dp-old,clique,8,28,0,0.000000870
dp-old,clique,8,28,1,0.000000867
dp-old,clique,8,28,2,0.000000866
dp-old,clique,9,36,0,0.000001032
dp-old,clique,9,36,1,0.000001028
dp-old,clique,9,36,2,0.000001021
dp-old,clique,10,45,0,0.000001216
dp-old,clique,10,45,1,0.000001201
dp-old,clique,10,45,2,0.000001210
dp-old,clique,11,55,0,0.000001430
dp-old,clique,11,55,1,0.000001434
dp-old,clique,11,55,2,0.000001423
dp-old,clique,12,66,0,0.000001618
dp-old,clique,12,66,1,0.000001614
dp-old,clique,12,66,2,0.000001596
dp-old,clique,13,78,0,0.000001835
dp-old,clique,13,78,1,0.000001840
dp-old,clique,13,78,2,0.000001845
dp-old,clique,14,91,0,0.000002051
dp-old,clique,14,91,1,0.000002043
dp-old,clique,14,91,2,0.000002037
dp-old,clique,15,105,0,0.000002282
dp-old,clique,15,105,1,0.000002279
dp-old,clique,15,105,2,0.000002281
dp-old,clique,16,120,0,0.000002490
dp-old,clique,16,120,1,0.000002509
dp-old,clique,16,120,2,0.000002525
dp-old,clique,17,136,0,0.000002800
dp-old,clique,17,136,1,0.000002807
dp-old,clique,17,136,2,0.000002800
dp-old,clique,19,171,0,0.000003388
dp-old,clique,19,171,1,0.000003397
dp-old,clique,19,171,2,0.000003387
dp-old,clique,21,210,0,0.000004167
dp-old,clique,21,210,1,0.000004166
dp-old,clique,21,210,2,0.000004181
dp-old,clique,23,253,0,0.000004888
dp-old,clique,23,253,1,0.000004928
dp-old,clique,23,253,2,0.000004883
dp-old,clique,25,300,0,0.000005692
dp-old,clique,25,300,1,0.000005673
dp-old,clique,25,300,2,0.000005679
dp-old,clique,27,351,0,0.000006596
dp-old,clique,27,351,1,0.000006562
dp-old,clique,27,351,2,0.000006570
dp-old,clique,29,406,0,0.000007510
dp-old,clique,29,406,1,0.000007491
dp-old,clique,29,406,2,0.000007506
dp-old,clique,31,465,0,0.000008546
dp-old,clique,31,465,1,0.000008581
dp-old,clique,31,465,2,0.000008533
dp-old,clique,33,528,0,0.000009662
dp-old,clique,33,528,1,0.000009687
dp-old,clique,33,528,2,0.000009692
dp-old,clique,36,630,0,0.000011653
dp-old,clique,36,630,1,0.000011733
dp-old,clique,36,630,2,0.000011671
dp-old,clique,39,741,0,0.000013972
dp-old,clique,39,741,1,0.000013967
dp-old,clique,39,741,2,0.000013883
dp-old,clique,42,861,0,0.000016491
dp-old,clique,42,861,1,0.000016412
dp-old,clique,42,861,2,0.000016427
dp-old,clique,45,990,0,0.000019137
dp-old,clique,45,990,1,0.000019117
dp-old,clique,45,990,2,0.000019102
dp-old,clique,48,1128,0,0.000022116
dp-old,clique,48,1128,1,0.000022041
dp-old,clique,48,1128,2,0.000022084
dp-old,clique,51,1275,0,0.000025567
dp-old,clique,51,1275,1,0.000025529
dp-old,clique,51,1275,2,0.000025467
dp-old,clique,55,1485,0,0.000030359
dp-old,clique,55,1485,1,0.000030433
dp-old,clique,55,1485,2,0.000030389
dp-old,clique,59,1711,0,0.000036160
dp-old,clique,59,1711,1,0.000036184
