algo,type,n,m,trial,time
dp-old,star,3,2,0,0.000000207
dp-old,star,3,2,1,0.000000207
dp-old,star,3,2,2,0.000000203
dp-old,star,4,3,0,0.000000240
dp-old,star,4,3,1,0.000000238
dp-old,star,4,3,2,0.000000240
dp-old,star,5,4,0,0.000000282
dp-old,star,5,4,1,0.000000278
dp-old,star,5,4,2,0.000000281
dp-old,star,6,5,0,0.000000325
dp-old,star,6,5,1,0.000000326
dp-old,star,6,5,2,0.000000325
dp-old,star,7,6,0,0.000000370
dp-old,star,7,6,1,0.000000354
dp-old,star,7,6,2,0.000000352
dp-old,star,8,7,0,0.000000378
dp-old,star,8,7,1,0.000000376
dp-old,star,8,7,2,0.000000380
dp-old,star,9,8,0,0.000000407
dp-old,star,9,8,1,0.000000411
dp-old,star,9,8,2,0.000000405
dp-old,star,10,9,0,0.000000460
dp-old,star,10,9,1,0.000000464
dp-old,star,10,9,2,0.000000458
dp-old,star,11,10,0,0.000000539
dp-old,star,11,10,1,0.000000538
dp-old,star,11,10,2,0.000000534
dp-old,star,12,11,0,0.000000580
dp-old,star,12,11,1,0.000000576
dp-old,star,12,11,2,0.000000578
dp-old,star,13,12,0,0.000000595
dp-old,star,13,12,1,0.000000598
dp-old,star,13,12,2,0.000000599
dp-old,star,14,13,0,0.000000639
dp-old,star,14,13,1,0.000000640
dp-old,star,14,13,2,0.000000630
dp-old,star,15,14,0,0.000000673
dp-old,star,15,14,1,0.000000699
dp-old,star,15,14,2,0.000000674
dp-old,star,16,15,0,0.000000696
dp-old,star,16,15,1,0.000000709
dp-old,star,16,15,2,0.000000701
dp-old,star,17,16,0,0.000000762
dp-old,star,17,16,1,0.000000752
dp-old,star,17,16,2,0.000000757
dp-old,star,19,18,0,0.000000866
dp-old,star,19,18,1,0.000000862
dp-old,star,19,18,2,0.000000864
dp-old,star,21,20,0,0.000000949
dp-old,star,21,20,1,0.000000953
dp-old,star,21,20,2,0.000000949
dp-old,star,23,22,0,0.000001037
dp-old,star,23,22,1,0.000001034
dp-old,star,23,22,2,0.000001035
dp-old,star,25,24,0,0.000001127
dp-old,star,25,24,1,0.000001126
dp-old,star,25,24,2,0.000001121
dp-old,star,27,26,0,0.000001254
dp-old,star,27,26,1,0.000001252
dp-old,star,27,26,2,0.000001244
dp-old,star,29,28,0,0.000001390
dp-old,star,29,28,1,0.000001349
dp-old,star,29,28,2,0.000001343
dp-old,star,31,30,0,0.000001458
dp-old,star,31,30,1,0.000001458
dp-old,star,31,30,2,0.000001459
dp-old,star,33,32,0,0.000001535
dp-old,star,33,32,1,0.000001542
dp-old,star,33,32,2,0.000001543
dp-old,star,36,35,0,0.000001736
dp-old,star,36,35,1,0.000001738
dp-old,star,36,35,2,0.000001728
dp-old,star,39,38,0,0.000001912
dp-old,star,39,38,1,0.000001909
dp-old,star,39,38,2,0.000001909
dp-old,star,42,41,0,0.000002110
dp-old,star,42,41,1,0.000002100
dp-old,star,42,41,2,0.000002099
dp-old,star,45,44,0,0.000002285
dp-old,star,45,44,1,0.000002265
dp-old,star,45,44,2,0.000002272
dp-old,star,48,47,0,0.000002513
dp-old,star,48,47,1,0.000002491
dp-old,star,48,47,2,0.000002511
dp-old,star,51,50,0,0.000002783
dp-old,star,51,50,1,0.000002747
dp-old,star,51,50,2,0.000002746
dp-old,star,55,54,0,0.000003184
dp-old,star,55,54,1,0.000003248
dp-old,star,55,54,2,0.000003168
dp-old,star,59,58,0,0.000003393
dp-old,star,59,58,1,0.000003392
dp-old,star,59,58,2,0.000003389
dp-old,star,63,62,0,0.000003851
dp-old,star,63,62,1,0.000003830
dp-old,star,63,62,2,0.000003807
dp-old,star,67,66,0,0.000004591
dp-old,star,67,66,1,0.000004563
dp-old,star,67,66,2,0.000004540
dp-old,star,72,71,0,0.000005113
dp-old,star,72,71,1,0.000005074
dp-old,star,72,71,2,0.000005088
