algo,type,n,m,trial,time
dp-old,tree,3,2,0,0.000000208
dp-old,tree,3,2,1,0.000000202
dp-old,tree,3,2,2,0.000000203
dp-old,tree,4,3,0,0.000000241
dp-old,tree,4,3,1,0.000000243
dp-old,tree,4,3,2,0.000000243
dp-old,tree,5,4,0,0.000000296
dp-old,tree,5,4,1,0.000000291
dp-old,tree,5,4,2,0.000000293
dp-old,tree,6,5,0,0.000000341
dp-old,tree,6,5,1,0.000000338
dp-old,tree,6,5,2,0.000000337
dp-old,tree,7,6,0,0.000000358
dp-old,tree,7,6,1,0.000000357
dp-old,tree,7,6,2,0.000000356
dp-old,tree,8,7,0,0.000000420
dp-old,tree,8,7,1,0.000000417
dp-old,tree,8,7,2,0.000000412
dp-old,tree,9,8,0,0.000000466
dp-old,tree,9,8,1,0.000000468
dp-old,tree,9,8,2,0.000000467
dp-old,tree,10,9,0,0.000000491
dp-old,tree,10,9,1,0.000000488
dp-old,tree,10,9,2,0.000000493
dp-old,tree,11,10,0,0.000000601
dp-old,tree,11,10,1,0.000000596
dp-old,tree,11,10,2,0.000000594
dp-old,tree,12,11,0,0.000000612
dp-old,tree,12,11,1,0.000000615
dp-old,tree,12,11,2,0.000000612
dp-old,tree,13,12,0,0.000000645
dp-old,tree,13,12,1,0.000000636
dp-old,tree,13,12,2,0.000000642
dp-old,tree,14,13,0,0.000000694
dp-old,tree,14,13,1,0.000000693
dp-old,tree,14,13,2,0.000000695
dp-old,tree,15,14,0,0.000000741
dp-old,tree,15,14,1,0.000000747
dp-old,tree,15,14,2,0.000000741
dp-old,tree,16,15,0,0.000000788
dp-old,tree,16,15,1,0.000000788
dp-old,tree,16,15,2,0.000000791
dp-old,tree,17,16,0,0.000000832
dp-old,tree,17,16,1,0.000000828
dp-old,tree,17,16,2,0.000000820
dp-old,tree,19,18,0,0.000000933
dp-old,tree,19,18,1,0.000000923
dp-old,tree,19,18,2,0.000000926
dp-old,tree,21,20,0,0.000001002
dp-old,tree,21,20,1,0.000001002
dp-old,tree,21,20,2,0.000001006
dp-old,tree,23,22,0,0.000001113
dp-old,tree,23,22,1,0.000001115
dp-old,tree,23,22,2,0.000001112
dp-old,tree,25,24,0,0.000001206
dp-old,tree,25,24,1,0.000001204
dp-old,tree,25,24,2,0.000001202
dp-old,tree,27,26,0,0.000001309
dp-old,tree,27,26,1,0.000001298
dp-old,tree,27,26,2,0.000001306
dp-old,tree,29,28,0,0.000001417
dp-old,tree,29,28,1,0.000001419
dp-old,tree,29,28,2,0.000001480
dp-old,tree,31,30,0,0.000001522
dp-old,tree,31,30,1,0.000001544
dp-old,tree,31,30,2,0.000001523
dp-old,tree,33,32,0,0.000001641
dp-old,tree,33,32,1,0.000001632
dp-old,tree,33,32,2,0.000001630
dp-old,tree,36,35,0,0.000001782
dp-old,tree,36,35,1,0.000001780
dp-old,tree,36,35,2,0.000001794
dp-old,tree,39,38,0,0.000001956
dp-old,tree,39,38,1,0.000001974
dp-old,tree,39,38,2,0.000001969
dp-old,tree,42,41,0,0.000002107
dp-old,tree,42,41,1,0.000002109
dp-old,tree,42,41,2,0.000002095
dp-old,tree,45,44,0,0.000002301
dp-old,tree,45,44,1,0.000002301
dp-old,tree,45,44,2,0.000002293
dp-old,tree,48,47,0,0.000002456
dp-old,tree,48,47,1,0.000002430
dp-old,tree,48,47,2,0.000002427
dp-old,tree,51,50,0,0.000002666
dp-old,tree,51,50,1,0.000002674
dp-old,tree,51,50,2,0.000002680
dp-old,tree,55,54,0,0.000002948
dp-old,tree,55,54,1,0.000002886
dp-old,tree,55,54,2,0.000002874
dp-old,tree,59,58,0,0.000003150
dp-old,tree,59,58,1,0.000003133
dp-old,tree,59,58,2,0.000003138
dp-old,tree,63,62,0,0.000003521
dp-old,tree,63,62,1,0.000003459
dp-old,tree,63,62,2,0.000003455
dp-old,tree,67,66,0,0.000003833
dp-old,tree,67,66,1,0.000003826
dp-old,tree,67,66,2,0.000003810
