type,n,rows,values,gen_s,plan_s,exec_s,ns_per_value,count,overflow
chain,1000,101464,202724,0.000137,0.000018,0.000189,0.93,624521807024200942,1
chain,2000,202901,405598,0.000265,0.000040,0.000385,0.95,892992645455904982,1
chain,4000,406051,811898,0.000466,0.000068,0.000797,0.98,1074615606370131835,1
chain,8000,811990,1623776,0.000921,0.000140,0.001616,1.00,2074964022002405521,1
chain,16000,1624183,3248161,0.001797,0.000270,0.003233,1.00,2260146056102244456,1
chain,32000,3247987,6495773,0.003671,0.000495,0.006641,1.02,613792087359868443,1
chain,64000,6495867,12991529,0.007358,0.001103,0.013589,1.05,2032655166349750275,1
chain,128000,12991672,25983140,0.014496,0.002173,0.026377,1.02,284481533525637480,1
chain,256000,25983036,51965870,0.026795,0.004485,0.052221,1.00,694159501876433447,1
chain,512000,51968501,103936799,0.054870,0.008680,0.107448,1.03,2273987555222129451,1
chain,1024000,103937108,207874013,0.113089,0.018589,0.218413,1.05,80342304551261050,1
chain,2048000,207872647,415745092,0.227153,0.037813,0.446428,1.07,849599209528817128,1
chain,4096000,415746210,831492215,0.463905,0.072899,0.860872,1.04,1614109413697446103,1
chain,8192000,831488212,1662976219,0.907587,0.143249,1.689507,1.02,948620176880006038,1
chain,16200000,1644289805,3288579407,1.769584,0.284080,3.330469,1.01,805053490250114794,1
