type,n,rows,values,gen_s,plan_s,exec_s,ns_per_value,count,overflow
clique,1000,101464,101464,0.000047,0.000011,0.000380,3.74,1150166318923394586,1
clique,2000,202901,202901,0.000084,0.000021,0.000676,3.33,1110157350210846658,1
clique,4000,406051,406051,0.000152,0.000038,0.001357,3.34,584609974126869909,1
clique,8000,811990,811990,0.000309,0.000083,0.002737,3.37,2013405399519874813,1
clique,16000,1624183,1624183,0.000617,0.000162,0.005383,3.31,1412036132916198154,1
clique,32000,3247987,3247987,0.001265,0.000277,0.010710,3.30,1916434908288637755,1
clique,64000,6495867,6495867,0.002501,0.000562,0.021591,3.32,1508607149803714990,1
clique,128000,12991672,12991672,0.005022,0.001115,0.042989,3.31,1722427781966035800,1
clique,256000,25983036,25983036,0.010440,0.002253,0.089031,3.43,1347611946493586555,1
clique,512000,51968501,51968501,0.020981,0.004414,0.173452,3.34,236258494126857813,1
clique,1024000,103937108,103937108,0.039744,0.010033,0.352674,3.39,1992515442749135371,1
clique,2048000,207872647,207872647,0.083875,0.020633,0.698304,3.36,2053880270683238894,1
clique,4096000,415746210,415746210,0.164368,0.041323,1.408630,3.39,1060285124868945581,1
clique,8192000,831488212,831488212,0.322703,0.102130,2.808524,3.38,1322080697429531874,1
clique,16200000,1644289805,1644289805,0.671162,0.167464,6.704814,4.08,1861466916787236466,1
