type,n,rows,values,gen_s,plan_s,exec_s,ns_per_value,count,overflow
star,1000,101464,204258,0.000100,0.000015,0.000381,1.87,990673226938943710,1
star,2000,202901,408695,0.000175,0.000027,0.000685,1.68,1046353032388394968,1
star,4000,406051,809849,0.000341,0.000054,0.001337,1.65,857870921504974962,1
star,8000,811990,1635784,0.000688,0.000118,0.002745,1.68,1766768188422259529,1
star,16000,1624183,3255979,0.001362,0.000224,0.006546,2.01,943209326144490670,1
star,32000,3247987,6447787,0.002590,0.000374,0.011733,1.82,1173492219803955611,1
star,64000,6495867,13023663,0.006267,0.001086,0.024105,1.85,1140992817725906979,1
star,128000,12991672,26047468,0.012450,0.002049,0.053566,2.06,1675524970688044171,1
star,256000,25983036,51582836,0.022798,0.002918,0.092563,1.79,1212036518277686559,1
star,512000,51968501,104704295,0.046317,0.006369,0.189775,1.81,1784591841507076860,1
star,1024000,103937108,208384904,0.092943,0.015541,0.371308,1.78,994659445340473046,1
star,2048000,207872647,416768443,0.176365,0.031103,0.710525,1.70,601602105977401489,1
star,4096000,415746210,833538006,0.340062,0.064184,1.518776,1.82,797277432701318513,1
star,8192000,831488212,1667072008,0.784589,0.151650,2.915852,1.75,552788242143592076,1
star,16200000,1644289805,3296689601,1.408719,0.252078,5.566484,1.69,1011276783828299680,1
