type,n,rows,values,gen_s,plan_s,exec_s,ns_per_value,count,overflow
tree,1000,101464,202762,0.000159,0.000033,0.000226,1.11,1137009790923014949,1
tree,2000,202901,405638,0.000300,0.000061,0.000482,1.19,73457074358093553,1
tree,4000,406051,811957,0.000535,0.000122,0.001029,1.27,1622908247059611183,1
tree,8000,811990,1623765,0.001074,0.000270,0.001900,1.17,583475455845204246,1
tree,16000,1624183,3248259,0.002148,0.000566,0.003717,1.14,1732919807225138684,1
tree,32000,3247987,6495390,0.004435,0.001110,0.008228,1.27,1636630726835300793,1
tree,64000,6495867,12991354,0.008662,0.002501,0.018895,1.45,2053296290792481444,1
tree,128000,12991672,25983811,0.017606,0.005420,0.045649,1.76,1735600758773241138,1
tree,256000,25983036,51964823,0.036334,0.011267,0.098064,1.89,1559078772735099451,1
tree,512000,51968501,103937239,0.075276,0.025012,0.228214,2.20,1097464273225203502,1
tree,1024000,103937108,207873195,0.187751,0.103280,0.484843,2.33,490435197547814911,1
tree,2048000,207872647,415745950,0.401584,0.322968,1.097791,2.64,1455754184725575557,1
tree,4096000,415746210,831492865,0.881559,0.806259,2.437861,2.93,927937670555475296,1
tree,4400000,446604463,893206637,1.010241,0.936644,2.586127,2.90,1061019960705522127,1
