type,n,rows,values,gen_s,plan_s,exec_s,ns_per_value,count,overflow
chain,1000,5464,10916,0.000113,0.000029,0.000049,4.45,40797214374787536,1
chain,2000,10901,21790,0.000203,0.000057,0.000088,4.05,917561635205089790,1
chain,4000,22051,44090,0.000375,0.000108,0.000191,4.33,1311060615878363224,1
chain,8000,43990,87968,0.000729,0.000217,0.000398,4.53,1485753154629568510,1
chain,16000,88183,176353,0.001189,0.000435,0.000774,4.39,2070966270095793108,1
chain,32000,175987,351965,0.002072,0.000745,0.001432,4.07,1186479697872450514,1
chain,64000,351867,703721,0.004076,0.001518,0.002609,3.71,1150718058588498416,1
chain,128000,703672,1407332,0.007432,0.002700,0.004606,3.27,1419403691424993261,1
chain,256000,1407036,2814062,0.012235,0.004830,0.008067,2.87,500546651157283315,1
chain,512000,2816501,5632991,0.022145,0.008738,0.015294,2.71,2093393911775160627,1
chain,1024000,5633108,11266205,0.045899,0.016918,0.032773,2.91,1770378774939149464,1
chain,2048000,11264647,22529284,0.089956,0.034695,0.064045,2.84,2113210683804778078,1
chain,4096000,22530210,45060407,0.183564,0.070784,0.131061,2.91,1896296234585339147,1
chain,8192000,45056212,90112411,0.702010,0.159342,0.329781,3.66,1167125153820126263,1
chain,16200000,89089805,178179599,0.763712,0.296159,0.524424,2.94,59920884859110138,1
