type,n,rows,values,gen_s,plan_s,exec_s,ns_per_value,count,overflow
clique,1000,5464,5464,0.000013,0.000011,0.000043,7.88,1762074088375529172,1
clique,2000,10901,10901,0.000022,0.000020,0.000075,6.85,16168197055215504,1
clique,4000,22051,22051,0.000042,0.000038,0.000140,6.35,115106311512397790,1
clique,8000,43990,43990,0.000081,0.000073,0.000280,6.36,1063867550528634848,1
clique,16000,88183,88183,0.000163,0.000173,0.000598,6.78,1753513880146562017,1
clique,32000,175987,175987,0.000304,0.000295,0.001174,6.67,666795320853861348,1
clique,64000,351867,351867,0.000648,0.000550,0.002364,6.72,41016478497548291,1
clique,128000,703672,703672,0.001297,0.001151,0.005661,8.04,1088426325497297425,1
clique,256000,1407036,1407036,0.002399,0.002331,0.009640,6.85,811181376586025144,1
clique,512000,2816501,2816501,0.005081,0.004301,0.020128,7.15,603633739838007122,1
clique,1024000,5633108,5633108,0.009669,0.010581,0.043433,7.71,911226506804476864,1
clique,2048000,11264647,11264647,0.019432,0.020066,0.084154,7.47,1639964792579131515,1
clique,4096000,22530210,22530210,0.038735,0.041082,0.177881,7.90,1681686006404384592,1
clique,8192000,45056212,45056212,0.082659,0.117523,0.388876,8.63,1396448287043430942,1
clique,16200000,89089805,89089805,0.165825,0.175392,0.686258,7.70,2289462212949474289,1
