type,n,rows,values,gen_s,plan_s,exec_s,ns_per_value,count,overflow
star,1000,5464,12450,0.000035,0.000015,0.000042,3.39,2137067084347469109,1
star,2000,10901,24887,0.000060,0.000028,0.000072,2.88,1898404198602698531,1
star,4000,22051,42041,0.000092,0.000053,0.000128,3.04,851817131916646987,1
star,8000,43990,99976,0.000176,0.000111,0.000294,2.94,1265186432960208804,1
star,16000,88183,184171,0.000338,0.000226,0.000578,3.14,1584935252538236543,1
star,32000,175987,303979,0.000643,0.000339,0.000949,3.12,666795320853861348,1
star,64000,351867,735855,0.001307,0.000937,0.002181,2.96,1834712553995321058,1
star,128000,703672,1471660,0.002649,0.001825,0.005189,3.53,933826579000971426,1
star,256000,1407036,2431028,0.005258,0.002507,0.008657,3.56,811181376586025144,1
star,512000,2816501,6400487,0.011173,0.006750,0.021904,3.42,1105632411414738554,1
star,1024000,5633108,11777096,0.022462,0.015727,0.042869,3.64,1673645205304117904,1
star,2048000,11264647,23552635,0.048116,0.031126,0.088718,3.77,1198726755786898376,1
star,4096000,22530210,47106198,0.091389,0.065976,0.180314,3.83,2183028953121037104,1
star,8192000,45056212,94208200,0.183995,0.125615,0.371340,3.94,598203414064063168,1
star,16200000,89089805,186289793,0.353262,0.246755,0.649112,3.48,2295643275153872338,1
