type,n,rows,values,gen_s,plan_s,exec_s,ns_per_value,count,overflow
tree,1000,5464,10954,0.000097,0.000031,0.000045,4.09,1905540302996139094,1
tree,2000,10901,21830,0.000165,0.000057,0.000081,3.70,376911099897067145,1
tree,4000,22051,44149,0.000304,0.000114,0.000172,3.90,1862452884838993873,1
tree,8000,43990,87957,0.000600,0.000254,0.000365,4.15,1330961787648531634,1
tree,16000,88183,176451,0.001168,0.000518,0.000774,4.39,2106141364623788779,1
tree,32000,175987,351582,0.002283,0.001101,0.001640,4.66,549257466037155956,1
tree,64000,351867,703546,0.004582,0.002415,0.003634,5.16,611942451647867696,1
tree,128000,703672,1408003,0.009673,0.005483,0.007964,5.66,826180686388449273,1
tree,256000,1407036,2813015,0.019619,0.011246,0.022457,7.98,1548542856514595570,1
tree,512000,2816501,5633431,0.044336,0.025998,0.073273,13.01,2043936766384449934,1
tree,1024000,5633108,11265387,0.107212,0.094814,0.194996,17.31,2046658060145894102,1
tree,2048000,11264647,22530142,0.266658,0.391809,0.507168,22.51,1706052104425305811,1
tree,4096000,22530210,45061057,0.629740,0.791008,1.063103,23.59,153308759697406770,1
tree,4400000,24204463,48406829,0.651425,0.930286,1.190778,24.60,1194299560471536708,1
