algo,type,n,m,trial,time
lindp-new-basic,chain,3,2,0,0.000001380
lindp-new-basic,chain,3,2,1,0.000001286
lindp-new-basic,chain,3,2,2,0.000001308
lindp-new-basic,chain,4,3,0,0.000001731
lindp-new-basic,chain,4,3,1,0.000001705
lindp-new-basic,chain,4,3,2,0.000001816
lindp-new-basic,chain,5,4,0,0.000002733
lindp-new-basic,chain,5,4,1,0.000002516
lindp-new-basic,chain,5,4,2,0.000002415
lindp-new-basic,chain,6,5,0,0.000003134
lindp-new-basic,chain,6,5,1,0.000003144
lindp-new-basic,chain,6,5,2,0.000003089
lindp-new-basic,chain,7,6,0,0.000003736
lindp-new-basic,chain,7,6,1,0.000004028
lindp-new-basic,chain,7,6,2,0.000003875
lindp-new-basic,chain,8,7,0,0.000004821
lindp-new-basic,chain,8,7,1,0.000004373
lindp-new-basic,chain,8,7,2,0.000004733
lindp-new-basic,chain,9,8,0,0.000005554
lindp-new-basic,chain,9,8,1,0.000005775
lindp-new-basic,chain,9,8,2,0.000005615
lindp-new-basic,chain,10,9,0,0.000007306
lindp-new-basic,chain,10,9,1,0.000007008
lindp-new-basic,chain,10,9,2,0.000006936
lindp-new-basic,chain,11,10,0,0.000009041
lindp-new-basic,chain,11,10,1,0.000008447
lindp-new-basic,chain,11,10,2,0.000008530
lindp-new-basic,chain,12,11,0,0.000010047
lindp-new-basic,chain,12,11,1,0.000009966
lindp-new-basic,chain,12,11,2,0.000010146
lindp-new-basic,chain,13,12,0,0.000011295
lindp-new-basic,chain,13,12,1,0.000010997
lindp-new-basic,chain,13,12,2,0.000010684
lindp-new-basic,chain,14,13,0,0.000012012
lindp-new-basic,chain,14,13,1,0.000014366
lindp-new-basic,chain,14,13,2,0.000013943
lindp-new-basic,chain,15,14,0,0.000014586
lindp-new-basic,chain,15,14,1,0.000014491
lindp-new-basic,chain,15,14,2,0.000015567
lindp-new-basic,chain,16,15,0,0.000016444
lindp-new-basic,chain,16,15,1,0.000016874
lindp-new-basic,chain,16,15,2,0.000016434
lindp-new-basic,chain,17,16,0,0.000019845
lindp-new-basic,chain,17,16,1,0.000018193
lindp-new-basic,chain,17,16,2,0.000020581
lindp-new-basic,chain,19,18,0,0.000023454
lindp-new-basic,chain,19,18,1,0.000022956
lindp-new-basic,chain,19,18,2,0.000030243
lindp-new-basic,chain,21,20,0,0.000028545
lindp-new-basic,chain,21,20,1,0.000033162
lindp-new-basic,chain,21,20,2,0.000032193
lindp-new-basic,chain,23,22,0,0.000033255
lindp-new-basic,chain,23,22,1,0.000039229
lindp-new-basic,chain,23,22,2,0.000038655
lindp-new-basic,chain,25,24,0,0.000042664
lindp-new-basic,chain,25,24,1,0.000045867
lindp-new-basic,chain,25,24,2,0.000052335
lindp-new-basic,chain,27,26,0,0.000065235
lindp-new-basic,chain,27,26,1,0.000053026
lindp-new-basic,chain,27,26,2,0.000060612
lindp-new-basic,chain,29,28,0,0.000066723
lindp-new-basic,chain,29,28,1,0.000063051
lindp-new-basic,chain,29,28,2,0.000058687
lindp-new-basic,chain,31,30,0,0.000076272
lindp-new-basic,chain,31,30,1,0.000079431
lindp-new-basic,chain,31,30,2,0.000084705
lindp-new-basic,chain,33,32,0,0.000091304
lindp-new-basic,chain,33,32,1,0.000082705
lindp-new-basic,chain,33,32,2,0.000098434
lindp-new-basic,chain,36,35,0,0.000112517
lindp-new-basic,chain,36,35,1,0.000135083
lindp-new-basic,chain,36,35,2,0.000102513
lindp-new-basic,chain,39,38,0,0.000134033
lindp-new-basic,chain,39,38,1,0.000158866
lindp-new-basic,chain,39,38,2,0.000121113
lindp-new-basic,chain,42,41,0,0.000187371
lindp-new-basic,chain,42,41,1,0.000171105
lindp-new-basic,chain,42,41,2,0.000227576
lindp-new-basic,chain,45,44,0,0.000167152
lindp-new-basic,chain,45,44,1,0.000226824
lindp-new-basic,chain,45,44,2,0.000168095
lindp-new-basic,chain,48,47,0,0.000226674
lindp-new-basic,chain,48,47,1,0.000236293
lindp-new-basic,chain,48,47,2,0.000195074
