algo,type,n,m,trial,time
lindp-new-basic,clique,3,3,0,0.000001400
lindp-new-basic,clique,3,3,1,0.000001382
lindp-new-basic,clique,3,3,2,0.000001392
lindp-new-basic,clique,4,6,0,0.000002011
lindp-new-basic,clique,4,6,1,0.000001976
lindp-new-basic,clique,4,6,2,0.000002001
lindp-new-basic,clique,5,10,0,0.000002991
lindp-new-basic,clique,5,10,1,0.000003083
lindp-new-basic,clique,5,10,2,0.000003041
lindp-new-basic,clique,6,15,0,0.000003804
lindp-new-basic,clique,6,15,1,0.000003722
lindp-new-basic,clique,6,15,2,0.000003984
lindp-new-basic,clique,7,21,0,0.000005023
lindp-new-basic,clique,7,21,1,0.000004995
lindp-new-basic,clique,7,21,2,0.000005517
lindp-new-basic,clique,8,28,0,0.000006208
lindp-new-basic,clique,8,28,1,0.000006239
lindp-new-basic,clique,8,28,2,0.000006269
lindp-new-basic,clique,9,36,0,0.000008281
lindp-new-basic,clique,9,36,1,0.000008752
lindp-new-basic,clique,9,36,2,0.000008451
lindp-new-basic,clique,10,45,0,0.000010404
lindp-new-basic,clique,10,45,1,0.000010372
lindp-new-basic,clique,10,45,2,0.000010785
lindp-new-basic,clique,11,55,0,0.000012596
lindp-new-basic,clique,11,55,1,0.000012786
lindp-new-basic,clique,11,55,2,0.000013405
lindp-new-basic,clique,12,66,0,0.000015829
lindp-new-basic,clique,12,66,1,0.000014763
lindp-new-basic,clique,12,66,2,0.000016218
lindp-new-basic,clique,13,78,0,0.000018660
lindp-new-basic,clique,13,78,1,0.000020213
lindp-new-basic,clique,13,78,2,0.000018412
lindp-new-basic,clique,14,91,0,0.000022398
lindp-new-basic,clique,14,91,1,0.000022590
lindp-new-basic,clique,14,91,2,0.000021214
lindp-new-basic,clique,15,105,0,0.000027305
lindp-new-basic,clique,15,105,1,0.000028693
lindp-new-basic,clique,15,105,2,0.000028486
lindp-new-basic,clique,16,120,0,0.000033768
lindp-new-basic,clique,16,120,1,0.000033923
lindp-new-basic,clique,16,120,2,0.000030929
lindp-new-basic,clique,17,136,0,0.000037784
lindp-new-basic,clique,17,136,1,0.000039859
lindp-new-basic,clique,17,136,2,0.000044840
lindp-new-basic,clique,19,171,0,0.000051280
lindp-new-basic,clique,19,171,1,0.000060727
lindp-new-basic,clique,19,171,2,0.000057956
lindp-new-basic,clique,21,210,0,0.000073809
lindp-new-basic,clique,21,210,1,0.000082322
lindp-new-basic,clique,21,210,2,0.000077737
lindp-new-basic,clique,23,253,0,0.000100050
lindp-new-basic,clique,23,253,1,0.000092354
lindp-new-basic,clique,23,253,2,0.000100984
lindp-new-basic,clique,25,300,0,0.000133366
lindp-new-basic,clique,25,300,1,0.000112574
lindp-new-basic,clique,25,300,2,0.000148247
lindp-new-basic,clique,27,351,0,0.000141343
lindp-new-basic,clique,27,351,1,0.000164128
lindp-new-basic,clique,27,351,2,0.000146060
lindp-new-basic,clique,29,406,0,0.000180423
lindp-new-basic,clique,29,406,1,0.000185959
lindp-new-basic,clique,29,406,2,0.000186025
lindp-new-basic,clique,31,465,0,0.000259832
lindp-new-basic,clique,31,465,1,0.000245792
lindp-new-basic,clique,31,465,2,0.000229336
lindp-new-basic,clique,33,528,0,0.000296707
lindp-new-basic,clique,33,528,1,0.000312366
lindp-new-basic,clique,33,528,2,0.000300260
lindp-new-basic,clique,36,630,0,0.000438601
lindp-new-basic,clique,36,630,1,0.000418889
lindp-new-basic,clique,36,630,2,0.000436998
lindp-new-basic,clique,39,741,0,0.000482266
lindp-new-basic,clique,39,741,1,0.000557788
lindp-new-basic,clique,39,741,2,0.000528768
lindp-new-basic,clique,42,861,0,0.000698914
lindp-new-basic,clique,42,861,1,0.000696548
lindp-new-basic,clique,42,861,2,0.000716277
lindp-new-basic,clique,45,990,0,0.000869875
lindp-new-basic,clique,45,990,1,0.000766625
lindp-new-basic,clique,45,990,2,0.000933560
lindp-new-basic,clique,48,1128,0,0.001169307
lindp-new-basic,clique,48,1128,1,0.001051183
lindp-new-basic,clique,48,1128,2,0.001133658
lindp-new-basic,clique,51,1275,0,0.001452455
lindp-new-basic,clique,51,1275,1,0.001483290
lindp-new-basic,clique,51,1275,2,0.001361168
lindp-new-basic,clique,55,1485,0,0.001588116
lindp-new-basic,clique,55,1485,1,0.001806232
lindp-new-basic,clique,55,1485,2,0.001982643
lindp-new-basic,clique,59,1711,0,0.002190319
lindp-new-basic,clique,59,1711,1,0.002282442
lindp-new-basic,clique,59,1711,2,0.002022981
lindp-new-basic,clique,63,1953,0,0.002825966
lindp-new-basic,clique,63,1953,1,0.003061481
lindp-new-basic,clique,63,1953,2,0.002701679
lindp-new-basic,clique,67,2211,0,0.004051203
lindp-new-basic,clique,67,2211,1,0.003537853
lindp-new-basic,clique,67,2211,2,0.003721981
lindp-new-basic,clique,72,2556,0,0.004772173
lindp-new-basic,clique,72,2556,1,0.004527299
lindp-new-basic,clique,72,2556,2,0.005384833
lindp-new-basic,clique,77,2926,0,0.005804801
lindp-new-basic,clique,77,2926,1,0.006194257
lindp-new-basic,clique,77,2926,2,0.005555440
lindp-new-basic,clique,82,3321,0,0.008062000
lindp-new-basic,clique,82,3321,1,0.007896660
lindp-new-basic,clique,82,3321,2,0.006601304
lindp-new-basic,clique,88,3828,0,0.010418479
lindp-new-basic,clique,88,3828,1,0.008738469
lindp-new-basic,clique,88,3828,2,0.009945015
lindp-new-basic,clique,94,4371,0,0.015325417
lindp-new-basic,clique,94,4371,1,0.010857471
lindp-new-basic,clique,94,4371,2,0.013868240
lindp-new-basic,clique,100,4950,0,0.017011271
lindp-new-basic,clique,100,4950,1,0.017066410
lindp-new-basic,clique,100,4950,2,0.017954882
lindp-new-basic,clique,107,5671,0,0.021326892
lindp-new-basic,clique,107,5671,1,0.018166250
lindp-new-basic,clique,107,5671,2,0.023259592
lindp-new-basic,clique,114,6441,0,0.028668188
lindp-new-basic,clique,114,6441,1,0.027628396
lindp-new-basic,clique,114,6441,2,0.030763292
lindp-new-basic,clique,122,7381,0,0.032397156
lindp-new-basic,clique,122,7381,1,0.036158750
lindp-new-basic,clique,122,7381,2,0.033792778
lindp-new-basic,clique,130,8385,0,0.048393570
lindp-new-basic,clique,130,8385,1,0.043868847
lindp-new-basic,clique,130,8385,2,0.042926972
lindp-new-basic,clique,139,9591,0,0.063476771
lindp-new-basic,clique,139,9591,1,0.057782125
lindp-new-basic,clique,139,9591,2,0.055505792
lindp-new-basic,clique,148,10878,0,0.081859896
lindp-new-basic,clique,148,10878,1,0.064242021
lindp-new-basic,clique,148,10878,2,0.077400667
lindp-new-basic,clique,158,12403,0,0.083235271
lindp-new-basic,clique,158,12403,1,0.091084313
lindp-new-basic,clique,158,12403,2,0.104085208
lindp-new-basic,clique,168,14028,0,0.118155375
lindp-new-basic,clique,168,14028,1,0.122493209
lindp-new-basic,clique,168,14028,2,0.130609959
lindp-new-basic,clique,179,15931,0,0.127754667
lindp-new-basic,clique,179,15931,1,0.143487416
lindp-new-basic,clique,179,15931,2,0.156146667
lindp-new-basic,clique,191,18145,0,0.186423042
lindp-new-basic,clique,191,18145,1,0.185030375
lindp-new-basic,clique,191,18145,2,0.184652167
lindp-new-basic,clique,203,20503,0,0.254413791
lindp-new-basic,clique,203,20503,1,0.263811625
lindp-new-basic,clique,203,20503,2,0.236285166
lindp-new-basic,clique,216,23220,0,0.332503292
lindp-new-basic,clique,216,23220,1,0.345942334
lindp-new-basic,clique,216,23220,2,0.305090417
lindp-new-basic,clique,230,26335,0,0.400234167
lindp-new-basic,clique,230,26335,1,0.386270458
lindp-new-basic,clique,230,26335,2,0.394959542
lindp-new-basic,clique,245,29890,0,0.499382334
lindp-new-basic,clique,245,29890,1,0.498458500
lindp-new-basic,clique,245,29890,2,0.481550916
lindp-new-basic,clique,261,33930,0,0.661581875
lindp-new-basic,clique,261,33930,1,0.658740750
lindp-new-basic,clique,261,33930,2,0.678954459
lindp-new-basic,clique,278,38503,0,0.878659167
lindp-new-basic,clique,278,38503,1,0.888911708
lindp-new-basic,clique,278,38503,2,0.778119500
lindp-new-basic,clique,296,43660,0,1.051468916
lindp-new-basic,clique,296,43660,1,1.074033667
lindp-new-basic,clique,296,43660,2,1.224526459
