algo,type,n,m,trial,time
lindp-new-basic,star,3,2,0,0.000001310
lindp-new-basic,star,3,2,1,0.000001221
lindp-new-basic,star,3,2,2,0.000001270
lindp-new-basic,star,4,3,0,0.000001815
lindp-new-basic,star,4,3,1,0.000001746
lindp-new-basic,star,4,3,2,0.000001816
lindp-new-basic,star,5,4,0,0.000002178
lindp-new-basic,star,5,4,1,0.000002164
lindp-new-basic,star,5,4,2,0.000002174
lindp-new-basic,star,6,5,0,0.000002983
lindp-new-basic,star,6,5,1,0.000003007
lindp-new-basic,star,6,5,2,0.000002840
lindp-new-basic,star,7,6,0,0.000003522
lindp-new-basic,star,7,6,1,0.000003367
lindp-new-basic,star,7,6,2,0.000003545
lindp-new-basic,star,8,7,0,0.000003958
lindp-new-basic,star,8,7,1,0.000004006
lindp-new-basic,star,8,7,2,0.000004025
lindp-new-basic,star,9,8,0,0.000004904
lindp-new-basic,star,9,8,1,0.000004775
lindp-new-basic,star,9,8,2,0.000004919
lindp-new-basic,star,10,9,0,0.000005400
lindp-new-basic,star,10,9,1,0.000005638
lindp-new-basic,star,10,9,2,0.000005499
lindp-new-basic,star,11,10,0,0.000006403
lindp-new-basic,star,11,10,1,0.000006479
lindp-new-basic,star,11,10,2,0.000006526
lindp-new-basic,star,12,11,0,0.000007510
lindp-new-basic,star,12,11,1,0.000007334
lindp-new-basic,star,12,11,2,0.000007146
lindp-new-basic,star,13,12,0,0.000007791
lindp-new-basic,star,13,12,1,0.000008381
lindp-new-basic,star,13,12,2,0.000007971
lindp-new-basic,star,14,13,0,0.000008687
lindp-new-basic,star,14,13,1,0.000008818
lindp-new-basic,star,14,13,2,0.000008893
lindp-new-basic,star,15,14,0,0.000009822
lindp-new-basic,star,15,14,1,0.000010050
lindp-new-basic,star,15,14,2,0.000009557
lindp-new-basic,star,16,15,0,0.000011051
lindp-new-basic,star,16,15,1,0.000010939
lindp-new-basic,star,16,15,2,0.000010761
lindp-new-basic,star,17,16,0,0.000012598
lindp-new-basic,star,17,16,1,0.000012629
lindp-new-basic,star,17,16,2,0.000013089
