algo,type,n,m,trial,time
lindp-new-basic,tree,3,2,0,0.000001293
lindp-new-basic,tree,3,2,1,0.000001295
lindp-new-basic,tree,3,2,2,0.000001294
lindp-new-basic,tree,4,3,0,0.000001863
lindp-new-basic,tree,4,3,1,0.000001840
lindp-new-basic,tree,4,3,2,0.000001923
lindp-new-basic,tree,5,4,0,0.000002625
lindp-new-basic,tree,5,4,1,0.000002550
lindp-new-basic,tree,5,4,2,0.000002433
lindp-new-basic,tree,6,5,0,0.000003187
lindp-new-basic,tree,6,5,1,0.000003069
lindp-new-basic,tree,6,5,2,0.000003136
lindp-new-basic,tree,7,6,0,0.000004100
lindp-new-basic,tree,7,6,1,0.000004086
lindp-new-basic,tree,7,6,2,0.000003887
lindp-new-basic,tree,8,7,0,0.000004868
lindp-new-basic,tree,8,7,1,0.000004712
lindp-new-basic,tree,8,7,2,0.000004789
lindp-new-basic,tree,9,8,0,0.000005927
lindp-new-basic,tree,9,8,1,0.000005807
lindp-new-basic,tree,9,8,2,0.000005861
lindp-new-basic,tree,10,9,0,0.000007194
lindp-new-basic,tree,10,9,1,0.000006882
lindp-new-basic,tree,10,9,2,0.000007184
lindp-new-basic,tree,11,10,0,0.000008338
lindp-new-basic,tree,11,10,1,0.000008324
lindp-new-basic,tree,11,10,2,0.000008226
lindp-new-basic,tree,12,11,0,0.000009482
lindp-new-basic,tree,12,11,1,0.000009822
lindp-new-basic,tree,12,11,2,0.000009858
lindp-new-basic,tree,13,12,0,0.000011200
lindp-new-basic,tree,13,12,1,0.000010864
lindp-new-basic,tree,13,12,2,0.000010771
lindp-new-basic,tree,14,13,0,0.000013407
lindp-new-basic,tree,14,13,1,0.000011741
lindp-new-basic,tree,14,13,2,0.000012332
lindp-new-basic,tree,15,14,0,0.000013827
lindp-new-basic,tree,15,14,1,0.000013045
lindp-new-basic,tree,15,14,2,0.000013945
lindp-new-basic,tree,16,15,0,0.000015127
lindp-new-basic,tree,16,15,1,0.000014841
lindp-new-basic,tree,16,15,2,0.000015750
lindp-new-basic,tree,17,16,0,0.000017910
lindp-new-basic,tree,17,16,1,0.000019841
lindp-new-basic,tree,17,16,2,0.000019754
lindp-new-basic,tree,19,18,0,0.000024203
lindp-new-basic,tree,19,18,1,0.000020848
lindp-new-basic,tree,19,18,2,0.000024069
lindp-new-basic,tree,21,20,0,0.000025735
lindp-new-basic,tree,21,20,1,0.000026098
lindp-new-basic,tree,21,20,2,0.000027166
lindp-new-basic,tree,23,22,0,0.000030518
lindp-new-basic,tree,23,22,1,0.000031332
lindp-new-basic,tree,23,22,2,0.000032673
lindp-new-basic,tree,25,24,0,0.000037929
lindp-new-basic,tree,25,24,1,0.000039639
lindp-new-basic,tree,25,24,2,0.000041299
lindp-new-basic,tree,27,26,0,0.000048571
lindp-new-basic,tree,27,26,1,0.000046232
lindp-new-basic,tree,27,26,2,0.000042346
lindp-new-basic,tree,29,28,0,0.000051741
lindp-new-basic,tree,29,28,1,0.000045893
lindp-new-basic,tree,29,28,2,0.000047649
lindp-new-basic,tree,31,30,0,0.000052994
lindp-new-basic,tree,31,30,1,0.000053356
lindp-new-basic,tree,31,30,2,0.000055049
lindp-new-basic,tree,33,32,0,0.000062990
lindp-new-basic,tree,33,32,1,0.000066534
lindp-new-basic,tree,33,32,2,0.000065045
lindp-new-basic,tree,36,35,0,0.000096538
lindp-new-basic,tree,36,35,1,0.000081455
lindp-new-basic,tree,36,35,2,0.000082614
lindp-new-basic,tree,39,38,0,0.000090304
lindp-new-basic,tree,39,38,1,0.000097123
lindp-new-basic,tree,39,38,2,0.000094024
lindp-new-basic,tree,42,41,0,0.000115243
lindp-new-basic,tree,42,41,1,0.000096062
lindp-new-basic,tree,42,41,2,0.000134830
lindp-new-basic,tree,45,44,0,0.000123149
lindp-new-basic,tree,45,44,1,0.000130863
lindp-new-basic,tree,45,44,2,0.000126390
lindp-new-basic,tree,48,47,0,0.000146948
lindp-new-basic,tree,48,47,1,0.000154605
lindp-new-basic,tree,48,47,2,0.000152528
lindp-new-basic,tree,51,50,0,0.000147722
lindp-new-basic,tree,51,50,1,0.000200705
lindp-new-basic,tree,51,50,2,0.000201230
lindp-new-basic,tree,55,54,0,0.000184798
lindp-new-basic,tree,55,54,1,0.000192267
lindp-new-basic,tree,55,54,2,0.000221125
lindp-new-basic,tree,59,58,0,0.000208213
lindp-new-basic,tree,59,58,1,0.000211976
lindp-new-basic,tree,59,58,2,0.000225524
lindp-new-basic,tree,63,62,0,0.000253195
lindp-new-basic,tree,63,62,1,0.000221853
lindp-new-basic,tree,63,62,2,0.000269126
lindp-new-basic,tree,67,66,0,0.000322301
lindp-new-basic,tree,67,66,1,0.000322241
lindp-new-basic,tree,67,66,2,0.000300867
lindp-new-basic,tree,72,71,0,0.000401363
lindp-new-basic,tree,72,71,1,0.000317411
lindp-new-basic,tree,72,71,2,0.000355346
lindp-new-basic,tree,77,76,0,0.000427693
lindp-new-basic,tree,77,76,1,0.000382973
lindp-new-basic,tree,77,76,2,0.000412858
lindp-new-basic,tree,82,81,0,0.000478695
lindp-new-basic,tree,82,81,1,0.000636872
lindp-new-basic,tree,82,81,2,0.000448522
lindp-new-basic,tree,88,87,0,0.000593055
lindp-new-basic,tree,88,87,1,0.000765130
lindp-new-basic,tree,88,87,2,0.000712627
lindp-new-basic,tree,94,93,0,0.000699052
lindp-new-basic,tree,94,93,1,0.000791661
lindp-new-basic,tree,94,93,2,0.000559125
lindp-new-basic,tree,100,99,0,0.000930953
lindp-new-basic,tree,100,99,1,0.000760592
lindp-new-basic,tree,100,99,2,0.000708259
lindp-new-basic,tree,107,106,0,0.001015549
lindp-new-basic,tree,107,106,1,0.001073233
lindp-new-basic,tree,107,106,2,0.001293262
lindp-new-basic,tree,114,113,0,0.001141103
lindp-new-basic,tree,114,113,1,0.001047410
lindp-new-basic,tree,114,113,2,0.001471324
lindp-new-basic,tree,122,121,0,0.002017536
lindp-new-basic,tree,122,121,1,0.001686196
lindp-new-basic,tree,122,121,2,0.001318273
lindp-new-basic,tree,130,129,0,0.001732244
lindp-new-basic,tree,130,129,1,0.001661852
lindp-new-basic,tree,130,129,2,0.001859449
lindp-new-basic,tree,139,138,0,0.001874245
lindp-new-basic,tree,139,138,1,0.001686393
lindp-new-basic,tree,139,138,2,0.002284045
lindp-new-basic,tree,148,147,0,0.002341612
lindp-new-basic,tree,148,147,1,0.002908767
lindp-new-basic,tree,148,147,2,0.001820402
lindp-new-basic,tree,158,157,0,0.002478002
lindp-new-basic,tree,158,157,1,0.003647129
lindp-new-basic,tree,158,157,2,0.002822596
lindp-new-basic,tree,168,167,0,0.004205898
lindp-new-basic,tree,168,167,1,0.002120157
lindp-new-basic,tree,168,167,2,0.003043531
lindp-new-basic,tree,179,178,0,0.003872944
lindp-new-basic,tree,179,178,1,0.003329746
lindp-new-basic,tree,179,178,2,0.004727903
lindp-new-basic,tree,191,190,0,0.005291807
lindp-new-basic,tree,191,190,1,0.003811637
lindp-new-basic,tree,191,190,2,0.003480913
lindp-new-basic,tree,203,202,0,0.005391982
lindp-new-basic,tree,203,202,1,0.003859327
lindp-new-basic,tree,203,202,2,0.005138804
lindp-new-basic,tree,216,215,0,0.005332688
lindp-new-basic,tree,216,215,1,0.006349699
lindp-new-basic,tree,216,215,2,0.004615199
lindp-new-basic,tree,230,229,0,0.006682164
lindp-new-basic,tree,230,229,1,0.005087881
lindp-new-basic,tree,230,229,2,0.007098650
lindp-new-basic,tree,245,244,0,0.008158997
lindp-new-basic,tree,245,244,1,0.009481311
lindp-new-basic,tree,245,244,2,0.007123686
lindp-new-basic,tree,261,260,0,0.011053762
lindp-new-basic,tree,261,260,1,0.011829556
lindp-new-basic,tree,261,260,2,0.008562448
lindp-new-basic,tree,278,277,0,0.011863125
lindp-new-basic,tree,278,277,1,0.009765765
lindp-new-basic,tree,278,277,2,0.009392602
lindp-new-basic,tree,296,295,0,0.012281421
lindp-new-basic,tree,296,295,1,0.011259787
lindp-new-basic,tree,296,295,2,0.011801232
lindp-new-basic,tree,315,314,0,0.013412505
lindp-new-basic,tree,315,314,1,0.013277719
lindp-new-basic,tree,315,314,2,0.015194095
lindp-new-basic,tree,335,334,0,0.018372715
lindp-new-basic,tree,335,334,1,0.019707118
lindp-new-basic,tree,335,334,2,0.017038167
lindp-new-basic,tree,356,355,0,0.026489813
lindp-new-basic,tree,356,355,1,0.024403350
lindp-new-basic,tree,356,355,2,0.039263958
lindp-new-basic,tree,379,378,0,0.032490771
lindp-new-basic,tree,379,378,1,0.022379992
lindp-new-basic,tree,379,378,2,0.032451896
lindp-new-basic,tree,403,402,0,0.028246875
lindp-new-basic,tree,403,402,1,0.028572448
lindp-new-basic,tree,403,402,2,0.022101492
lindp-new-basic,tree,429,428,0,0.030409271
lindp-new-basic,tree,429,428,1,0.043009264
lindp-new-basic,tree,429,428,2,0.026097625
lindp-new-basic,tree,456,455,0,0.040484833
lindp-new-basic,tree,456,455,1,0.035647819
lindp-new-basic,tree,456,455,2,0.034460375
lindp-new-basic,tree,485,484,0,0.070051813
lindp-new-basic,tree,485,484,1,0.050577472
lindp-new-basic,tree,485,484,2,0.035363903
lindp-new-basic,tree,516,515,0,0.041776694
lindp-new-basic,tree,516,515,1,0.055878375
lindp-new-basic,tree,516,515,2,0.100513708
lindp-new-basic,tree,549,548,0,0.105309167
lindp-new-basic,tree,549,548,1,0.094318104
lindp-new-basic,tree,549,548,2,0.069967604
lindp-new-basic,tree,584,583,0,0.101111584
lindp-new-basic,tree,584,583,1,0.071882667
lindp-new-basic,tree,584,583,2,0.131685208
lindp-new-basic,tree,621,620,0,0.105537667
lindp-new-basic,tree,621,620,1,0.101118000
lindp-new-basic,tree,621,620,2,0.103789958
lindp-new-basic,tree,660,659,0,0.100380000
lindp-new-basic,tree,660,659,1,0.100717000
lindp-new-basic,tree,660,659,2,0.083362375
lindp-new-basic,tree,702,701,0,0.138512959
lindp-new-basic,tree,702,701,1,0.092915208
lindp-new-basic,tree,702,701,2,0.112365625
lindp-new-basic,tree,746,745,0,0.136241500
lindp-new-basic,tree,746,745,1,0.194919625
lindp-new-basic,tree,746,745,2,0.204914458
lindp-new-basic,tree,793,792,0,0.166220209
lindp-new-basic,tree,793,792,1,0.151883458
lindp-new-basic,tree,793,792,2,0.183431084
lindp-new-basic,tree,843,842,0,0.258235375
lindp-new-basic,tree,843,842,1,0.165007875
lindp-new-basic,tree,843,842,2,0.148464542
lindp-new-basic,tree,896,895,0,0.414257375
lindp-new-basic,tree,896,895,1,0.281099125
lindp-new-basic,tree,896,895,2,0.226396000
lindp-new-basic,tree,952,951,0,0.170899000
lindp-new-basic,tree,952,951,1,0.330581333
lindp-new-basic,tree,952,951,2,0.176004416
lindp-new-basic,tree,1012,1011,0,0.522851833
lindp-new-basic,tree,1012,1011,1,0.298090667
lindp-new-basic,tree,1012,1011,2,0.213201459
lindp-new-basic,tree,1076,1075,0,0.367998500
lindp-new-basic,tree,1076,1075,1,0.292982833
lindp-new-basic,tree,1076,1075,2,0.499326542
lindp-new-basic,tree,1144,1143,0,0.319907917
lindp-new-basic,tree,1144,1143,1,0.410827959
lindp-new-basic,tree,1144,1143,2,0.439251417
lindp-new-basic,tree,1216,1215,0,0.538421833
lindp-new-basic,tree,1216,1215,1,0.446088042
lindp-new-basic,tree,1216,1215,2,0.370633958
lindp-new-basic,tree,1292,1291,0,0.565356000
lindp-new-basic,tree,1292,1291,1,0.744003375
lindp-new-basic,tree,1292,1291,2,0.443496208
lindp-new-basic,tree,1373,1372,0,0.792102709
lindp-new-basic,tree,1373,1372,1,0.643231958
lindp-new-basic,tree,1373,1372,2,0.970727500
lindp-new-basic,tree,1459,1458,0,0.852719834
lindp-new-basic,tree,1459,1458,1,0.594678791
lindp-new-basic,tree,1459,1458,2,0.659838459
lindp-new-basic,tree,1551,1550,0,1.166900292
lindp-new-basic,tree,1551,1550,1,1.070411708
lindp-new-basic,tree,1551,1550,2,0.942641792
