algo,type,n,m,trial,time
lindp-new-none,chain,3,2,0,0.000001252
lindp-new-none,chain,3,2,1,0.000001201
lindp-new-none,chain,3,2,2,0.000001224
lindp-new-none,chain,4,3,0,0.000001660
lindp-new-none,chain,4,3,1,0.000001644
lindp-new-none,chain,4,3,2,0.000001733
lindp-new-none,chain,5,4,0,0.000002476
lindp-new-none,chain,5,4,1,0.000002495
lindp-new-none,chain,5,4,2,0.000002388
lindp-new-none,chain,6,5,0,0.000003298
lindp-new-none,chain,6,5,1,0.000003261
lindp-new-none,chain,6,5,2,0.000003285
lindp-new-none,chain,7,6,0,0.000003925
lindp-new-none,chain,7,6,1,0.000004042
lindp-new-none,chain,7,6,2,0.000003994
lindp-new-none,chain,8,7,0,0.000005006
lindp-new-none,chain,8,7,1,0.000004907
lindp-new-none,chain,8,7,2,0.000004967
lindp-new-none,chain,9,8,0,0.000006505
lindp-new-none,chain,9,8,1,0.000006685
lindp-new-none,chain,9,8,2,0.000006736
lindp-new-none,chain,10,9,0,0.000008601
lindp-new-none,chain,10,9,1,0.000008021
lindp-new-none,chain,10,9,2,0.000008349
lindp-new-none,chain,11,10,0,0.000009650
lindp-new-none,chain,11,10,1,0.000010130
lindp-new-none,chain,11,10,2,0.000009787
lindp-new-none,chain,12,11,0,0.000011480
lindp-new-none,chain,12,11,1,0.000011472
lindp-new-none,chain,12,11,2,0.000011870
lindp-new-none,chain,13,12,0,0.000014394
lindp-new-none,chain,13,12,1,0.000014753
lindp-new-none,chain,13,12,2,0.000014123
lindp-new-none,chain,14,13,0,0.000016834
lindp-new-none,chain,14,13,1,0.000016182
lindp-new-none,chain,14,13,2,0.000017225
lindp-new-none,chain,15,14,0,0.000019733
lindp-new-none,chain,15,14,1,0.000020200
lindp-new-none,chain,15,14,2,0.000019436
lindp-new-none,chain,16,15,0,0.000023293
lindp-new-none,chain,16,15,1,0.000023853
lindp-new-none,chain,16,15,2,0.000022150
lindp-new-none,chain,17,16,0,0.000028753
lindp-new-none,chain,17,16,1,0.000026496
lindp-new-none,chain,17,16,2,0.000028982
lindp-new-none,chain,19,18,0,0.000034388
lindp-new-none,chain,19,18,1,0.000039072
lindp-new-none,chain,19,18,2,0.000041606
lindp-new-none,chain,21,20,0,0.000049972
lindp-new-none,chain,21,20,1,0.000045948
lindp-new-none,chain,21,20,2,0.000053036
lindp-new-none,chain,23,22,0,0.000062956
lindp-new-none,chain,23,22,1,0.000069586
lindp-new-none,chain,23,22,2,0.000061620
