algo,type,n,m,trial,time
lindp-new-none,clique,3,3,0,0.000001318
lindp-new-none,clique,3,3,1,0.000001252
lindp-new-none,clique,3,3,2,0.000001280
lindp-new-none,clique,4,6,0,0.000002009
lindp-new-none,clique,4,6,1,0.000001913
lindp-new-none,clique,4,6,2,0.000001981
lindp-new-none,clique,5,10,0,0.000002908
lindp-new-none,clique,5,10,1,0.000002926
lindp-new-none,clique,5,10,2,0.000002899
lindp-new-none,clique,6,15,0,0.000003760
lindp-new-none,clique,6,15,1,0.000003685
lindp-new-none,clique,6,15,2,0.000003891
lindp-new-none,clique,7,21,0,0.000005608
lindp-new-none,clique,7,21,1,0.000005231
lindp-new-none,clique,7,21,2,0.000005248
lindp-new-none,clique,8,28,0,0.000006869
lindp-new-none,clique,8,28,1,0.000006948
lindp-new-none,clique,8,28,2,0.000007062
lindp-new-none,clique,9,36,0,0.000009131
lindp-new-none,clique,9,36,1,0.000009064
lindp-new-none,clique,9,36,2,0.000008983
lindp-new-none,clique,10,45,0,0.000011585
lindp-new-none,clique,10,45,1,0.000011412
lindp-new-none,clique,10,45,2,0.000011608
lindp-new-none,clique,11,55,0,0.000014706
lindp-new-none,clique,11,55,1,0.000014591
lindp-new-none,clique,11,55,2,0.000014686
lindp-new-none,clique,12,66,0,0.000017956
lindp-new-none,clique,12,66,1,0.000017801
lindp-new-none,clique,12,66,2,0.000017983
lindp-new-none,clique,13,78,0,0.000022214
lindp-new-none,clique,13,78,1,0.000022498
lindp-new-none,clique,13,78,2,0.000022110
lindp-new-none,clique,14,91,0,0.000026820
lindp-new-none,clique,14,91,1,0.000026928
lindp-new-none,clique,14,91,2,0.000027015
lindp-new-none,clique,15,105,0,0.000032985
lindp-new-none,clique,15,105,1,0.000032699
lindp-new-none,clique,15,105,2,0.000033441
lindp-new-none,clique,16,120,0,0.000039591
lindp-new-none,clique,16,120,1,0.000039743
lindp-new-none,clique,16,120,2,0.000040414
lindp-new-none,clique,17,136,0,0.000049299
lindp-new-none,clique,17,136,1,0.000050182
lindp-new-none,clique,17,136,2,0.000050178
lindp-new-none,clique,19,171,0,0.000068689
lindp-new-none,clique,19,171,1,0.000070252
lindp-new-none,clique,19,171,2,0.000068875
lindp-new-none,clique,21,210,0,0.000094346
lindp-new-none,clique,21,210,1,0.000094499
lindp-new-none,clique,21,210,2,0.000094074
lindp-new-none,clique,23,253,0,0.000127997
lindp-new-none,clique,23,253,1,0.000124396
lindp-new-none,clique,23,253,2,0.000126828
lindp-new-none,clique,25,300,0,0.000166191
lindp-new-none,clique,25,300,1,0.000171895
lindp-new-none,clique,25,300,2,0.000177773
lindp-new-none,clique,27,351,0,0.000212880
lindp-new-none,clique,27,351,1,0.000214155
lindp-new-none,clique,27,351,2,0.000219910
lindp-new-none,clique,29,406,0,0.000268969
lindp-new-none,clique,29,406,1,0.000290787
lindp-new-none,clique,29,406,2,0.000273936
lindp-new-none,clique,31,465,0,0.000350070
lindp-new-none,clique,31,465,1,0.000355789
lindp-new-none,clique,31,465,2,0.000349663
lindp-new-none,clique,33,528,0,0.000455084
lindp-new-none,clique,33,528,1,0.000434347
lindp-new-none,clique,33,528,2,0.000455134
lindp-new-none,clique,36,630,0,0.000595901
lindp-new-none,clique,36,630,1,0.000602667
lindp-new-none,clique,36,630,2,0.000604135
lindp-new-none,clique,39,741,0,0.000798617
lindp-new-none,clique,39,741,1,0.000788424
lindp-new-none,clique,39,741,2,0.000784169
lindp-new-none,clique,42,861,0,0.001002733
lindp-new-none,clique,42,861,1,0.001009607
lindp-new-none,clique,42,861,2,0.001020355
lindp-new-none,clique,45,990,0,0.001313819
lindp-new-none,clique,45,990,1,0.001334075
lindp-new-none,clique,45,990,2,0.001307318
lindp-new-none,clique,48,1128,0,0.001700965
lindp-new-none,clique,48,1128,1,0.001716520
lindp-new-none,clique,48,1128,2,0.001726532
lindp-new-none,clique,51,1275,0,0.002128145
lindp-new-none,clique,51,1275,1,0.002143861
lindp-new-none,clique,51,1275,2,0.002128567
lindp-new-none,clique,55,1485,0,0.002816644
lindp-new-none,clique,55,1485,1,0.002765001
lindp-new-none,clique,55,1485,2,0.002815711
lindp-new-none,clique,59,1711,0,0.003677735
lindp-new-none,clique,59,1711,1,0.003679748
lindp-new-none,clique,59,1711,2,0.003709813
lindp-new-none,clique,63,1953,0,0.004645118
lindp-new-none,clique,63,1953,1,0.004660555
lindp-new-none,clique,63,1953,2,0.004573335
lindp-new-none,clique,67,2211,0,0.006038153
lindp-new-none,clique,67,2211,1,0.005815505
lindp-new-none,clique,67,2211,2,0.005738292
lindp-new-none,clique,72,2556,0,0.007986481
lindp-new-none,clique,72,2556,1,0.007945962
lindp-new-none,clique,72,2556,2,0.008061247
lindp-new-none,clique,77,2926,0,0.009986920
lindp-new-none,clique,77,2926,1,0.010324683
lindp-new-none,clique,77,2926,2,0.010040144
lindp-new-none,clique,82,3321,0,0.012972427
lindp-new-none,clique,82,3321,1,0.013070046
lindp-new-none,clique,82,3321,2,0.012957849
lindp-new-none,clique,88,3828,0,0.017365924
lindp-new-none,clique,88,3828,1,0.016897444
lindp-new-none,clique,88,3828,2,0.017592347
lindp-new-none,clique,94,4371,0,0.022440958
lindp-new-none,clique,94,4371,1,0.022066467
lindp-new-none,clique,94,4371,2,0.022157000
lindp-new-none,clique,100,4950,0,0.027922198
lindp-new-none,clique,100,4950,1,0.028138750
lindp-new-none,clique,100,4950,2,0.028785125
lindp-new-none,clique,107,5671,0,0.037330375
lindp-new-none,clique,107,5671,1,0.036538903
lindp-new-none,clique,107,5671,2,0.037248820
lindp-new-none,clique,114,6441,0,0.046906819
lindp-new-none,clique,114,6441,1,0.047326208
lindp-new-none,clique,114,6441,2,0.047362792
lindp-new-none,clique,122,7381,0,0.062482625
lindp-new-none,clique,122,7381,1,0.061562021
lindp-new-none,clique,122,7381,2,0.062507688
lindp-new-none,clique,130,8385,0,0.079828146
lindp-new-none,clique,130,8385,1,0.080263145
lindp-new-none,clique,130,8385,2,0.080131417
lindp-new-none,clique,139,9591,0,0.103705125
lindp-new-none,clique,139,9591,1,0.104876833
lindp-new-none,clique,139,9591,2,0.104174625
lindp-new-none,clique,148,10878,0,0.131765042
lindp-new-none,clique,148,10878,1,0.132494333
lindp-new-none,clique,148,10878,2,0.132758166
lindp-new-none,clique,158,12403,0,0.169990667
