algo,type,n,m,trial,time
lindp-new-none,star,3,2,0,0.000001246
lindp-new-none,star,3,2,1,0.000001177
lindp-new-none,star,3,2,2,0.000001184
lindp-new-none,star,4,3,0,0.000001850
lindp-new-none,star,4,3,1,0.000001833
lindp-new-none,star,4,3,2,0.000001840
lindp-new-none,star,5,4,0,0.000002211
lindp-new-none,star,5,4,1,0.000002232
lindp-new-none,star,5,4,2,0.000002224
lindp-new-none,star,6,5,0,0.000003264
lindp-new-none,star,6,5,1,0.000003183
lindp-new-none,star,6,5,2,0.000003233
lindp-new-none,star,7,6,0,0.000003790
lindp-new-none,star,7,6,1,0.000003801
lindp-new-none,star,7,6,2,0.000003784
lindp-new-none,star,8,7,0,0.000004313
lindp-new-none,star,8,7,1,0.000004271
lindp-new-none,star,8,7,2,0.000004324
lindp-new-none,star,9,8,0,0.000004864
lindp-new-none,star,9,8,1,0.000004648
lindp-new-none,star,9,8,2,0.000004703
lindp-new-none,star,10,9,0,0.000006032
lindp-new-none,star,10,9,1,0.000005581
lindp-new-none,star,10,9,2,0.000005551
lindp-new-none,star,11,10,0,0.000006563
lindp-new-none,star,11,10,1,0.000006606
lindp-new-none,star,11,10,2,0.000006690
lindp-new-none,star,12,11,0,0.000007285
lindp-new-none,star,12,11,1,0.000007333
lindp-new-none,star,12,11,2,0.000007302
lindp-new-none,star,13,12,0,0.000007931
lindp-new-none,star,13,12,1,0.000008083
lindp-new-none,star,13,12,2,0.000008076
lindp-new-none,star,14,13,0,0.000008772
lindp-new-none,star,14,13,1,0.000008780
lindp-new-none,star,14,13,2,0.000009118
lindp-new-none,star,15,14,0,0.000010231
lindp-new-none,star,15,14,1,0.000009854
lindp-new-none,star,15,14,2,0.000009594
lindp-new-none,star,16,15,0,0.000010525
lindp-new-none,star,16,15,1,0.000011032
lindp-new-none,star,16,15,2,0.000010629
lindp-new-none,star,17,16,0,0.000012454
lindp-new-none,star,17,16,1,0.000012404
lindp-new-none,star,17,16,2,0.000012175
lindp-new-none,star,19,18,0,0.000015434
lindp-new-none,star,19,18,1,0.000015387
lindp-new-none,star,19,18,2,0.000015433
lindp-new-none,star,21,20,0,0.000017815
lindp-new-none,star,21,20,1,0.000017971
lindp-new-none,star,21,20,2,0.000017933
lindp-new-none,star,23,22,0,0.000020899
lindp-new-none,star,23,22,1,0.000020584
lindp-new-none,star,23,22,2,0.000020857
lindp-new-none,star,25,24,0,0.000023911
lindp-new-none,star,25,24,1,0.000024200
lindp-new-none,star,25,24,2,0.000024071
lindp-new-none,star,27,26,0,0.000026925
lindp-new-none,star,27,26,1,0.000027017
lindp-new-none,star,27,26,2,0.000027123
lindp-new-none,star,29,28,0,0.000030684
lindp-new-none,star,29,28,1,0.000030735
lindp-new-none,star,29,28,2,0.000030779
lindp-new-none,star,31,30,0,0.000034162
lindp-new-none,star,31,30,1,0.000034180
lindp-new-none,star,31,30,2,0.000034030
lindp-new-none,star,33,32,0,0.000040859
lindp-new-none,star,33,32,1,0.000040327
lindp-new-none,star,33,32,2,0.000041259
lindp-new-none,star,36,35,0,0.000048295
lindp-new-none,star,36,35,1,0.000048230
lindp-new-none,star,36,35,2,0.000048716
lindp-new-none,star,39,38,0,0.000054752
lindp-new-none,star,39,38,1,0.000055530
lindp-new-none,star,39,38,2,0.000055702
lindp-new-none,star,42,41,0,0.000063252
lindp-new-none,star,42,41,1,0.000062944
lindp-new-none,star,42,41,2,0.000063129
lindp-new-none,star,45,44,0,0.000071294
lindp-new-none,star,45,44,1,0.000071991
lindp-new-none,star,45,44,2,0.000072659
lindp-new-none,star,48,47,0,0.000081810
lindp-new-none,star,48,47,1,0.000080948
lindp-new-none,star,48,47,2,0.000081171
lindp-new-none,star,51,50,0,0.000090476
lindp-new-none,star,51,50,1,0.000090099
lindp-new-none,star,51,50,2,0.000090227
lindp-new-none,star,55,54,0,0.000104006
lindp-new-none,star,55,54,1,0.000103228
lindp-new-none,star,55,54,2,0.000103515
lindp-new-none,star,59,58,0,0.000117138
lindp-new-none,star,59,58,1,0.000116282
lindp-new-none,star,59,58,2,0.000117234
lindp-new-none,star,63,62,0,0.000133102
lindp-new-none,star,63,62,1,0.000142981
lindp-new-none,star,63,62,2,0.000132398
lindp-new-none,star,67,66,0,0.000162376
lindp-new-none,star,67,66,1,0.000162346
lindp-new-none,star,67,66,2,0.000163074
lindp-new-none,star,72,71,0,0.000185125
lindp-new-none,star,72,71,1,0.000184640
lindp-new-none,star,72,71,2,0.000185460
lindp-new-none,star,77,76,0,0.000210082
lindp-new-none,star,77,76,1,0.000211140
lindp-new-none,star,77,76,2,0.000210884
lindp-new-none,star,82,81,0,0.000236073
lindp-new-none,star,82,81,1,0.000241340
lindp-new-none,star,82,81,2,0.000237551
lindp-new-none,star,88,87,0,0.000272164
lindp-new-none,star,88,87,1,0.000269397
lindp-new-none,star,88,87,2,0.000270613
lindp-new-none,star,94,93,0,0.000307117
lindp-new-none,star,94,93,1,0.000308260
lindp-new-none,star,94,93,2,0.000306800
lindp-new-none,star,100,99,0,0.000346995
lindp-new-none,star,100,99,1,0.000348892
lindp-new-none,star,100,99,2,0.000347370
lindp-new-none,star,107,106,0,0.000395041
lindp-new-none,star,107,106,1,0.000394920
lindp-new-none,star,107,106,2,0.000395641
lindp-new-none,star,114,113,0,0.000446819
lindp-new-none,star,114,113,1,0.000448366
lindp-new-none,star,114,113,2,0.000449113
lindp-new-none,star,122,121,0,0.000511926
lindp-new-none,star,122,121,1,0.000515222
lindp-new-none,star,122,121,2,0.000508593
lindp-new-none,star,130,129,0,0.000625720
lindp-new-none,star,130,129,1,0.000623840
lindp-new-none,star,130,129,2,0.000625822
lindp-new-none,star,139,138,0,0.000722138
lindp-new-none,star,139,138,1,0.000716852
lindp-new-none,star,139,138,2,0.000720633
lindp-new-none,star,148,147,0,0.000807411
lindp-new-none,star,148,147,1,0.000803404
lindp-new-none,star,148,147,2,0.000809208
lindp-new-none,star,158,157,0,0.000911857
lindp-new-none,star,158,157,1,0.000918721
lindp-new-none,star,158,157,2,0.000914350
lindp-new-none,star,168,167,0,0.001034209
lindp-new-none,star,168,167,1,0.001035466
lindp-new-none,star,168,167,2,0.001033256
lindp-new-none,star,179,178,0,0.001178240
lindp-new-none,star,179,178,1,0.001182274
lindp-new-none,star,179,178,2,0.001173233
lindp-new-none,star,191,190,0,0.001331572
lindp-new-none,star,191,190,1,0.001342622
lindp-new-none,star,191,190,2,0.001336800
lindp-new-none,star,203,202,0,0.001523220
lindp-new-none,star,203,202,1,0.001523568
lindp-new-none,star,203,202,2,0.001522720
lindp-new-none,star,216,215,0,0.001712145
lindp-new-none,star,216,215,1,0.001720643
lindp-new-none,star,216,215,2,0.001716889
lindp-new-none,star,230,229,0,0.001916510
lindp-new-none,star,230,229,1,0.001916881
lindp-new-none,star,230,229,2,0.001924399
lindp-new-none,star,245,244,0,0.002174458
lindp-new-none,star,245,244,1,0.002182302
lindp-new-none,star,245,244,2,0.002166841
lindp-new-none,star,261,260,0,0.002675118
lindp-new-none,star,261,260,1,0.002664469
lindp-new-none,star,261,260,2,0.002680041
lindp-new-none,star,278,277,0,0.003011151
lindp-new-none,star,278,277,1,0.003011717
lindp-new-none,star,278,277,2,0.003011197
lindp-new-none,star,296,295,0,0.003420308
lindp-new-none,star,296,295,1,0.003413881
