algo,type,n,m,trial,time
lindp-new-none,tree,3,2,0,0.000001274
lindp-new-none,tree,3,2,1,0.000001193
lindp-new-none,tree,3,2,2,0.000001188
lindp-new-none,tree,4,3,0,0.000001772
lindp-new-none,tree,4,3,1,0.000001774
lindp-new-none,tree,4,3,2,0.000001807
lindp-new-none,tree,5,4,0,0.000002483
lindp-new-none,tree,5,4,1,0.000002482
lindp-new-none,tree,5,4,2,0.000002492
lindp-new-none,tree,6,5,0,0.000003353
lindp-new-none,tree,6,5,1,0.000003298
lindp-new-none,tree,6,5,2,0.000003272
lindp-new-none,tree,7,6,0,0.000003997
lindp-new-none,tree,7,6,1,0.000003968
lindp-new-none,tree,7,6,2,0.000003893
lindp-new-none,tree,8,7,0,0.000004815
lindp-new-none,tree,8,7,1,0.000004713
lindp-new-none,tree,8,7,2,0.000004835
lindp-new-none,tree,9,8,0,0.000005909
lindp-new-none,tree,9,8,1,0.000005983
lindp-new-none,tree,9,8,2,0.000005849
lindp-new-none,tree,10,9,0,0.000007262
lindp-new-none,tree,10,9,1,0.000007307
lindp-new-none,tree,10,9,2,0.000007116
lindp-new-none,tree,11,10,0,0.000009020
lindp-new-none,tree,11,10,1,0.000008557
lindp-new-none,tree,11,10,2,0.000008730
lindp-new-none,tree,12,11,0,0.000009931
lindp-new-none,tree,12,11,1,0.000010221
lindp-new-none,tree,12,11,2,0.000010108
lindp-new-none,tree,13,12,0,0.000011241
lindp-new-none,tree,13,12,1,0.000011153
lindp-new-none,tree,13,12,2,0.000011457
lindp-new-none,tree,14,13,0,0.000012426
lindp-new-none,tree,14,13,1,0.000012250
lindp-new-none,tree,14,13,2,0.000012882
lindp-new-none,tree,15,14,0,0.000013951
lindp-new-none,tree,15,14,1,0.000013620
lindp-new-none,tree,15,14,2,0.000014687
lindp-new-none,tree,16,15,0,0.000015413
lindp-new-none,tree,16,15,1,0.000015345
lindp-new-none,tree,16,15,2,0.000016397
lindp-new-none,tree,17,16,0,0.000021812
lindp-new-none,tree,17,16,1,0.000019720
lindp-new-none,tree,17,16,2,0.000019554
lindp-new-none,tree,19,18,0,0.000025544
lindp-new-none,tree,19,18,1,0.000022380
lindp-new-none,tree,19,18,2,0.000024456
lindp-new-none,tree,21,20,0,0.000028037
lindp-new-none,tree,21,20,1,0.000027974
lindp-new-none,tree,21,20,2,0.000028667
lindp-new-none,tree,23,22,0,0.000034508
lindp-new-none,tree,23,22,1,0.000033726
lindp-new-none,tree,23,22,2,0.000037301
lindp-new-none,tree,25,24,0,0.000052412
lindp-new-none,tree,25,24,1,0.000047295
lindp-new-none,tree,25,24,2,0.000050164
lindp-new-none,tree,27,26,0,0.000051921
lindp-new-none,tree,27,26,1,0.000052086
lindp-new-none,tree,27,26,2,0.000048068
lindp-new-none,tree,29,28,0,0.000059574
lindp-new-none,tree,29,28,1,0.000053352
lindp-new-none,tree,29,28,2,0.000056324
lindp-new-none,tree,31,30,0,0.000069615
lindp-new-none,tree,31,30,1,0.000060609
lindp-new-none,tree,31,30,2,0.000069773
lindp-new-none,tree,33,32,0,0.000071170
lindp-new-none,tree,33,32,1,0.000085220
lindp-new-none,tree,33,32,2,0.000082587
lindp-new-none,tree,36,35,0,0.000113184
lindp-new-none,tree,36,35,1,0.000113975
lindp-new-none,tree,36,35,2,0.000103842
lindp-new-none,tree,39,38,0,0.000133384
lindp-new-none,tree,39,38,1,0.000111917
lindp-new-none,tree,39,38,2,0.000129268
lindp-new-none,tree,42,41,0,0.000162661
lindp-new-none,tree,42,41,1,0.000149530
lindp-new-none,tree,42,41,2,0.000173981
lindp-new-none,tree,45,44,0,0.000159073
lindp-new-none,tree,45,44,1,0.000173668
lindp-new-none,tree,45,44,2,0.000156522
lindp-new-none,tree,48,47,0,0.000193527
lindp-new-none,tree,48,47,1,0.000239008
lindp-new-none,tree,48,47,2,0.000209069
lindp-new-none,tree,51,50,0,0.000196952
lindp-new-none,tree,51,50,1,0.000307657
lindp-new-none,tree,51,50,2,0.000261334
lindp-new-none,tree,55,54,0,0.000248280
lindp-new-none,tree,55,54,1,0.000281780
lindp-new-none,tree,55,54,2,0.000277886
lindp-new-none,tree,59,58,0,0.000340954
lindp-new-none,tree,59,58,1,0.000292019
lindp-new-none,tree,59,58,2,0.000324545
lindp-new-none,tree,63,62,0,0.000360974
lindp-new-none,tree,63,62,1,0.000356483
lindp-new-none,tree,63,62,2,0.000366595
lindp-new-none,tree,67,66,0,0.000453311
lindp-new-none,tree,67,66,1,0.000438018
lindp-new-none,tree,67,66,2,0.000507853
lindp-new-none,tree,72,71,0,0.000676992
lindp-new-none,tree,72,71,1,0.000446599
lindp-new-none,tree,72,71,2,0.000562417
lindp-new-none,tree,77,76,0,0.000729533
lindp-new-none,tree,77,76,1,0.000661783
lindp-new-none,tree,77,76,2,0.000698001
lindp-new-none,tree,82,81,0,0.000893671
lindp-new-none,tree,82,81,1,0.001210341
lindp-new-none,tree,82,81,2,0.000740753
lindp-new-none,tree,88,87,0,0.000947862
lindp-new-none,tree,88,87,1,0.001016709
lindp-new-none,tree,88,87,2,0.001296771
lindp-new-none,tree,94,93,0,0.001176152
lindp-new-none,tree,94,93,1,0.001458123
lindp-new-none,tree,94,93,2,0.000923001
lindp-new-none,tree,100,99,0,0.001629350
lindp-new-none,tree,100,99,1,0.001494336
lindp-new-none,tree,100,99,2,0.001379002
lindp-new-none,tree,107,106,0,0.001954546
lindp-new-none,tree,107,106,1,0.001864774
lindp-new-none,tree,107,106,2,0.002382740
lindp-new-none,tree,114,113,0,0.002424422
lindp-new-none,tree,114,113,1,0.002180089
lindp-new-none,tree,114,113,2,0.002857879
lindp-new-none,tree,122,121,0,0.004427210
lindp-new-none,tree,122,121,1,0.004036679
lindp-new-none,tree,122,121,2,0.002267164
lindp-new-none,tree,130,129,0,0.003285052
lindp-new-none,tree,130,129,1,0.003198328
lindp-new-none,tree,130,129,2,0.003809201
lindp-new-none,tree,139,138,0,0.003633845
lindp-new-none,tree,139,138,1,0.003486037
lindp-new-none,tree,139,138,2,0.005392963
lindp-new-none,tree,148,147,0,0.005711340
lindp-new-none,tree,148,147,1,0.005495195
lindp-new-none,tree,148,147,2,0.003684879
lindp-new-none,tree,158,157,0,0.005816299
lindp-new-none,tree,158,157,1,0.008842993
lindp-new-none,tree,158,157,2,0.005373963
lindp-new-none,tree,168,167,0,0.012397736
lindp-new-none,tree,168,167,1,0.004563036
lindp-new-none,tree,168,167,2,0.007874161
lindp-new-none,tree,179,178,0,0.007864830
lindp-new-none,tree,179,178,1,0.008233276
lindp-new-none,tree,179,178,2,0.011151900
lindp-new-none,tree,191,190,0,0.012516906
lindp-new-none,tree,191,190,1,0.007709881
lindp-new-none,tree,191,190,2,0.008619021
lindp-new-none,tree,203,202,0,0.015045720
lindp-new-none,tree,203,202,1,0.009895023
lindp-new-none,tree,203,202,2,0.009719280
lindp-new-none,tree,216,215,0,0.010055537
lindp-new-none,tree,216,215,1,0.015374536
lindp-new-none,tree,216,215,2,0.010862733
lindp-new-none,tree,230,229,0,0.016121494
lindp-new-none,tree,230,229,1,0.015181839
lindp-new-none,tree,230,229,2,0.016709028
lindp-new-none,tree,245,244,0,0.019669917
lindp-new-none,tree,245,244,1,0.022585900
lindp-new-none,tree,245,244,2,0.015571214
lindp-new-none,tree,261,260,0,0.025244500
lindp-new-none,tree,261,260,1,0.028054042
lindp-new-none,tree,261,260,2,0.021160767
lindp-new-none,tree,278,277,0,0.028667563
lindp-new-none,tree,278,277,1,0.026505219
lindp-new-none,tree,278,277,2,0.026340906
lindp-new-none,tree,296,295,0,0.032497208
lindp-new-none,tree,296,295,1,0.027893688
lindp-new-none,tree,296,295,2,0.027365500
lindp-new-none,tree,315,314,0,0.034004844
lindp-new-none,tree,315,314,1,0.033133510
lindp-new-none,tree,315,314,2,0.044188361
lindp-new-none,tree,335,334,0,0.043736028
lindp-new-none,tree,335,334,1,0.052479104
lindp-new-none,tree,335,334,2,0.045329806
lindp-new-none,tree,356,355,0,0.091684209
lindp-new-none,tree,356,355,1,0.066301625
lindp-new-none,tree,356,355,2,0.112976458
lindp-new-none,tree,379,378,0,0.082203813
lindp-new-none,tree,379,378,1,0.070457563
lindp-new-none,tree,379,378,2,0.085456896
lindp-new-none,tree,403,402,0,0.083580479
lindp-new-none,tree,403,402,1,0.086013020
lindp-new-none,tree,403,402,2,0.063810792
lindp-new-none,tree,429,428,0,0.091579416
lindp-new-none,tree,429,428,1,0.131062208
lindp-new-none,tree,429,428,2,0.067827062
lindp-new-none,tree,456,455,0,0.117614708
lindp-new-none,tree,456,455,1,0.100367416
lindp-new-none,tree,456,455,2,0.087750146
lindp-new-none,tree,485,484,0,0.206387375
lindp-new-none,tree,485,484,1,0.134301042
lindp-new-none,tree,485,484,2,0.128207333
lindp-new-none,tree,516,515,0,0.114912375
