algo,type,n,m,trial,time
lindp-new-sorted,chain,3,2,0,0.000001258
lindp-new-sorted,chain,3,2,1,0.000001161
lindp-new-sorted,chain,3,2,2,0.000001151
lindp-new-sorted,chain,4,3,0,0.000001703
lindp-new-sorted,chain,4,3,1,0.000001705
lindp-new-sorted,chain,4,3,2,0.000001784
lindp-new-sorted,chain,5,4,0,0.000002386
lindp-new-sorted,chain,5,4,1,0.000002434
lindp-new-sorted,chain,5,4,2,0.000002262
lindp-new-sorted,chain,6,5,0,0.000003216
lindp-new-sorted,chain,6,5,1,0.000003251
lindp-new-sorted,chain,6,5,2,0.000003235
lindp-new-sorted,chain,7,6,0,0.000003834
lindp-new-sorted,chain,7,6,1,0.000004220
lindp-new-sorted,chain,7,6,2,0.000004138
lindp-new-sorted,chain,8,7,0,0.000005024
lindp-new-sorted,chain,8,7,1,0.000004543
lindp-new-sorted,chain,8,7,2,0.000004981
lindp-new-sorted,chain,9,8,0,0.000005705
lindp-new-sorted,chain,9,8,1,0.000006047
lindp-new-sorted,chain,9,8,2,0.000005742
lindp-new-sorted,chain,10,9,0,0.000008066
lindp-new-sorted,chain,10,9,1,0.000007578
lindp-new-sorted,chain,10,9,2,0.000007452
lindp-new-sorted,chain,11,10,0,0.000009627
lindp-new-sorted,chain,11,10,1,0.000009046
lindp-new-sorted,chain,11,10,2,0.000009039
lindp-new-sorted,chain,12,11,0,0.000010510
lindp-new-sorted,chain,12,11,1,0.000010302
lindp-new-sorted,chain,12,11,2,0.000010119
lindp-new-sorted,chain,13,12,0,0.000011205
lindp-new-sorted,chain,13,12,1,0.000011211
lindp-new-sorted,chain,13,12,2,0.000010789
lindp-new-sorted,chain,14,13,0,0.000011935
lindp-new-sorted,chain,14,13,1,0.000014265
lindp-new-sorted,chain,14,13,2,0.000013963
lindp-new-sorted,chain,15,14,0,0.000015048
lindp-new-sorted,chain,15,14,1,0.000014812
lindp-new-sorted,chain,15,14,2,0.000015970
lindp-new-sorted,chain,16,15,0,0.000016861
lindp-new-sorted,chain,16,15,1,0.000017672
lindp-new-sorted,chain,16,15,2,0.000016873
lindp-new-sorted,chain,17,16,0,0.000019841
lindp-new-sorted,chain,17,16,1,0.000018134
lindp-new-sorted,chain,17,16,2,0.000020279
lindp-new-sorted,chain,19,18,0,0.000023879
lindp-new-sorted,chain,19,18,1,0.000023515
lindp-new-sorted,chain,19,18,2,0.000030709
lindp-new-sorted,chain,21,20,0,0.000029062
lindp-new-sorted,chain,21,20,1,0.000033856
lindp-new-sorted,chain,21,20,2,0.000032938
lindp-new-sorted,chain,23,22,0,0.000033638
lindp-new-sorted,chain,23,22,1,0.000039838
lindp-new-sorted,chain,23,22,2,0.000035994
lindp-new-sorted,chain,25,24,0,0.000042405
lindp-new-sorted,chain,25,24,1,0.000045695
lindp-new-sorted,chain,25,24,2,0.000051764
lindp-new-sorted,chain,27,26,0,0.000064874
lindp-new-sorted,chain,27,26,1,0.000052947
lindp-new-sorted,chain,27,26,2,0.000060146
lindp-new-sorted,chain,29,28,0,0.000066368
lindp-new-sorted,chain,29,28,1,0.000063028
lindp-new-sorted,chain,29,28,2,0.000058227
lindp-new-sorted,chain,31,30,0,0.000076789
lindp-new-sorted,chain,31,30,1,0.000078965
lindp-new-sorted,chain,31,30,2,0.000084734
lindp-new-sorted,chain,33,32,0,0.000094778
lindp-new-sorted,chain,33,32,1,0.000084624
lindp-new-sorted,chain,33,32,2,0.000102400
lindp-new-sorted,chain,36,35,0,0.000114921
lindp-new-sorted,chain,36,35,1,0.000138490
lindp-new-sorted,chain,36,35,2,0.000104883
lindp-new-sorted,chain,39,38,0,0.000133736
lindp-new-sorted,chain,39,38,1,0.000158571
lindp-new-sorted,chain,39,38,2,0.000120733
lindp-new-sorted,chain,42,41,0,0.000187409
lindp-new-sorted,chain,42,41,1,0.000171417
lindp-new-sorted,chain,42,41,2,0.000227367
lindp-new-sorted,chain,45,44,0,0.000162847
lindp-new-sorted,chain,45,44,1,0.000213912
lindp-new-sorted,chain,45,44,2,0.000166027
lindp-new-sorted,chain,48,47,0,0.000227756
lindp-new-sorted,chain,48,47,1,0.000238786
lindp-new-sorted,chain,48,47,2,0.000198122
lindp-new-sorted,chain,51,50,0,0.000274492
lindp-new-sorted,chain,51,50,1,0.000248301
lindp-new-sorted,chain,51,50,2,0.000236931
lindp-new-sorted,chain,55,54,0,0.000521999
lindp-new-sorted,chain,55,54,1,0.000305986
lindp-new-sorted,chain,55,54,2,0.000354679
lindp-new-sorted,chain,59,58,0,0.000359695
lindp-new-sorted,chain,59,58,1,0.000324684
lindp-new-sorted,chain,59,58,2,0.000315566
lindp-new-sorted,chain,63,62,0,0.000440091
lindp-new-sorted,chain,63,62,1,0.000423817
lindp-new-sorted,chain,63,62,2,0.000636635
lindp-new-sorted,chain,67,66,0,0.000591884
lindp-new-sorted,chain,67,66,1,0.000523274
lindp-new-sorted,chain,67,66,2,0.000471813
lindp-new-sorted,chain,72,71,0,0.000651016
lindp-new-sorted,chain,72,71,1,0.000755971
lindp-new-sorted,chain,72,71,2,0.000666944
lindp-new-sorted,chain,77,76,0,0.000777664
lindp-new-sorted,chain,77,76,1,0.000816456
lindp-new-sorted,chain,77,76,2,0.000672017
lindp-new-sorted,chain,82,81,0,0.000842883
lindp-new-sorted,chain,82,81,1,0.000891621
lindp-new-sorted,chain,82,81,2,0.001357817
lindp-new-sorted,chain,88,87,0,0.001217402
lindp-new-sorted,chain,88,87,1,0.001301822
