algo,type,n,m,trial,time
lindp-new-sorted,clique,3,3,0,0.000001509
lindp-new-sorted,clique,3,3,1,0.000001325
lindp-new-sorted,clique,3,3,2,0.000001352
lindp-new-sorted,clique,4,6,0,0.000002174
lindp-new-sorted,clique,4,6,1,0.000002062
lindp-new-sorted,clique,4,6,2,0.000002140
lindp-new-sorted,clique,5,10,0,0.000002948
lindp-new-sorted,clique,5,10,1,0.000002962
lindp-new-sorted,clique,5,10,2,0.000002923
lindp-new-sorted,clique,6,15,0,0.000004003
lindp-new-sorted,clique,6,15,1,0.000004116
lindp-new-sorted,clique,6,15,2,0.000004143
lindp-new-sorted,clique,7,21,0,0.000005076
lindp-new-sorted,clique,7,21,1,0.000005186
lindp-new-sorted,clique,7,21,2,0.000005278
lindp-new-sorted,clique,8,28,0,0.000006522
lindp-new-sorted,clique,8,28,1,0.000006692
lindp-new-sorted,clique,8,28,2,0.000006698
lindp-new-sorted,clique,9,36,0,0.000008574
lindp-new-sorted,clique,9,36,1,0.000008694
lindp-new-sorted,clique,9,36,2,0.000008604
lindp-new-sorted,clique,10,45,0,0.000010519
lindp-new-sorted,clique,10,45,1,0.000010374
lindp-new-sorted,clique,10,45,2,0.000010771
lindp-new-sorted,clique,11,55,0,0.000012870
lindp-new-sorted,clique,11,55,1,0.000012798
lindp-new-sorted,clique,11,55,2,0.000013167
lindp-new-sorted,clique,12,66,0,0.000015733
lindp-new-sorted,clique,12,66,1,0.000015079
lindp-new-sorted,clique,12,66,2,0.000015897
lindp-new-sorted,clique,13,78,0,0.000018351
lindp-new-sorted,clique,13,78,1,0.000019532
lindp-new-sorted,clique,13,78,2,0.000018314
lindp-new-sorted,clique,14,91,0,0.000021534
lindp-new-sorted,clique,14,91,1,0.000022713
lindp-new-sorted,clique,14,91,2,0.000021525
lindp-new-sorted,clique,15,105,0,0.000026693
lindp-new-sorted,clique,15,105,1,0.000026151
lindp-new-sorted,clique,15,105,2,0.000027162
lindp-new-sorted,clique,16,120,0,0.000031211
lindp-new-sorted,clique,16,120,1,0.000031634
lindp-new-sorted,clique,16,120,2,0.000030499
lindp-new-sorted,clique,17,136,0,0.000036206
lindp-new-sorted,clique,17,136,1,0.000038281
lindp-new-sorted,clique,17,136,2,0.000042905
lindp-new-sorted,clique,19,171,0,0.000049240
lindp-new-sorted,clique,19,171,1,0.000055838
lindp-new-sorted,clique,19,171,2,0.000049190
lindp-new-sorted,clique,21,210,0,0.000066237
lindp-new-sorted,clique,21,210,1,0.000075696
lindp-new-sorted,clique,21,210,2,0.000066148
lindp-new-sorted,clique,23,253,0,0.000090763
lindp-new-sorted,clique,23,253,1,0.000082302
lindp-new-sorted,clique,23,253,2,0.000092348
lindp-new-sorted,clique,25,300,0,0.000115153
lindp-new-sorted,clique,25,300,1,0.000100764
lindp-new-sorted,clique,25,300,2,0.000118423
lindp-new-sorted,clique,27,351,0,0.000126554
lindp-new-sorted,clique,27,351,1,0.000135453
lindp-new-sorted,clique,27,351,2,0.000129082
lindp-new-sorted,clique,29,406,0,0.000153469
lindp-new-sorted,clique,29,406,1,0.000165123
lindp-new-sorted,clique,29,406,2,0.000175503
lindp-new-sorted,clique,31,465,0,0.000201738
lindp-new-sorted,clique,31,465,1,0.000212097
lindp-new-sorted,clique,31,465,2,0.000200902
lindp-new-sorted,clique,33,528,0,0.000255782
lindp-new-sorted,clique,33,528,1,0.000260389
lindp-new-sorted,clique,33,528,2,0.000264864
lindp-new-sorted,clique,36,630,0,0.000368379
