algo,type,n,m,trial,time
lindp-new-sorted,star,3,2,0,0.000001310
lindp-new-sorted,star,3,2,1,0.000001229
lindp-new-sorted,star,3,2,2,0.000001238
lindp-new-sorted,star,4,3,0,0.000001852
lindp-new-sorted,star,4,3,1,0.000001804
lindp-new-sorted,star,4,3,2,0.000001840
lindp-new-sorted,star,5,4,0,0.000002284
lindp-new-sorted,star,5,4,1,0.000002283
lindp-new-sorted,star,5,4,2,0.000002271
lindp-new-sorted,star,6,5,0,0.000002942
lindp-new-sorted,star,6,5,1,0.000002882
lindp-new-sorted,star,6,5,2,0.000002961
lindp-new-sorted,star,7,6,0,0.000003403
lindp-new-sorted,star,7,6,1,0.000003416
lindp-new-sorted,star,7,6,2,0.000003405
lindp-new-sorted,star,8,7,0,0.000004023
lindp-new-sorted,star,8,7,1,0.000003938
lindp-new-sorted,star,8,7,2,0.000004007
lindp-new-sorted,star,9,8,0,0.000004769
lindp-new-sorted,star,9,8,1,0.000004768
lindp-new-sorted,star,9,8,2,0.000004817
lindp-new-sorted,star,10,9,0,0.000005655
lindp-new-sorted,star,10,9,1,0.000005581
lindp-new-sorted,star,10,9,2,0.000005640
lindp-new-sorted,star,11,10,0,0.000006584
lindp-new-sorted,star,11,10,1,0.000006672
lindp-new-sorted,star,11,10,2,0.000006770
lindp-new-sorted,star,12,11,0,0.000007576
lindp-new-sorted,star,12,11,1,0.000007592
lindp-new-sorted,star,12,11,2,0.000007575
lindp-new-sorted,star,13,12,0,0.000008280
lindp-new-sorted,star,13,12,1,0.000008381
lindp-new-sorted,star,13,12,2,0.000008420
lindp-new-sorted,star,14,13,0,0.000009071
lindp-new-sorted,star,14,13,1,0.000009141
lindp-new-sorted,star,14,13,2,0.000009164
lindp-new-sorted,star,15,14,0,0.000009947
lindp-new-sorted,star,15,14,1,0.000010159
lindp-new-sorted,star,15,14,2,0.000009847
lindp-new-sorted,star,16,15,0,0.000010804
lindp-new-sorted,star,16,15,1,0.000010806
lindp-new-sorted,star,16,15,2,0.000010910
lindp-new-sorted,star,17,16,0,0.000013332
lindp-new-sorted,star,17,16,1,0.000013275
lindp-new-sorted,star,17,16,2,0.000013170
lindp-new-sorted,star,19,18,0,0.000016439
lindp-new-sorted,star,19,18,1,0.000016501
lindp-new-sorted,star,19,18,2,0.000016038
lindp-new-sorted,star,21,20,0,0.000018936
lindp-new-sorted,star,21,20,1,0.000019113
lindp-new-sorted,star,21,20,2,0.000019136
lindp-new-sorted,star,23,22,0,0.000021892
lindp-new-sorted,star,23,22,1,0.000021821
lindp-new-sorted,star,23,22,2,0.000022111
lindp-new-sorted,star,25,24,0,0.000024870
lindp-new-sorted,star,25,24,1,0.000025451
lindp-new-sorted,star,25,24,2,0.000024929
lindp-new-sorted,star,27,26,0,0.000028038
lindp-new-sorted,star,27,26,1,0.000028281
lindp-new-sorted,star,27,26,2,0.000028254
lindp-new-sorted,star,29,28,0,0.000031413
lindp-new-sorted,star,29,28,1,0.000031429
lindp-new-sorted,star,29,28,2,0.000031426
lindp-new-sorted,star,31,30,0,0.000034827
lindp-new-sorted,star,31,30,1,0.000034856
lindp-new-sorted,star,31,30,2,0.000035042
lindp-new-sorted,star,33,32,0,0.000042248
lindp-new-sorted,star,33,32,1,0.000041934
lindp-new-sorted,star,33,32,2,0.000042502
lindp-new-sorted,star,36,35,0,0.000050468
lindp-new-sorted,star,36,35,1,0.000050595
lindp-new-sorted,star,36,35,2,0.000051259
lindp-new-sorted,star,39,38,0,0.000057016
lindp-new-sorted,star,39,38,1,0.000057880
lindp-new-sorted,star,39,38,2,0.000057758
lindp-new-sorted,star,42,41,0,0.000066368
lindp-new-sorted,star,42,41,1,0.000066382
lindp-new-sorted,star,42,41,2,0.000066460
lindp-new-sorted,star,45,44,0,0.000073345
lindp-new-sorted,star,45,44,1,0.000074167
lindp-new-sorted,star,45,44,2,0.000074781
lindp-new-sorted,star,48,47,0,0.000082342
lindp-new-sorted,star,48,47,1,0.000083532
lindp-new-sorted,star,48,47,2,0.000083241
lindp-new-sorted,star,51,50,0,0.000093233
lindp-new-sorted,star,51,50,1,0.000093292
lindp-new-sorted,star,51,50,2,0.000093054
lindp-new-sorted,star,55,54,0,0.000106873
lindp-new-sorted,star,55,54,1,0.000107186
lindp-new-sorted,star,55,54,2,0.000106994
lindp-new-sorted,star,59,58,0,0.000119494
lindp-new-sorted,star,59,58,1,0.000118272
lindp-new-sorted,star,59,58,2,0.000119713
lindp-new-sorted,star,63,62,0,0.000136428
lindp-new-sorted,star,63,62,1,0.000135532
lindp-new-sorted,star,63,62,2,0.000135152
lindp-new-sorted,star,67,66,0,0.000167242
lindp-new-sorted,star,67,66,1,0.000167722
lindp-new-sorted,star,67,66,2,0.000169098
lindp-new-sorted,star,72,71,0,0.000190726
lindp-new-sorted,star,72,71,1,0.000191385
lindp-new-sorted,star,72,71,2,0.000192139
lindp-new-sorted,star,77,76,0,0.000214987
lindp-new-sorted,star,77,76,1,0.000216780
lindp-new-sorted,star,77,76,2,0.000215951
lindp-new-sorted,star,82,81,0,0.000243178
lindp-new-sorted,star,82,81,1,0.000247322
lindp-new-sorted,star,82,81,2,0.000245000
lindp-new-sorted,star,88,87,0,0.000277890
lindp-new-sorted,star,88,87,1,0.000276045
lindp-new-sorted,star,88,87,2,0.000276338
lindp-new-sorted,star,94,93,0,0.000313901
lindp-new-sorted,star,94,93,1,0.000315736
lindp-new-sorted,star,94,93,2,0.000313374
lindp-new-sorted,star,100,99,0,0.000354481
lindp-new-sorted,star,100,99,1,0.000357448
lindp-new-sorted,star,100,99,2,0.000356416
lindp-new-sorted,star,107,106,0,0.000403799
lindp-new-sorted,star,107,106,1,0.000404360
lindp-new-sorted,star,107,106,2,0.000404050
lindp-new-sorted,star,114,113,0,0.000454803
lindp-new-sorted,star,114,113,1,0.000454026
lindp-new-sorted,star,114,113,2,0.000455042
lindp-new-sorted,star,122,121,0,0.000519593
lindp-new-sorted,star,122,121,1,0.000523436
lindp-new-sorted,star,122,121,2,0.000518774
lindp-new-sorted,star,130,129,0,0.000638142
lindp-new-sorted,star,130,129,1,0.000635654
lindp-new-sorted,star,130,129,2,0.000638453
lindp-new-sorted,star,139,138,0,0.000734916
lindp-new-sorted,star,139,138,1,0.000731933
lindp-new-sorted,star,139,138,2,0.000735282
lindp-new-sorted,star,148,147,0,0.000824247
lindp-new-sorted,star,148,147,1,0.000819896
lindp-new-sorted,star,148,147,2,0.000825821
lindp-new-sorted,star,158,157,0,0.000923703
lindp-new-sorted,star,158,157,1,0.000930759
lindp-new-sorted,star,158,157,2,0.000931464
lindp-new-sorted,star,168,167,0,0.001046813
lindp-new-sorted,star,168,167,1,0.001048736
lindp-new-sorted,star,168,167,2,0.001046284
lindp-new-sorted,star,179,178,0,0.001197205
lindp-new-sorted,star,179,178,1,0.001202898
lindp-new-sorted,star,179,178,2,0.001196329
lindp-new-sorted,star,191,190,0,0.001352258
lindp-new-sorted,star,191,190,1,0.001363174
lindp-new-sorted,star,191,190,2,0.001360391
lindp-new-sorted,star,203,202,0,0.001548405
lindp-new-sorted,star,203,202,1,0.001546945
lindp-new-sorted,star,203,202,2,0.001542752
lindp-new-sorted,star,216,215,0,0.001742687
lindp-new-sorted,star,216,215,1,0.001747665
lindp-new-sorted,star,216,215,2,0.001735088
lindp-new-sorted,star,230,229,0,0.001951228
lindp-new-sorted,star,230,229,1,0.001946163
lindp-new-sorted,star,230,229,2,0.001956596
lindp-new-sorted,star,245,244,0,0.002206095
lindp-new-sorted,star,245,244,1,0.002210002
lindp-new-sorted,star,245,244,2,0.002204522
lindp-new-sorted,star,261,260,0,0.002699431
lindp-new-sorted,star,261,260,1,0.002688536
lindp-new-sorted,star,261,260,2,0.002716505
lindp-new-sorted,star,278,277,0,0.003024663
lindp-new-sorted,star,278,277,1,0.003015189
lindp-new-sorted,star,278,277,2,0.003025473
lindp-new-sorted,star,296,295,0,0.003418144
lindp-new-sorted,star,296,295,1,0.003431422
lindp-new-sorted,star,296,295,2,0.003418436
lindp-new-sorted,star,315,314,0,0.003932288
lindp-new-sorted,star,315,314,1,0.003895163
lindp-new-sorted,star,315,314,2,0.003918676
lindp-new-sorted,star,335,334,0,0.004369091
lindp-new-sorted,star,335,334,1,0.004394830
lindp-new-sorted,star,335,334,2,0.004387313
lindp-new-sorted,star,356,355,0,0.004940323
lindp-new-sorted,star,356,355,1,0.004946161
lindp-new-sorted,star,356,355,2,0.004964558
lindp-new-sorted,star,379,378,0,0.005635479
lindp-new-sorted,star,379,378,1,0.005584495
lindp-new-sorted,star,379,378,2,0.005610262
lindp-new-sorted,star,403,402,0,0.006331102
lindp-new-sorted,star,403,402,1,0.006379026
lindp-new-sorted,star,403,402,2,0.006359318
lindp-new-sorted,star,429,428,0,0.007226262
lindp-new-sorted,star,429,428,1,0.007111312
lindp-new-sorted,star,429,428,2,0.007224149
lindp-new-sorted,star,456,455,0,0.008112330
lindp-new-sorted,star,456,455,1,0.008098920
lindp-new-sorted,star,456,455,2,0.008126702
lindp-new-sorted,star,485,484,0,0.009230405
lindp-new-sorted,star,485,484,1,0.009246606
lindp-new-sorted,star,485,484,2,0.009303928
lindp-new-sorted,star,516,515,0,0.011155713
