algo,type,n,m,trial,time
lindp-new-sorted,tree,3,2,0,0.000001310
lindp-new-sorted,tree,3,2,1,0.000001243
lindp-new-sorted,tree,3,2,2,0.000001237
lindp-new-sorted,tree,4,3,0,0.000001731
lindp-new-sorted,tree,4,3,1,0.000001702
lindp-new-sorted,tree,4,3,2,0.000001810
lindp-new-sorted,tree,5,4,0,0.000002610
lindp-new-sorted,tree,5,4,1,0.000002584
lindp-new-sorted,tree,5,4,2,0.000002527
lindp-new-sorted,tree,6,5,0,0.000003354
lindp-new-sorted,tree,6,5,1,0.000003217
lindp-new-sorted,tree,6,5,2,0.000003317
lindp-new-sorted,tree,7,6,0,0.000003905
lindp-new-sorted,tree,7,6,1,0.000004076
lindp-new-sorted,tree,7,6,2,0.000003941
lindp-new-sorted,tree,8,7,0,0.000004750
lindp-new-sorted,tree,8,7,1,0.000004668
lindp-new-sorted,tree,8,7,2,0.000004685
lindp-new-sorted,tree,9,8,0,0.000006131
lindp-new-sorted,tree,9,8,1,0.000005998
lindp-new-sorted,tree,9,8,2,0.000006094
lindp-new-sorted,tree,10,9,0,0.000007419
lindp-new-sorted,tree,10,9,1,0.000007040
lindp-new-sorted,tree,10,9,2,0.000007284
lindp-new-sorted,tree,11,10,0,0.000008325
lindp-new-sorted,tree,11,10,1,0.000008288
lindp-new-sorted,tree,11,10,2,0.000008295
lindp-new-sorted,tree,12,11,0,0.000009422
lindp-new-sorted,tree,12,11,1,0.000009525
lindp-new-sorted,tree,12,11,2,0.000009581
lindp-new-sorted,tree,13,12,0,0.000011355
lindp-new-sorted,tree,13,12,1,0.000010983
lindp-new-sorted,tree,13,12,2,0.000010631
lindp-new-sorted,tree,14,13,0,0.000012243
lindp-new-sorted,tree,14,13,1,0.000012012
lindp-new-sorted,tree,14,13,2,0.000012517
lindp-new-sorted,tree,15,14,0,0.000013770
lindp-new-sorted,tree,15,14,1,0.000012857
lindp-new-sorted,tree,15,14,2,0.000013876
lindp-new-sorted,tree,16,15,0,0.000014799
lindp-new-sorted,tree,16,15,1,0.000014747
lindp-new-sorted,tree,16,15,2,0.000014648
lindp-new-sorted,tree,17,16,0,0.000016608
lindp-new-sorted,tree,17,16,1,0.000018975
lindp-new-sorted,tree,17,16,2,0.000018679
lindp-new-sorted,tree,19,18,0,0.000022213
lindp-new-sorted,tree,19,18,1,0.000020527
lindp-new-sorted,tree,19,18,2,0.000023231
lindp-new-sorted,tree,21,20,0,0.000024957
lindp-new-sorted,tree,21,20,1,0.000025626
lindp-new-sorted,tree,21,20,2,0.000025999
lindp-new-sorted,tree,23,22,0,0.000029881
lindp-new-sorted,tree,23,22,1,0.000030186
lindp-new-sorted,tree,23,22,2,0.000030478
lindp-new-sorted,tree,25,24,0,0.000035735
lindp-new-sorted,tree,25,24,1,0.000037261
lindp-new-sorted,tree,25,24,2,0.000039396
lindp-new-sorted,tree,27,26,0,0.000042899
lindp-new-sorted,tree,27,26,1,0.000044232
lindp-new-sorted,tree,27,26,2,0.000040173
lindp-new-sorted,tree,29,28,0,0.000047138
lindp-new-sorted,tree,29,28,1,0.000044034
lindp-new-sorted,tree,29,28,2,0.000044145
lindp-new-sorted,tree,31,30,0,0.000050331
lindp-new-sorted,tree,31,30,1,0.000051778
lindp-new-sorted,tree,31,30,2,0.000050589
lindp-new-sorted,tree,33,32,0,0.000059399
lindp-new-sorted,tree,33,32,1,0.000063995
lindp-new-sorted,tree,33,32,2,0.000059294
lindp-new-sorted,tree,36,35,0,0.000086771
lindp-new-sorted,tree,36,35,1,0.000075701
lindp-new-sorted,tree,36,35,2,0.000073118
lindp-new-sorted,tree,39,38,0,0.000086133
lindp-new-sorted,tree,39,38,1,0.000088920
lindp-new-sorted,tree,39,38,2,0.000088848
lindp-new-sorted,tree,42,41,0,0.000103837
