algo,type,n,m,trial,time
lindp-old-sorted,chain,3,2,0,0.000000947
lindp-old-sorted,chain,3,2,1,0.000000933
lindp-old-sorted,chain,3,2,2,0.000000950
lindp-old-sorted,chain,4,3,0,0.000001365
lindp-old-sorted,chain,4,3,1,0.000001338
lindp-old-sorted,chain,4,3,2,0.000001401
lindp-old-sorted,chain,5,4,0,0.000001903
lindp-old-sorted,chain,5,4,1,0.000001857
lindp-old-sorted,chain,5,4,2,0.000001835
lindp-old-sorted,chain,6,5,0,0.000002366
lindp-old-sorted,chain,6,5,1,0.000002427
lindp-old-sorted,chain,6,5,2,0.000002307
lindp-old-sorted,chain,7,6,0,0.000002797
lindp-old-sorted,chain,7,6,1,0.000003122
lindp-old-sorted,chain,7,6,2,0.000003067
lindp-old-sorted,chain,8,7,0,0.000003839
lindp-old-sorted,chain,8,7,1,0.000003493
lindp-old-sorted,chain,8,7,2,0.000003948
lindp-old-sorted,chain,9,8,0,0.000004628
lindp-old-sorted,chain,9,8,1,0.000004457
lindp-old-sorted,chain,9,8,2,0.000004342
lindp-old-sorted,chain,10,9,0,0.000006060
lindp-old-sorted,chain,10,9,1,0.000005365
lindp-old-sorted,chain,10,9,2,0.000005492
lindp-old-sorted,chain,11,10,0,0.000007206
lindp-old-sorted,chain,11,10,1,0.000006736
lindp-old-sorted,chain,11,10,2,0.000006556
lindp-old-sorted,chain,12,11,0,0.000007970
lindp-old-sorted,chain,12,11,1,0.000008343
lindp-old-sorted,chain,12,11,2,0.000008041
lindp-old-sorted,chain,13,12,0,0.000009191
lindp-old-sorted,chain,13,12,1,0.000009006
lindp-old-sorted,chain,13,12,2,0.000008470
lindp-old-sorted,chain,14,13,0,0.000009342
lindp-old-sorted,chain,14,13,1,0.000012202
lindp-old-sorted,chain,14,13,2,0.000011298
lindp-old-sorted,chain,15,14,0,0.000012628
lindp-old-sorted,chain,15,14,1,0.000012204
lindp-old-sorted,chain,15,14,2,0.000013476
lindp-old-sorted,chain,16,15,0,0.000014268
lindp-old-sorted,chain,16,15,1,0.000015364
lindp-old-sorted,chain,16,15,2,0.000014056
lindp-old-sorted,chain,17,16,0,0.000016228
lindp-old-sorted,chain,17,16,1,0.000014516
lindp-old-sorted,chain,17,16,2,0.000017181
lindp-old-sorted,chain,19,18,0,0.000020506
lindp-old-sorted,chain,19,18,1,0.000020523
lindp-old-sorted,chain,19,18,2,0.000028097
lindp-old-sorted,chain,21,20,0,0.000025367
lindp-old-sorted,chain,21,20,1,0.000029913
lindp-old-sorted,chain,21,20,2,0.000029719
lindp-old-sorted,chain,23,22,0,0.000031067
lindp-old-sorted,chain,23,22,1,0.000036149
lindp-old-sorted,chain,23,22,2,0.000032454
lindp-old-sorted,chain,25,24,0,0.000038197
lindp-old-sorted,chain,25,24,1,0.000043521
lindp-old-sorted,chain,25,24,2,0.000048608
lindp-old-sorted,chain,27,26,0,0.000062189
lindp-old-sorted,chain,27,26,1,0.000051559
lindp-old-sorted,chain,27,26,2,0.000058658
lindp-old-sorted,chain,29,28,0,0.000067702
lindp-old-sorted,chain,29,28,1,0.000062755
lindp-old-sorted,chain,29,28,2,0.000056611
lindp-old-sorted,chain,31,30,0,0.000077916
lindp-old-sorted,chain,31,30,1,0.000080022
lindp-old-sorted,chain,31,30,2,0.000085164
lindp-old-sorted,chain,33,32,0,0.000095345
lindp-old-sorted,chain,33,32,1,0.000085722
lindp-old-sorted,chain,33,32,2,0.000094029
lindp-old-sorted,chain,36,35,0,0.000118644
lindp-old-sorted,chain,36,35,1,0.000140952
lindp-old-sorted,chain,36,35,2,0.000105111
lindp-old-sorted,chain,39,38,0,0.000147837
lindp-old-sorted,chain,39,38,1,0.000166022
lindp-old-sorted,chain,39,38,2,0.000131854
lindp-old-sorted,chain,42,41,0,0.000215321
lindp-old-sorted,chain,42,41,1,0.000200041
lindp-old-sorted,chain,42,41,2,0.000259175
lindp-old-sorted,chain,45,44,0,0.000192881
lindp-old-sorted,chain,45,44,1,0.000239647
lindp-old-sorted,chain,45,44,2,0.000196445
lindp-old-sorted,chain,48,47,0,0.000268321
lindp-old-sorted,chain,48,47,1,0.000284341
lindp-old-sorted,chain,48,47,2,0.000231436
lindp-old-sorted,chain,51,50,0,0.000331601
lindp-old-sorted,chain,51,50,1,0.000303964
lindp-old-sorted,chain,51,50,2,0.000294659
