algo,type,n,m,trial,time
lindp-old-sorted,clique,3,3,0,0.000000997
lindp-old-sorted,clique,3,3,1,0.000001043
lindp-old-sorted,clique,3,3,2,0.000000976
lindp-old-sorted,clique,4,6,0,0.000001524
lindp-old-sorted,clique,4,6,1,0.000001426
lindp-old-sorted,clique,4,6,2,0.000001438
lindp-old-sorted,clique,5,10,0,0.000001962
lindp-old-sorted,clique,5,10,1,0.000002001
lindp-old-sorted,clique,5,10,2,0.000001999
lindp-old-sorted,clique,6,15,0,0.000002750
lindp-old-sorted,clique,6,15,1,0.000002579
lindp-old-sorted,clique,6,15,2,0.000002724
lindp-old-sorted,clique,7,21,0,0.000003436
lindp-old-sorted,clique,7,21,1,0.000003505
lindp-old-sorted,clique,7,21,2,0.000003593
lindp-old-sorted,clique,8,28,0,0.000004482
lindp-old-sorted,clique,8,28,1,0.000004619
lindp-old-sorted,clique,8,28,2,0.000004612
lindp-old-sorted,clique,9,36,0,0.000005737
lindp-old-sorted,clique,9,36,1,0.000005982
lindp-old-sorted,clique,9,36,2,0.000005823
lindp-old-sorted,clique,10,45,0,0.000007192
lindp-old-sorted,clique,10,45,1,0.000007145
lindp-old-sorted,clique,10,45,2,0.000007422
lindp-old-sorted,clique,11,55,0,0.000009266
lindp-old-sorted,clique,11,55,1,0.000008848
lindp-old-sorted,clique,11,55,2,0.000009298
lindp-old-sorted,clique,12,66,0,0.000012211
lindp-old-sorted,clique,12,66,1,0.000010691
lindp-old-sorted,clique,12,66,2,0.000012114
lindp-old-sorted,clique,13,78,0,0.000013399
lindp-old-sorted,clique,13,78,1,0.000014350
lindp-old-sorted,clique,13,78,2,0.000013527
lindp-old-sorted,clique,14,91,0,0.000015776
lindp-old-sorted,clique,14,91,1,0.000017436
lindp-old-sorted,clique,14,91,2,0.000015657
lindp-old-sorted,clique,15,105,0,0.000019754
lindp-old-sorted,clique,15,105,1,0.000019522
lindp-old-sorted,clique,15,105,2,0.000020883
lindp-old-sorted,clique,16,120,0,0.000024742
lindp-old-sorted,clique,16,120,1,0.000023743
lindp-old-sorted,clique,16,120,2,0.000023908
lindp-old-sorted,clique,17,136,0,0.000025957
lindp-old-sorted,clique,17,136,1,0.000028158
lindp-old-sorted,clique,17,136,2,0.000032105
lindp-old-sorted,clique,19,171,0,0.000038485
lindp-old-sorted,clique,19,171,1,0.000044645
lindp-old-sorted,clique,19,171,2,0.000037431
lindp-old-sorted,clique,21,210,0,0.000051608
lindp-old-sorted,clique,21,210,1,0.000062465
lindp-old-sorted,clique,21,210,2,0.000051496
lindp-old-sorted,clique,23,253,0,0.000073859
lindp-old-sorted,clique,23,253,1,0.000064289
lindp-old-sorted,clique,23,253,2,0.000074593
lindp-old-sorted,clique,25,300,0,0.000095890
lindp-old-sorted,clique,25,300,1,0.000080270
lindp-old-sorted,clique,25,300,2,0.000099440
lindp-old-sorted,clique,27,351,0,0.000105391
lindp-old-sorted,clique,27,351,1,0.000116621
lindp-old-sorted,clique,27,351,2,0.000107923
lindp-old-sorted,clique,29,406,0,0.000132385
lindp-old-sorted,clique,29,406,1,0.000143473
lindp-old-sorted,clique,29,406,2,0.000153418
lindp-old-sorted,clique,31,465,0,0.000181391
lindp-old-sorted,clique,31,465,1,0.000191928
lindp-old-sorted,clique,31,465,2,0.000170729
lindp-old-sorted,clique,33,528,0,0.000224050
lindp-old-sorted,clique,33,528,1,0.000235601
lindp-old-sorted,clique,33,528,2,0.000235520
lindp-old-sorted,clique,36,630,0,0.000330901
lindp-old-sorted,clique,36,630,1,0.000322426
lindp-old-sorted,clique,36,630,2,0.000323356
lindp-old-sorted,clique,39,741,0,0.000380914
lindp-old-sorted,clique,39,741,1,0.000426763
lindp-old-sorted,clique,39,741,2,0.000420859
lindp-old-sorted,clique,42,861,0,0.000530808
lindp-old-sorted,clique,42,861,1,0.000535196
lindp-old-sorted,clique,42,861,2,0.000583959
lindp-old-sorted,clique,45,990,0,0.000664278
lindp-old-sorted,clique,45,990,1,0.000582954
lindp-old-sorted,clique,45,990,2,0.000665270
lindp-old-sorted,clique,48,1128,0,0.000968245
lindp-old-sorted,clique,48,1128,1,0.000769201
lindp-old-sorted,clique,48,1128,2,0.000822683
lindp-old-sorted,clique,51,1275,0,0.001178028
lindp-old-sorted,clique,51,1275,1,0.001102533
lindp-old-sorted,clique,51,1275,2,0.001030507
lindp-old-sorted,clique,55,1485,0,0.001115665
lindp-old-sorted,clique,55,1485,1,0.001416954
lindp-old-sorted,clique,55,1485,2,0.001455811
lindp-old-sorted,clique,59,1711,0,0.001755726
lindp-old-sorted,clique,59,1711,1,0.001648061
lindp-old-sorted,clique,59,1711,2,0.001493893
lindp-old-sorted,clique,63,1953,0,0.002083690
lindp-old-sorted,clique,63,1953,1,0.002449498
lindp-old-sorted,clique,63,1953,2,0.002195523
lindp-old-sorted,clique,67,2211,0,0.003071486
lindp-old-sorted,clique,67,2211,1,0.002581189
lindp-old-sorted,clique,67,2211,2,0.002906292
lindp-old-sorted,clique,72,2556,0,0.003583630
lindp-old-sorted,clique,72,2556,1,0.003626563
lindp-old-sorted,clique,72,2556,2,0.004168901
lindp-old-sorted,clique,77,2926,0,0.004453708
lindp-old-sorted,clique,77,2926,1,0.004795381
lindp-old-sorted,clique,77,2926,2,0.004183264
lindp-old-sorted,clique,82,3321,0,0.005687919
lindp-old-sorted,clique,82,3321,1,0.006050958
lindp-old-sorted,clique,82,3321,2,0.004856698
lindp-old-sorted,clique,88,3828,0,0.007901224
lindp-old-sorted,clique,88,3828,1,0.006580578
lindp-old-sorted,clique,88,3828,2,0.007832635
lindp-old-sorted,clique,94,4371,0,0.010976654
lindp-old-sorted,clique,94,4371,1,0.008343444
lindp-old-sorted,clique,94,4371,2,0.009721875
lindp-old-sorted,clique,100,4950,0,0.012841406
lindp-old-sorted,clique,100,4950,1,0.012636516
lindp-old-sorted,clique,100,4950,2,0.014690304
lindp-old-sorted,clique,107,5671,0,0.015957613
lindp-old-sorted,clique,107,5671,1,0.013695682
lindp-old-sorted,clique,107,5671,2,0.018751292
lindp-old-sorted,clique,114,6441,0,0.022613550
lindp-old-sorted,clique,114,6441,1,0.020706808
lindp-old-sorted,clique,114,6441,2,0.022682958
lindp-old-sorted,clique,122,7381,0,0.026506469
lindp-old-sorted,clique,122,7381,1,0.029445208
lindp-old-sorted,clique,122,7381,2,0.025370908
lindp-old-sorted,clique,130,8385,0,0.037729792
lindp-old-sorted,clique,130,8385,1,0.032130208
lindp-old-sorted,clique,130,8385,2,0.032789541
lindp-old-sorted,clique,139,9591,0,0.047334208
lindp-old-sorted,clique,139,9591,1,0.042954403
lindp-old-sorted,clique,139,9591,2,0.040889028
lindp-old-sorted,clique,148,10878,0,0.061027479
lindp-old-sorted,clique,148,10878,1,0.050235278
lindp-old-sorted,clique,148,10878,2,0.058712959
lindp-old-sorted,clique,158,12403,0,0.059668125
lindp-old-sorted,clique,158,12403,1,0.065491854
lindp-old-sorted,clique,158,12403,2,0.071746584
