algo,type,n,m,trial,time
lindp-old-sorted,star,3,2,0,0.000001037
lindp-old-sorted,star,3,2,1,0.000000951
lindp-old-sorted,star,3,2,2,0.000000945
lindp-old-sorted,star,4,3,0,0.000001378
lindp-old-sorted,star,4,3,1,0.000001408
lindp-old-sorted,star,4,3,2,0.000001368
lindp-old-sorted,star,5,4,0,0.000001721
lindp-old-sorted,star,5,4,1,0.000001697
lindp-old-sorted,star,5,4,2,0.000001751
lindp-old-sorted,star,6,5,0,0.000002223
lindp-old-sorted,star,6,5,1,0.000002128
lindp-old-sorted,star,6,5,2,0.000002210
lindp-old-sorted,star,7,6,0,0.000002631
lindp-old-sorted,star,7,6,1,0.000002657
lindp-old-sorted,star,7,6,2,0.000002627
lindp-old-sorted,star,8,7,0,0.000003360
lindp-old-sorted,star,8,7,1,0.000003132
lindp-old-sorted,star,8,7,2,0.000003107
lindp-old-sorted,star,9,8,0,0.000003744
lindp-old-sorted,star,9,8,1,0.000003712
lindp-old-sorted,star,9,8,2,0.000003733
lindp-old-sorted,star,10,9,0,0.000004404
lindp-old-sorted,star,10,9,1,0.000004417
lindp-old-sorted,star,10,9,2,0.000004456
lindp-old-sorted,star,11,10,0,0.000005276
lindp-old-sorted,star,11,10,1,0.000005357
lindp-old-sorted,star,11,10,2,0.000005439
lindp-old-sorted,star,12,11,0,0.000006127
lindp-old-sorted,star,12,11,1,0.000006205
lindp-old-sorted,star,12,11,2,0.000006085
lindp-old-sorted,star,13,12,0,0.000006865
lindp-old-sorted,star,13,12,1,0.000007003
lindp-old-sorted,star,13,12,2,0.000007509
lindp-old-sorted,star,14,13,0,0.000008492
lindp-old-sorted,star,14,13,1,0.000008792
lindp-old-sorted,star,14,13,2,0.000008506
lindp-old-sorted,star,15,14,0,0.000009459
lindp-old-sorted,star,15,14,1,0.000009945
lindp-old-sorted,star,15,14,2,0.000009359
lindp-old-sorted,star,16,15,0,0.000010757
lindp-old-sorted,star,16,15,1,0.000010048
lindp-old-sorted,star,16,15,2,0.000010299
lindp-old-sorted,star,17,16,0,0.000011618
lindp-old-sorted,star,17,16,1,0.000011393
lindp-old-sorted,star,17,16,2,0.000011183
lindp-old-sorted,star,19,18,0,0.000014753
lindp-old-sorted,star,19,18,1,0.000014728
lindp-old-sorted,star,19,18,2,0.000014237
lindp-old-sorted,star,21,20,0,0.000017632
lindp-old-sorted,star,21,20,1,0.000017690
lindp-old-sorted,star,21,20,2,0.000017579
lindp-old-sorted,star,23,22,0,0.000021309
lindp-old-sorted,star,23,22,1,0.000021344
lindp-old-sorted,star,23,22,2,0.000021527
lindp-old-sorted,star,25,24,0,0.000026783
lindp-old-sorted,star,25,24,1,0.000025803
lindp-old-sorted,star,25,24,2,0.000025359
lindp-old-sorted,star,27,26,0,0.000029381
lindp-old-sorted,star,27,26,1,0.000029553
lindp-old-sorted,star,27,26,2,0.000029596
lindp-old-sorted,star,29,28,0,0.000034494
lindp-old-sorted,star,29,28,1,0.000034678
lindp-old-sorted,star,29,28,2,0.000034627
lindp-old-sorted,star,31,30,0,0.000039891
lindp-old-sorted,star,31,30,1,0.000040151
lindp-old-sorted,star,31,30,2,0.000039914
lindp-old-sorted,star,33,32,0,0.000046559
lindp-old-sorted,star,33,32,1,0.000046069
lindp-old-sorted,star,33,32,2,0.000047167
lindp-old-sorted,star,36,35,0,0.000057726
lindp-old-sorted,star,36,35,1,0.000057476
lindp-old-sorted,star,36,35,2,0.000058122
lindp-old-sorted,star,39,38,0,0.000068752
lindp-old-sorted,star,39,38,1,0.000069186
lindp-old-sorted,star,39,38,2,0.000069685
lindp-old-sorted,star,42,41,0,0.000082611
lindp-old-sorted,star,42,41,1,0.000082476
lindp-old-sorted,star,42,41,2,0.000082665
lindp-old-sorted,star,45,44,0,0.000097358
lindp-old-sorted,star,45,44,1,0.000097818
lindp-old-sorted,star,45,44,2,0.000098537
lindp-old-sorted,star,48,47,0,0.000116243
lindp-old-sorted,star,48,47,1,0.000117204
lindp-old-sorted,star,48,47,2,0.000116838
lindp-old-sorted,star,51,50,0,0.000138002
lindp-old-sorted,star,51,50,1,0.000137720
lindp-old-sorted,star,51,50,2,0.000137538
lindp-old-sorted,star,55,54,0,0.000171338
lindp-old-sorted,star,55,54,1,0.000170879
lindp-old-sorted,star,55,54,2,0.000170148
lindp-old-sorted,star,59,58,0,0.000207657
lindp-old-sorted,star,59,58,1,0.000207496
lindp-old-sorted,star,59,58,2,0.000207517
lindp-old-sorted,star,63,62,0,0.000250382
lindp-old-sorted,star,63,62,1,0.000253233
lindp-old-sorted,star,63,62,2,0.000253885
lindp-old-sorted,star,67,66,0,0.000304609
lindp-old-sorted,star,67,66,1,0.000305868
lindp-old-sorted,star,67,66,2,0.000306417
lindp-old-sorted,star,72,71,0,0.000375828
lindp-old-sorted,star,72,71,1,0.000378082
lindp-old-sorted,star,72,71,2,0.000382694
lindp-old-sorted,star,77,76,0,0.000452762
lindp-old-sorted,star,77,76,1,0.000456060
lindp-old-sorted,star,77,76,2,0.000454272
lindp-old-sorted,star,82,81,0,0.000542615
lindp-old-sorted,star,82,81,1,0.000547089
lindp-old-sorted,star,82,81,2,0.000546589
lindp-old-sorted,star,88,87,0,0.000658362
lindp-old-sorted,star,88,87,1,0.000662805
lindp-old-sorted,star,88,87,2,0.000660257
lindp-old-sorted,star,94,93,0,0.000798630
lindp-old-sorted,star,94,93,1,0.000800670
lindp-old-sorted,star,94,93,2,0.000799747
lindp-old-sorted,star,100,99,0,0.000948502
lindp-old-sorted,star,100,99,1,0.000954970
lindp-old-sorted,star,100,99,2,0.000961864
lindp-old-sorted,star,107,106,0,0.001138250
lindp-old-sorted,star,107,106,1,0.001136341
lindp-old-sorted,star,107,106,2,0.001145676
lindp-old-sorted,star,114,113,0,0.001366111
lindp-old-sorted,star,114,113,1,0.001364484
lindp-old-sorted,star,114,113,2,0.001362332
lindp-old-sorted,star,122,121,0,0.001659314
lindp-old-sorted,star,122,121,1,0.001658270
lindp-old-sorted,star,122,121,2,0.001646309
lindp-old-sorted,star,130,129,0,0.001980913
lindp-old-sorted,star,130,129,1,0.001974508
lindp-old-sorted,star,130,129,2,0.001975446
lindp-old-sorted,star,139,138,0,0.002386698
lindp-old-sorted,star,139,138,1,0.002373215
lindp-old-sorted,star,139,138,2,0.002387260
lindp-old-sorted,star,148,147,0,0.002815076
lindp-old-sorted,star,148,147,1,0.002822471
lindp-old-sorted,star,148,147,2,0.002833147
lindp-old-sorted,star,158,157,0,0.003363599
lindp-old-sorted,star,158,157,1,0.003378900
lindp-old-sorted,star,158,157,2,0.003384183
lindp-old-sorted,star,168,167,0,0.004016373
lindp-old-sorted,star,168,167,1,0.004013883
lindp-old-sorted,star,168,167,2,0.004027850
lindp-old-sorted,star,179,178,0,0.004803079
lindp-old-sorted,star,179,178,1,0.004786159
lindp-old-sorted,star,179,178,2,0.004813163
lindp-old-sorted,star,191,190,0,0.005739037
lindp-old-sorted,star,191,190,1,0.005757125
lindp-old-sorted,star,191,190,2,0.005742025
lindp-old-sorted,star,203,202,0,0.006803236
lindp-old-sorted,star,203,202,1,0.006809503
lindp-old-sorted,star,203,202,2,0.006801353
lindp-old-sorted,star,216,215,0,0.008085410
lindp-old-sorted,star,216,215,1,0.008100808
lindp-old-sorted,star,216,215,2,0.008085612
lindp-old-sorted,star,230,229,0,0.009630720
lindp-old-sorted,star,230,229,1,0.009643424
lindp-old-sorted,star,230,229,2,0.009639462
lindp-old-sorted,star,245,244,0,0.011505014
lindp-old-sorted,star,245,244,1,0.011572417
lindp-old-sorted,star,245,244,2,0.011479917
lindp-old-sorted,star,261,260,0,0.014026052
lindp-old-sorted,star,261,260,1,0.013813922
lindp-old-sorted,star,261,260,2,0.013798422
lindp-old-sorted,star,278,277,0,0.016375161
lindp-old-sorted,star,278,277,1,0.016492815
lindp-old-sorted,star,278,277,2,0.016537113
lindp-old-sorted,star,296,295,0,0.019721750
lindp-old-sorted,star,296,295,1,0.019636014
lindp-old-sorted,star,296,295,2,0.019651695
lindp-old-sorted,star,315,314,0,0.023452467
lindp-old-sorted,star,315,314,1,0.023390008
lindp-old-sorted,star,315,314,2,0.023385917
lindp-old-sorted,star,335,334,0,0.027820448
lindp-old-sorted,star,335,334,1,0.027772417
lindp-old-sorted,star,335,334,2,0.027833490
lindp-old-sorted,star,356,355,0,0.034250333
lindp-old-sorted,star,356,355,1,0.033120302
lindp-old-sorted,star,356,355,2,0.032980614
lindp-old-sorted,star,379,378,0,0.039541375
lindp-old-sorted,star,379,378,1,0.039488486
lindp-old-sorted,star,379,378,2,0.039585111
lindp-old-sorted,star,403,402,0,0.046972639
lindp-old-sorted,star,403,402,1,0.047179458
lindp-old-sorted,star,403,402,2,0.047100139
lindp-old-sorted,star,429,428,0,0.056276167
lindp-old-sorted,star,429,428,1,0.056377729
lindp-old-sorted,star,429,428,2,0.056514583
lindp-old-sorted,star,456,455,0,0.067339333
lindp-old-sorted,star,456,455,1,0.066739521
lindp-old-sorted,star,456,455,2,0.066770187
lindp-old-sorted,star,485,484,0,0.079879084
lindp-old-sorted,star,485,484,1,0.079710458
lindp-old-sorted,star,485,484,2,0.079886791
lindp-old-sorted,star,516,515,0,0.095447333
lindp-old-sorted,star,516,515,1,0.095722292
lindp-old-sorted,star,516,515,2,0.095378646
lindp-old-sorted,star,549,548,0,0.114274542
lindp-old-sorted,star,549,548,1,0.113985958
lindp-old-sorted,star,549,548,2,0.113989334
lindp-old-sorted,star,584,583,0,0.136098500
lindp-old-sorted,star,584,583,1,0.136481208
lindp-old-sorted,star,584,583,2,0.136520042
lindp-old-sorted,star,621,620,0,0.162814333
lindp-old-sorted,star,621,620,1,0.162643709
lindp-old-sorted,star,621,620,2,0.163266333
lindp-old-sorted,star,660,659,0,0.194995709
lindp-old-sorted,star,660,659,1,0.194138792
lindp-old-sorted,star,660,659,2,0.194480875
lindp-old-sorted,star,702,701,0,0.231710250
lindp-old-sorted,star,702,701,1,0.231610334
lindp-old-sorted,star,702,701,2,0.232103417
lindp-old-sorted,star,746,745,0,0.276469000
lindp-old-sorted,star,746,745,1,0.276405041
lindp-old-sorted,star,746,745,2,0.276573417
lindp-old-sorted,star,793,792,0,0.329998125
lindp-old-sorted,star,793,792,1,0.331075000
lindp-old-sorted,star,793,792,2,0.330106000
lindp-old-sorted,star,843,842,0,0.394930375
lindp-old-sorted,star,843,842,1,0.393971958
lindp-old-sorted,star,843,842,2,0.394025166
lindp-old-sorted,star,896,895,0,0.472590250
lindp-old-sorted,star,896,895,1,0.472039875
lindp-old-sorted,star,896,895,2,0.472496667
lindp-old-sorted,star,952,951,0,0.565774834
lindp-old-sorted,star,952,951,1,0.562417416
lindp-old-sorted,star,952,951,2,0.561944791
lindp-old-sorted,star,1012,1011,0,0.675059500
lindp-old-sorted,star,1012,1011,1,0.673290292
lindp-old-sorted,star,1012,1011,2,0.672180125
lindp-old-sorted,star,1076,1075,0,0.804543917
lindp-old-sorted,star,1076,1075,1,0.807667917
lindp-old-sorted,star,1076,1075,2,0.807549375
lindp-old-sorted,star,1144,1143,0,0.965944250
lindp-old-sorted,star,1144,1143,1,0.965431333
lindp-old-sorted,star,1144,1143,2,0.965802708
lindp-old-sorted,star,1216,1215,0,1.155265583
lindp-old-sorted,star,1216,1215,1,1.154898250
lindp-old-sorted,star,1216,1215,2,1.156170000
