algo,type,n,m,trial,time
lindp-old-sorted,tree,3,2,0,0.000001006
lindp-old-sorted,tree,3,2,1,0.000000941
lindp-old-sorted,tree,3,2,2,0.000000927
lindp-old-sorted,tree,4,3,0,0.000001294
lindp-old-sorted,tree,4,3,1,0.000001422
lindp-old-sorted,tree,4,3,2,0.000001377
lindp-old-sorted,tree,5,4,0,0.000001843
lindp-old-sorted,tree,5,4,1,0.000001842
lindp-old-sorted,tree,5,4,2,0.000001901
lindp-old-sorted,tree,6,5,0,0.000002388
lindp-old-sorted,tree,6,5,1,0.000002304
lindp-old-sorted,tree,6,5,2,0.000002364
lindp-old-sorted,tree,7,6,0,0.000002838
lindp-old-sorted,tree,7,6,1,0.000003000
lindp-old-sorted,tree,7,6,2,0.000002838
lindp-old-sorted,tree,8,7,0,0.000003633
lindp-old-sorted,tree,8,7,1,0.000003598
lindp-old-sorted,tree,8,7,2,0.000003570
lindp-old-sorted,tree,9,8,0,0.000004389
lindp-old-sorted,tree,9,8,1,0.000004300
lindp-old-sorted,tree,9,8,2,0.000004428
lindp-old-sorted,tree,10,9,0,0.000005269
lindp-old-sorted,tree,10,9,1,0.000005050
lindp-old-sorted,tree,10,9,2,0.000005312
lindp-old-sorted,tree,11,10,0,0.000006033
lindp-old-sorted,tree,11,10,1,0.000006170
lindp-old-sorted,tree,11,10,2,0.000006020
lindp-old-sorted,tree,12,11,0,0.000007075
lindp-old-sorted,tree,12,11,1,0.000007137
lindp-old-sorted,tree,12,11,2,0.000007293
lindp-old-sorted,tree,13,12,0,0.000008780
lindp-old-sorted,tree,13,12,1,0.000008549
lindp-old-sorted,tree,13,12,2,0.000007922
lindp-old-sorted,tree,14,13,0,0.000009931
lindp-old-sorted,tree,14,13,1,0.000009301
lindp-old-sorted,tree,14,13,2,0.000009935
lindp-old-sorted,tree,15,14,0,0.000011597
lindp-old-sorted,tree,15,14,1,0.000010670
lindp-old-sorted,tree,15,14,2,0.000011745
lindp-old-sorted,tree,16,15,0,0.000013076
lindp-old-sorted,tree,16,15,1,0.000012895
lindp-old-sorted,tree,16,15,2,0.000012858
lindp-old-sorted,tree,17,16,0,0.000013198
lindp-old-sorted,tree,17,16,1,0.000015798
lindp-old-sorted,tree,17,16,2,0.000015725
