algo,type,n,m,trial,time
sms,chain,3,4,0,0.000000449
sms,chain,3,4,1,0.000000449
sms,chain,3,4,2,0.000000447
sms,chain,4,6,0,0.000000471
sms,chain,4,6,1,0.000000460
sms,chain,4,6,2,0.000000455
sms,chain,5,8,0,0.000000493
sms,chain,5,8,1,0.000000494
sms,chain,5,8,2,0.000000494
sms,chain,6,10,0,0.000000501
sms,chain,6,10,1,0.000000516
sms,chain,6,10,2,0.000000497
sms,chain,7,12,0,0.000000512
sms,chain,7,12,1,0.000000520
sms,chain,7,12,2,0.000000534
sms,chain,8,14,0,0.000000527
sms,chain,8,14,1,0.000000539
sms,chain,8,14,2,0.000000532
sms,chain,9,16,0,0.000000593
sms,chain,9,16,1,0.000000582
sms,chain,9,16,2,0.000000597
sms,chain,10,18,0,0.000000585
sms,chain,10,18,1,0.000000575
sms,chain,10,18,2,0.000000570
sms,chain,11,20,0,0.000000587
sms,chain,11,20,1,0.000000573
sms,chain,11,20,2,0.000000578
sms,chain,12,22,0,0.000000605
sms,chain,12,22,1,0.000000586
sms,chain,12,22,2,0.000000585
sms,chain,13,24,0,0.000000609
sms,chain,13,24,1,0.000000612
sms,chain,13,24,2,0.000000612
sms,chain,14,26,0,0.000000621
sms,chain,14,26,1,0.000000625
sms,chain,14,26,2,0.000000627
sms,chain,15,28,0,0.000000656
sms,chain,15,28,1,0.000000642
sms,chain,15,28,2,0.000000637
sms,chain,16,30,0,0.000000640
sms,chain,16,30,1,0.000000643
sms,chain,16,30,2,0.000000629
sms,chain,17,32,0,0.000000666
sms,chain,17,32,1,0.000000652
sms,chain,17,32,2,0.000000678
sms,chain,19,36,0,0.000000692
sms,chain,19,36,1,0.000000691
sms,chain,19,36,2,0.000000691
sms,chain,21,40,0,0.000000709
sms,chain,21,40,1,0.000000715
sms,chain,21,40,2,0.000000719
sms,chain,23,44,0,0.000000755
sms,chain,23,44,1,0.000000763
sms,chain,23,44,2,0.000000739
sms,chain,25,48,0,0.000000771
sms,chain,25,48,1,0.000000775
sms,chain,25,48,2,0.000000766
sms,chain,27,52,0,0.000000827
sms,chain,27,52,1,0.000000802
sms,chain,27,52,2,0.000000809
sms,chain,29,56,0,0.000000828
sms,chain,29,56,1,0.000000829
sms,chain,29,56,2,0.000000815
sms,chain,31,60,0,0.000000848
sms,chain,31,60,1,0.000000851
sms,chain,31,60,2,0.000000852
sms,chain,33,64,0,0.000000865
sms,chain,33,64,1,0.000000876
sms,chain,33,64,2,0.000000866
sms,chain,36,70,0,0.000000934
sms,chain,36,70,1,0.000000920
sms,chain,36,70,2,0.000000913
