algo,type,n,m,trial,time
sms,clique,3,3,0,0.000035568
sms,clique,3,3,1,0.000035499
sms,clique,3,3,2,0.000035394
sms,clique,4,4,0,0.000035515
sms,clique,4,4,1,0.000035588
sms,clique,4,4,2,0.000035702
sms,clique,5,5,0,0.000035446
sms,clique,5,5,1,0.000035542
sms,clique,5,5,2,0.000035612
sms,clique,6,6,0,0.000035903
sms,clique,6,6,1,0.000035753
sms,clique,6,6,2,0.000035913
sms,clique,7,7,0,0.000036038
sms,clique,7,7,1,0.000036119
sms,clique,7,7,2,0.000035910
sms,clique,8,8,0,0.000035814
sms,clique,8,8,1,0.000035753
sms,clique,8,8,2,0.000035560
sms,clique,9,9,0,0.000036096
sms,clique,9,9,1,0.000035680
sms,clique,9,9,2,0.000035888
sms,clique,10,10,0,0.000035728
sms,clique,10,10,1,0.000035588
sms,clique,10,10,2,0.000036019
sms,clique,11,11,0,0.000035923
sms,clique,11,11,1,0.000035739
sms,clique,11,11,2,0.000035558
sms,clique,12,12,0,0.000035769
sms,clique,12,12,1,0.000035705
sms,clique,12,12,2,0.000035856
sms,clique,13,13,0,0.000035988
sms,clique,13,13,1,0.000035838
sms,clique,13,13,2,0.000035638
sms,clique,14,14,0,0.000036627
sms,clique,14,14,1,0.000036093
sms,clique,14,14,2,0.000036244
sms,clique,15,15,0,0.000036504
sms,clique,15,15,1,0.000035909
sms,clique,15,15,2,0.000036320
sms,clique,16,16,0,0.000036109
sms,clique,16,16,1,0.000036278
sms,clique,16,16,2,0.000035890
sms,clique,17,17,0,0.000036259
sms,clique,17,17,1,0.000035829
sms,clique,17,17,2,0.000036139
sms,clique,19,19,0,0.000036434
sms,clique,19,19,1,0.000036532
sms,clique,19,19,2,0.000036479
sms,clique,21,21,0,0.000036482
sms,clique,21,21,1,0.000036792
sms,clique,21,21,2,0.000037131
sms,clique,23,23,0,0.000036483
sms,clique,23,23,1,0.000036095
sms,clique,23,23,2,0.000036187
sms,clique,25,25,0,0.000036184
sms,clique,25,25,1,0.000036421
sms,clique,25,25,2,0.000036266
sms,clique,27,27,0,0.000036380
sms,clique,27,27,1,0.000036328
sms,clique,27,27,2,0.000036259
sms,clique,29,29,0,0.000036454
sms,clique,29,29,1,0.000036264
sms,clique,29,29,2,0.000036428
sms,clique,31,31,0,0.000036454
sms,clique,31,31,1,0.000036229
sms,clique,31,31,2,0.000036485
sms,clique,33,33,0,0.000036892
sms,clique,33,33,1,0.000036344
sms,clique,33,33,2,0.000036617
sms,clique,36,36,0,0.000036472
sms,clique,36,36,1,0.000036556
sms,clique,36,36,2,0.000036520
sms,clique,39,39,0,0.000036486
sms,clique,39,39,1,0.000036600
sms,clique,39,39,2,0.000036916
sms,clique,42,42,0,0.000036465
sms,clique,42,42,1,0.000036598
sms,clique,42,42,2,0.000036633
sms,clique,45,45,0,0.000036672
sms,clique,45,45,1,0.000036608
sms,clique,45,45,2,0.000036394
sms,clique,48,48,0,0.000036633
sms,clique,48,48,1,0.000036636
sms,clique,48,48,2,0.000036479
sms,clique,51,51,0,0.000036831
sms,clique,51,51,1,0.000036848
sms,clique,51,51,2,0.000036892
sms,clique,55,55,0,0.000036693
sms,clique,55,55,1,0.000036947
sms,clique,55,55,2,0.000036746
sms,clique,59,59,0,0.000036813
sms,clique,59,59,1,0.000036988
sms,clique,59,59,2,0.000036757
sms,clique,63,63,0,0.000036978
sms,clique,63,63,1,0.000037858
sms,clique,63,63,2,0.000039284
sms,clique,67,67,0,0.000037607
sms,clique,67,67,1,0.000090075
sms,clique,67,67,2,0.000041332
sms,clique,72,72,0,0.000039010
sms,clique,72,72,1,0.000038546
sms,clique,72,72,2,0.000038299
