algo,type,n,m,trial,time
sms,star,3,4,0,0.000035321
sms,star,3,4,1,0.000035371
sms,star,3,4,2,0.000035382
sms,star,4,6,0,0.000035724
sms,star,4,6,1,0.000035579
sms,star,4,6,2,0.000035653
sms,star,5,8,0,0.000035567
sms,star,5,8,1,0.000035591
sms,star,5,8,2,0.000035537
sms,star,6,10,0,0.000035562
sms,star,6,10,1,0.000035688
sms,star,6,10,2,0.000035724
sms,star,7,12,0,0.000035591
sms,star,7,12,1,0.000036317
sms,star,7,12,2,0.000035631
sms,star,8,14,0,0.000035638
sms,star,8,14,1,0.000035963
sms,star,8,14,2,0.000035862
sms,star,9,16,0,0.000036003
sms,star,9,16,1,0.000035677
sms,star,9,16,2,0.000035721
sms,star,10,18,0,0.000035679
sms,star,10,18,1,0.000035806
sms,star,10,18,2,0.000035997
sms,star,11,20,0,0.000035893
sms,star,11,20,1,0.000035738
sms,star,11,20,2,0.000035543
sms,star,12,22,0,0.000035674
sms,star,12,22,1,0.000035628
sms,star,12,22,2,0.000035883
sms,star,13,24,0,0.000036180
sms,star,13,24,1,0.000035967
sms,star,13,24,2,0.000035670
sms,star,14,26,0,0.000036347
sms,star,14,26,1,0.000035997
sms,star,14,26,2,0.000036099
sms,star,15,28,0,0.000036215
sms,star,15,28,1,0.000035658
sms,star,15,28,2,0.000036204
sms,star,16,30,0,0.000036273
sms,star,16,30,1,0.000036277
sms,star,16,30,2,0.000035958
sms,star,17,32,0,0.000035964
sms,star,17,32,1,0.000036149
sms,star,17,32,2,0.000036189
sms,star,19,36,0,0.000036341
sms,star,19,36,1,0.000036330
sms,star,19,36,2,0.000036550
sms,star,21,40,0,0.000036410
sms,star,21,40,1,0.000036519
sms,star,21,40,2,0.000036447
sms,star,23,44,0,0.000036349
sms,star,23,44,1,0.000036039
sms,star,23,44,2,0.000036247
sms,star,25,48,0,0.000036340
sms,star,25,48,1,0.000036500
sms,star,25,48,2,0.000036216
sms,star,27,52,0,0.000036227
sms,star,27,52,1,0.000036291
sms,star,27,52,2,0.000036757
sms,star,29,56,0,0.000036557
sms,star,29,56,1,0.000036218
sms,star,29,56,2,0.000036416
sms,star,31,60,0,0.000036284
sms,star,31,60,1,0.000036446
sms,star,31,60,2,0.000036635
sms,star,33,64,0,0.000036738
sms,star,33,64,1,0.000036684
sms,star,33,64,2,0.000036713
sms,star,36,70,0,0.000036515
sms,star,36,70,1,0.000036606
sms,star,36,70,2,0.000036703
sms,star,39,76,0,0.000036542
sms,star,39,76,1,0.000036751
sms,star,39,76,2,0.000037038
sms,star,42,82,0,0.000038405
sms,star,42,82,1,0.000036818
sms,star,42,82,2,0.000037865
sms,star,45,88,0,0.000036999
sms,star,45,88,1,0.000036747
sms,star,45,88,2,0.000036490
sms,star,48,94,0,0.000036743
sms,star,48,94,1,0.000036878
sms,star,48,94,2,0.000036688
sms,star,51,100,0,0.000036868
sms,star,51,100,1,0.000036907
sms,star,51,100,2,0.000037053
sms,star,55,108,0,0.000036847
sms,star,55,108,1,0.000037127
sms,star,55,108,2,0.000036867
sms,star,59,116,0,0.000036908
sms,star,59,116,1,0.000037078
sms,star,59,116,2,0.000037020
sms,star,63,124,0,0.000037727
sms,star,63,124,1,0.000037130
sms,star,63,124,2,0.000037257
sms,star,67,132,0,0.000037323
sms,star,67,132,1,0.000037462
sms,star,67,132,2,0.000037273
sms,star,72,142,0,0.000037222
sms,star,72,142,1,0.000037887
sms,star,72,142,2,0.000037328
sms,star,77,152,0,0.000037311
sms,star,77,152,1,0.000037120
sms,star,77,152,2,0.000037327
sms,star,82,162,0,0.000037452
sms,star,82,162,1,0.000037501
sms,star,82,162,2,0.000037371
sms,star,88,174,0,0.000037864
sms,star,88,174,1,0.000037326
sms,star,88,174,2,0.000037289
sms,star,94,186,0,0.000037660
sms,star,94,186,1,0.000037309
sms,star,94,186,2,0.000037331
sms,star,100,198,0,0.000037456
sms,star,100,198,1,0.000037534
sms,star,100,198,2,0.000037565
sms,star,107,212,0,0.000037597
sms,star,107,212,1,0.000037770
sms,star,107,212,2,0.000037574
sms,star,114,226,0,0.000037807
sms,star,114,226,1,0.000037788
sms,star,114,226,2,0.000037900
sms,star,122,242,0,0.000037847
sms,star,122,242,1,0.000037673
sms,star,122,242,2,0.000037986
sms,star,130,258,0,0.000037955
sms,star,130,258,1,0.000038089
sms,star,130,258,2,0.000038170
sms,star,139,276,0,0.000038079
sms,star,139,276,1,0.000038043
sms,star,139,276,2,0.000038026
sms,star,148,294,0,0.000038319
sms,star,148,294,1,0.000038190
sms,star,148,294,2,0.000038212
sms,star,158,314,0,0.000038289
sms,star,158,314,1,0.000038306
sms,star,158,314,2,0.000038263
sms,star,168,334,0,0.000038750
sms,star,168,334,1,0.000038715
sms,star,168,334,2,0.000038730
sms,star,179,356,0,0.000038895
sms,star,179,356,1,0.000038855
sms,star,179,356,2,0.000038673
sms,star,191,380,0,0.000038936
sms,star,191,380,1,0.000038889
sms,star,191,380,2,0.000038939
sms,star,203,404,0,0.000039120
sms,star,203,404,1,0.000039101
sms,star,203,404,2,0.000039135
sms,star,216,430,0,0.000039379
sms,star,216,430,1,0.000039252
sms,star,216,430,2,0.000039221
sms,star,230,458,0,0.000039446
sms,star,230,458,1,0.000039336
sms,star,230,458,2,0.000039666
sms,star,245,488,0,0.000039559
sms,star,245,488,1,0.000039617
sms,star,245,488,2,0.000039714
sms,star,261,520,0,0.000039797
sms,star,261,520,1,0.000039895
sms,star,261,520,2,0.000039760
sms,star,278,554,0,0.000040013
sms,star,278,554,1,0.000039886
sms,star,278,554,2,0.000039958
sms,star,296,590,0,0.000040441
sms,star,296,590,1,0.000040306
sms,star,296,590,2,0.000040405
sms,star,315,628,0,0.000040683
sms,star,315,628,1,0.000040743
sms,star,315,628,2,0.000040346
sms,star,335,668,0,0.000040663
sms,star,335,668,1,0.000040778
sms,star,335,668,2,0.000040712
sms,star,356,710,0,0.000040868
sms,star,356,710,1,0.000041178
sms,star,356,710,2,0.000040958
sms,star,379,756,0,0.000041043
sms,star,379,756,1,0.000041056
sms,star,379,756,2,0.000041439
sms,star,403,804,0,0.000041384
sms,star,403,804,1,0.000041275
sms,star,403,804,2,0.000041284
sms,star,429,856,0,0.000041695
sms,star,429,856,1,0.000041877
sms,star,429,856,2,0.000041882
sms,star,456,910,0,0.000043058
sms,star,456,910,1,0.000042027
sms,star,456,910,2,0.000041901
sms,star,485,968,0,0.000044165
sms,star,485,968,1,0.000042298
sms,star,485,968,2,0.000042343
sms,star,516,1030,0,0.000042470
sms,star,516,1030,1,0.000042749
sms,star,516,1030,2,0.000042608
sms,star,549,1096,0,0.000042951
sms,star,549,1096,1,0.000043142
sms,star,549,1096,2,0.000043345
sms,star,584,1166,0,0.000043374
sms,star,584,1166,1,0.000043641
sms,star,584,1166,2,0.000043421
sms,star,621,1240,0,0.000044079
sms,star,621,1240,1,0.000043990
sms,star,621,1240,2,0.000043917
sms,star,660,1318,0,0.000044131
sms,star,660,1318,1,0.000044320
sms,star,660,1318,2,0.000044196
sms,star,702,1402,0,0.000044981
sms,star,702,1402,1,0.000044564
sms,star,702,1402,2,0.000045067
sms,star,746,1490,0,0.000045514
sms,star,746,1490,1,0.000045189
sms,star,746,1490,2,0.000045639
sms,star,793,1584,0,0.000045520
sms,star,793,1584,1,0.000046015
sms,star,793,1584,2,0.000045776
sms,star,843,1684,0,0.000046307
sms,star,843,1684,1,0.000046494
sms,star,843,1684,2,0.000046865
sms,star,896,1790,0,0.000046628
sms,star,896,1790,1,0.000047109
sms,star,896,1790,2,0.000046933
sms,star,952,1902,0,0.000047282
sms,star,952,1902,1,0.000047343
sms,star,952,1902,2,0.000047343
sms,star,1012,2022,0,0.000048438
sms,star,1012,2022,1,0.000047896
sms,star,1012,2022,2,0.000048680
sms,star,1076,2150,0,0.000048913
sms,star,1076,2150,1,0.000048468
sms,star,1076,2150,2,0.000049023
sms,star,1144,2286,0,0.000049333
sms,star,1144,2286,1,0.000048955
sms,star,1144,2286,2,0.000049580
sms,star,1216,2430,0,0.000049901
sms,star,1216,2430,1,0.000050068
sms,star,1216,2430,2,0.000050435
sms,star,1292,2582,0,0.000050684
sms,star,1292,2582,1,0.000050717
sms,star,1292,2582,2,0.000050300
sms,star,1373,2744,0,0.000051740
sms,star,1373,2744,1,0.000051819
sms,star,1373,2744,2,0.000052354
sms,star,1459,2916,0,0.000052783
sms,star,1459,2916,1,0.000052017
sms,star,1459,2916,2,0.000053023
sms,star,1551,3100,0,0.000053505
sms,star,1551,3100,1,0.000052833
sms,star,1551,3100,2,0.000052858
sms,star,1648,3294,0,0.000053796
sms,star,1648,3294,1,0.000054035
sms,star,1648,3294,2,0.000053763
sms,star,1751,3500,0,0.000055178
sms,star,1751,3500,1,0.000055486
sms,star,1751,3500,2,0.000055570
sms,star,1861,3720,0,0.000057701
sms,star,1861,3720,1,0.000056884
sms,star,1861,3720,2,0.000056017
sms,star,1978,3954,0,0.000057272
sms,star,1978,3954,1,0.000057575
sms,star,1978,3954,2,0.000058354
sms,star,2102,4202,0,0.000059188
sms,star,2102,4202,1,0.000059958
sms,star,2102,4202,2,0.000058203
sms,star,2234,4466,0,0.000061029
sms,star,2234,4466,1,0.000061028
sms,star,2234,4466,2,0.000060037
sms,star,2374,4746,0,0.000062096
sms,star,2374,4746,1,0.000062133
sms,star,2374,4746,2,0.000060919
sms,star,2523,5044,0,0.000064293
sms,star,2523,5044,1,0.000063873
sms,star,2523,5044,2,0.000063935
sms,star,2681,5360,0,0.000065529
sms,star,2681,5360,1,0.000064558
sms,star,2681,5360,2,0.000064576
sms,star,2849,5696,0,0.000067845
sms,star,2849,5696,1,0.000065270
sms,star,2849,5696,2,0.000066495
sms,star,3028,6054,0,0.000069246
sms,star,3028,6054,1,0.000067645
sms,star,3028,6054,2,0.000068152
sms,star,3218,6434,0,0.000068846
sms,star,3218,6434,1,0.000070439
sms,star,3218,6434,2,0.000069457
sms,star,3420,6838,0,0.000073545
sms,star,3420,6838,1,0.000073606
sms,star,3420,6838,2,0.000073300
sms,star,3634,7266,0,0.000075945
sms,star,3634,7266,1,0.000076940
sms,star,3634,7266,2,0.000075435
sms,star,3862,7722,0,0.000079738
sms,star,3862,7722,1,0.000077397
sms,star,3862,7722,2,0.000078638
sms,star,4104,8206,0,0.000084645
sms,star,4104,8206,1,0.000080183
sms,star,4104,8206,2,0.000080546
sms,star,4361,8720,0,0.000085008
sms,star,4361,8720,1,0.000084724
sms,star,4361,8720,2,0.000084359
sms,star,4634,9266,0,0.000090669
sms,star,4634,9266,1,0.000088505
sms,star,4634,9266,2,0.000088946
sms,star,4924,9846,0,0.000091712
sms,star,4924,9846,1,0.000087630
sms,star,4924,9846,2,0.000089249
sms,star,5232,10462,0,0.000094956
sms,star,5232,10462,1,0.000093140
sms,star,5232,10462,2,0.000093234
sms,star,5559,11116,0,0.000099817
sms,star,5559,11116,1,0.000097127
sms,star,5559,11116,2,0.000095417
sms,star,5907,11812,0,0.000096595
sms,star,5907,11812,1,0.000102147
sms,star,5907,11812,2,0.000102796
sms,star,6277,12552,0,0.000103821
sms,star,6277,12552,1,0.000100266
sms,star,6277,12552,2,0.000105426
sms,star,6670,13338,0,0.000113776
sms,star,6670,13338,1,0.000111353
sms,star,6670,13338,2,0.000111207
sms,star,7087,14172,0,0.000114345
sms,star,7087,14172,1,0.000119066
sms,star,7087,14172,2,0.000116737
sms,star,7530,15058,0,0.000118403
sms,star,7530,15058,1,0.000124518
sms,star,7530,15058,2,0.000122304
sms,star,8001,16000,0,0.000132255
sms,star,8001,16000,1,0.000130057
sms,star,8001,16000,2,0.000124626
sms,star,8502,17002,0,0.000134245
sms,star,8502,17002,1,0.000130893
sms,star,8502,17002,2,0.000140509
sms,star,9034,18066,0,0.000141517
sms,star,9034,18066,1,0.000143886
sms,star,9034,18066,2,0.000149734
sms,star,9599,19196,0,0.000151320
sms,star,9599,19196,1,0.000154850
sms,star,9599,19196,2,0.000153028
sms,star,10199,20396,0,0.000145172
sms,star,10199,20396,1,0.000165149
sms,star,10199,20396,2,0.000163202
sms,star,10837,21672,0,0.000170347
sms,star,10837,21672,1,0.000171329
sms,star,10837,21672,2,0.000166803
sms,star,11515,23028,0,0.000185379
sms,star,11515,23028,1,0.000160025
sms,star,11515,23028,2,0.000183145
sms,star,12235,24468,0,0.000170039
sms,star,12235,24468,1,0.000188868
sms,star,12235,24468,2,0.000176680
sms,star,13000,25998,0,0.000194250
sms,star,13000,25998,1,0.000206485
sms,star,13000,25998,2,0.000202262
sms,star,13813,27624,0,0.000194228
sms,star,13813,27624,1,0.000212507
sms,star,13813,27624,2,0.000195955
sms,star,14677,29352,0,0.000227678
sms,star,14677,29352,1,0.000236707
sms,star,14677,29352,2,0.000230569
sms,star,15595,31188,0,0.000242416
sms,star,15595,31188,1,0.000239238
sms,star,15595,31188,2,0.000225836
sms,star,16570,33138,0,0.000256454
sms,star,16570,33138,1,0.000267835
sms,star,16570,33138,2,0.000257827
sms,star,17606,35210,0,0.000282536
sms,star,17606,35210,1,0.000256345
sms,star,17606,35210,2,0.000240639
sms,star,18707,37412,0,0.000295230
sms,star,18707,37412,1,0.000292589
sms,star,18707,37412,2,0.000300829
sms,star,19877,39752,0,0.000281841
sms,star,19877,39752,1,0.000260366
sms,star,19877,39752,2,0.000307209
sms,star,21120,42238,0,0.000317576
sms,star,21120,42238,1,0.000286694
sms,star,21120,42238,2,0.000328435
sms,star,22440,44878,0,0.000310784
sms,star,22440,44878,1,0.000342642
sms,star,22440,44878,2,0.000354867
sms,star,23843,47684,0,0.000346938
sms,star,23843,47684,1,0.000365716
sms,star,23843,47684,2,0.000335896
sms,star,25334,50666,0,0.000336548
sms,star,25334,50666,1,0.000377641
sms,star,25334,50666,2,0.000333981
sms,star,26918,53834,0,0.000389923
sms,star,26918,53834,1,0.000393705
sms,star,26918,53834,2,0.000410965
sms,star,28601,57200,0,0.000417150
sms,star,28601,57200,1,0.000443168
sms,star,28601,57200,2,0.000395781
sms,star,30389,60776,0,0.000470124
sms,star,30389,60776,1,0.000454041
sms,star,30389,60776,2,0.000485138
sms,star,32289,64576,0,0.000435956
sms,star,32289,64576,1,0.000520392
sms,star,32289,64576,2,0.000443704
sms,star,34308,68614,0,0.000495472
sms,star,34308,68614,1,0.000554293
sms,star,34308,68614,2,0.000534728
sms,star,36453,72904,0,0.000552422
sms,star,36453,72904,1,0.000514504
sms,star,36453,72904,2,0.000579267
sms,star,38732,77462,0,0.000566257
sms,star,38732,77462,1,0.000514826
