algo,type,n,m,trial,time
sms,tree,3,4,0,0.000000525
sms,tree,3,4,1,0.000000500
sms,tree,3,4,2,0.000000463
sms,tree,4,6,0,0.000000492
sms,tree,4,6,1,0.000000473
sms,tree,4,6,2,0.000000487
sms,tree,5,8,0,0.000000543
sms,tree,5,8,1,0.000000532
sms,tree,5,8,2,0.000000516
sms,tree,6,10,0,0.000000529
sms,tree,6,10,1,0.000000536
sms,tree,6,10,2,0.000000542
sms,tree,7,12,0,0.000000566
sms,tree,7,12,1,0.000000564
sms,tree,7,12,2,0.000000567
sms,tree,8,14,0,0.000000578
sms,tree,8,14,1,0.000000565
sms,tree,8,14,2,0.000000553
sms,tree,9,16,0,0.000000598
sms,tree,9,16,1,0.000000610
sms,tree,9,16,2,0.000000578
sms,tree,10,18,0,0.000000597
sms,tree,10,18,1,0.000000592
sms,tree,10,18,2,0.000000596
sms,tree,11,20,0,0.000000599
sms,tree,11,20,1,0.000000603
sms,tree,11,20,2,0.000000599
sms,tree,12,22,0,0.000000608
sms,tree,12,22,1,0.000000600
sms,tree,12,22,2,0.000000591
sms,tree,13,24,0,0.000000604
sms,tree,13,24,1,0.000000600
sms,tree,13,24,2,0.000000595
sms,tree,14,26,0,0.000000604
sms,tree,14,26,1,0.000000612
sms,tree,14,26,2,0.000000625
sms,tree,15,28,0,0.000000630
sms,tree,15,28,1,0.000000630
sms,tree,15,28,2,0.000000628
sms,tree,16,30,0,0.000000618
sms,tree,16,30,1,0.000000615
sms,tree,16,30,2,0.000000625
sms,tree,17,32,0,0.000000656
sms,tree,17,32,1,0.000000633
sms,tree,17,32,2,0.000000658
sms,tree,19,36,0,0.000000678
sms,tree,19,36,1,0.000000688
sms,tree,19,36,2,0.000000683
sms,tree,21,40,0,0.000000673
sms,tree,21,40,1,0.000000691
sms,tree,21,40,2,0.000000680
sms,tree,23,44,0,0.000000730
sms,tree,23,44,1,0.000000752
sms,tree,23,44,2,0.000000718
sms,tree,25,48,0,0.000000742
sms,tree,25,48,1,0.000000780
sms,tree,25,48,2,0.000000742
sms,tree,27,52,0,0.000000766
sms,tree,27,52,1,0.000000757
sms,tree,27,52,2,0.000000762
sms,tree,29,56,0,0.000000775
sms,tree,29,56,1,0.000000778
sms,tree,29,56,2,0.000000770
sms,tree,31,60,0,0.000000826
sms,tree,31,60,1,0.000000831
sms,tree,31,60,2,0.000000798
sms,tree,33,64,0,0.000000839
sms,tree,33,64,1,0.000000852
sms,tree,33,64,2,0.000000857
sms,tree,36,70,0,0.000000905
sms,tree,36,70,1,0.000000891
sms,tree,36,70,2,0.000000912
sms,tree,39,76,0,0.000000936
sms,tree,39,76,1,0.000000960
sms,tree,39,76,2,0.000000946
sms,tree,42,82,0,0.000000952
sms,tree,42,82,1,0.000000944
sms,tree,42,82,2,0.000000936
sms,tree,45,88,0,0.000000984
sms,tree,45,88,1,0.000000983
sms,tree,45,88,2,0.000000979
sms,tree,48,94,0,0.000000983
sms,tree,48,94,1,0.000000989
sms,tree,48,94,2,0.000000978
sms,tree,51,100,0,0.000001084
sms,tree,51,100,1,0.000001042
sms,tree,51,100,2,0.000001046
sms,tree,55,108,0,0.000001122
sms,tree,55,108,1,0.000001100
sms,tree,55,108,2,0.000001119
sms,tree,59,116,0,0.000001150
sms,tree,59,116,1,0.000001161
sms,tree,59,116,2,0.000001150
sms,tree,63,124,0,0.000001233
sms,tree,63,124,1,0.000001179
sms,tree,63,124,2,0.000001228
sms,tree,67,132,0,0.000001286
sms,tree,67,132,1,0.000001310
sms,tree,67,132,2,0.000001294
sms,tree,72,142,0,0.000001395
sms,tree,72,142,1,0.000001375
sms,tree,72,142,2,0.000001372
sms,tree,77,152,0,0.000001408
sms,tree,77,152,1,0.000001458
sms,tree,77,152,2,0.000001418
sms,tree,82,162,0,0.000001475
sms,tree,82,162,1,0.000001453
sms,tree,82,162,2,0.000001469
sms,tree,88,174,0,0.000001546
sms,tree,88,174,1,0.000001551
sms,tree,88,174,2,0.000001566
sms,tree,94,186,0,0.000001667
sms,tree,94,186,1,0.000001665
sms,tree,94,186,2,0.000001707
sms,tree,100,198,0,0.000001736
sms,tree,100,198,1,0.000001695
sms,tree,100,198,2,0.000001672
sms,tree,107,212,0,0.000001786
sms,tree,107,212,1,0.000001848
sms,tree,107,212,2,0.000001824
sms,tree,114,226,0,0.000001832
sms,tree,114,226,1,0.000001841
sms,tree,114,226,2,0.000001890
sms,tree,122,242,0,0.000001997
sms,tree,122,242,1,0.000002026
sms,tree,122,242,2,0.000001976
sms,tree,130,258,0,0.000002042
sms,tree,130,258,1,0.000002075
sms,tree,130,258,2,0.000002110
sms,tree,139,276,0,0.000002226
sms,tree,139,276,1,0.000002226
sms,tree,139,276,2,0.000002195
sms,tree,148,294,0,0.000002341
sms,tree,148,294,1,0.000002385
sms,tree,148,294,2,0.000002348
sms,tree,158,314,0,0.000002520
sms,tree,158,314,1,0.000002575
sms,tree,158,314,2,0.000002500
sms,tree,168,334,0,0.000002590
sms,tree,168,334,1,0.000002583
sms,tree,168,334,2,0.000002574
sms,tree,179,356,0,0.000002760
sms,tree,179,356,1,0.000002670
sms,tree,179,356,2,0.000002813
sms,tree,191,380,0,0.000002887
sms,tree,191,380,1,0.000002849
sms,tree,191,380,2,0.000002816
sms,tree,203,404,0,0.000002926
sms,tree,203,404,1,0.000002922
sms,tree,203,404,2,0.000002945
sms,tree,216,430,0,0.000003043
sms,tree,216,430,1,0.000003082
sms,tree,216,430,2,0.000003064
sms,tree,230,458,0,0.000003225
sms,tree,230,458,1,0.000003256
sms,tree,230,458,2,0.000003269
sms,tree,245,488,0,0.000003387
sms,tree,245,488,1,0.000003417
